実数・増加率,年次・四半期・月次コード,年次・四半期・月次,西暦（年）,月,調査世帯数（世帯）,世帯人員（人）,有業人員（人）,世帯主平均年齢（歳）,生計支出（円）,生計支出／消費支出（円）,生計支出／消費支出／食料（円）,生計支出／消費支出／住居（円）,生計支出／消費支出／光熱・水道（円）,生計支出／消費支出／家具・家事用品（円）,生計支出／消費支出／被服及び履物（円）,生計支出／消費支出／保健医療（円）,生計支出／消費支出／交通・通信（円）,生計支出／消費支出／教育（円）,生計支出／消費支出／教養娯楽（円）,生計支出／消費支出／その他の消費支出（円）,生計支出／消費支出／その他の消費支出／諸雑費（円）,生計支出／土地家屋購入（円）
jissu,nen,実数_平成24年平均,2012,,754,2.97,1.29,57.2,328955,321982,78922,25580,23122,11094,14776,15568,35244,19271,36575,61832,25251,6973
jissu,nen,実数_平成25年平均,2013,,753,3.02,1.3,57.3,345213,333423,80264,29540,23605,11264,15276,15676,37703,17517,38107,64471,27018,11790
jissu,nen,実数_平成26年平均,2014,,745,2.98,1.29,58.8,327418,324036,81162,25459,23893,11920,15231,15326,36670,15303,38299,60775,26111,3381
jissu,nen,実数_平成27年平均,2015,,743,2.96,1.29,59,331379,326795,83742,25136,23312,11154,15219,15250,35376,18994,37562,61052,25656,4584
jissu,sihan,実数_平成27年7～9月,2015,7～9,746,2.9,1.26,59.4,304858,304858,83104,24038,18786,10891,12847,14803,31464,14191,39289,55447,23660,-
jissu,sihan,実数_平成27年10～12月,2015,10～12,741,2.94,1.28,59.2,324765,324459,88611,27862,17852,12662,16175,16990,31330,15687,37186,60103,24769,306
jissu,sihan,実数_平成28年1～3月,2016,1～3,728,3,1.33,59,319234,319234,83048,23336,26768,9792,13904,14899,30557,22298,35946,58687,25339,-
jissu,sihan,実数_平成28年4～6月,2016,4～6,739,2.99,1.33,59.2,321488,320892,84152,23871,20564,10106,15461,14018,33338,24541,35718,59122,24616,596
jissu,sihan,実数_平成28年7～9月,2016,7～9,737,3,1.31,59.1,308801,305823,82949,23036,16642,12080,12069,15287,31651,17280,36920,57909,26567,2978
jissu,tuki,実数_平成27年10月,2015,10,749,2.93,1.26,59.3,316285,316285,82934,23180,17308,12563,16461,16157,29841,19656,36207,61978,25610,-
jissu,tuki,実数_平成27年11月,2015,11,742,2.96,1.28,58.7,315864,314946,81289,28243,16883,12022,16022,17585,35707,13917,38414,54863,23871,918
jissu,tuki,実数_平成27年12月,2015,12,731,2.94,1.29,59.5,342146,342146,101611,32162,19366,13401,16042,17227,28443,13487,36938,63469,24827,-
jissu,tuki,実数_平成28年1月,2016,1,725,2.99,1.33,59.6,315530,315530,81134,22193,25599,10281,16789,13965,30296,14928,36444,63900,26953,-
jissu,tuki,実数_平成28年2月,2016,2,729,3.02,1.34,58.9,305432,305432,81368,23514,27591,7771,10900,14175,28610,27993,32927,50583,23394,-
jissu,tuki,実数_平成28年3月,2016,3,729,3,1.31,58.6,336741,336741,86642,24302,27113,11323,14023,16557,32765,23974,38466,61577,25670,-
jissu,tuki,実数_平成28年4月,2016,4,739,2.98,1.31,59.2,349838,349838,83553,21003,23946,8976,14281,16206,41136,45215,33615,61907,22704,-
jissu,tuki,実数_平成28年5月,2016,5,741,2.99,1.34,59.3,316152,316152,87908,23686,20392,11571,17966,12563,31119,17320,36784,56842,25891,-
jissu,tuki,実数_平成28年6月,2016,6,738,3.01,1.35,59,298473,296686,80996,26925,17354,9771,14137,13285,27759,11087,36754,58617,25252,1787
jissu,tuki,実数_平成28年7月,2016,7,742,3.01,1.33,58.6,314866,305933,83897,26248,15791,13569,14220,14205,30382,13707,35714,58200,26513,8933
jissu,tuki,実数_平成28年8月,2016,8,739,2.99,1.3,59.2,306399,306399,84030,21911,17140,11002,10240,15702,34333,12939,40569,58532,24499,-
jissu,tuki,実数_平成28年9月,2016,9,731,2.99,1.31,59.4,305138,305138,80920,20949,16995,11670,11747,15953,30238,25194,34478,56995,28688,-
jissu,tuki,実数_平成28年10月,2016,10,735,2.98,1.3,59.2,341798,341798,84350,30198,17143,11053,17119,16152,47215,18358,34652,65559,30434,-
meimoku,nen,対前年（同期・同月）名目増加率_平成24年平均,2012,,-,-,-,-,0.2,2.4,1.3,8.1,8.9,3.5,5.9,0.3,5.2,-2.8,-0.2,0.6,6.9,-49.3
meimoku,nen,対前年（同期・同月）名目増加率_平成25年平均,2013,,-,-,-,-,4.9,3.6,1.7,15.5,2.1,1.5,3.4,0.7,7,-9.1,4.2,4.3,7,69.1
meimoku,nen,対前年（同期・同月）名目増加率_平成26年平均,2014,,-,-,-,-,-5.2,-2.8,1.1,-13.8,1.2,5.8,-0.3,-2.2,-2.7,-12.6,0.5,-5.7,-3.4,-71.3
meimoku,nen,対前年（同期・同月）名目増加率_平成27年平均,2015,,-,-,-,-,1.2,0.9,3.2,-1.3,-2.4,-6.4,-0.1,-0.5,-3.5,24.1,-1.9,0.5,-1.7,35.6
meimoku,sihan,対前年（同期・同月）名目増加率_平成27年7～9月,2015,7～9,-,-,-,-,-6.3,-5,2.8,13.2,-6.1,-2.4,0.6,-3.8,-27.8,12,-2.4,-11.8,-11.1,-100
meimoku,sihan,対前年（同期・同月）名目増加率_平成27年10～12月,2015,10～12,-,-,-,-,-3.3,-3,-0.2,-5.6,-19.2,5.1,-0.5,-1.2,-5.3,16.3,-4.5,-4.9,-8.1,-71.7
meimoku,sihan,対前年（同期・同月）名目増加率_平成28年1～3月,2016,1～3,-,-,-,-,-8,-4.9,2.7,-3.8,-18,-2.2,-10.6,-4.2,-25.7,38.3,-1.2,-7,3.5,-100
meimoku,sihan,対前年（同期・同月）名目増加率_平成28年4～6月,2016,4～6,-,-,-,-,-7.9,-6.3,2.1,-2.2,-14.2,-8.6,-5.2,2.6,-11.4,-18.1,-4.4,-9.8,-17.2,-91.1
meimoku,sihan,対前年（同期・同月）名目増加率_平成28年7～9月,2016,7～9,-,-,-,-,1.3,0.3,-0.2,-4.2,-11.4,10.9,-6.1,3.3,0.6,21.8,-6,4.4,12.3,...
meimoku,tuki,対前年（同期・同月）名目増加率_平成27年10月,2015,10,-,-,-,-,-1.8,-0.8,1.1,-22.6,-17,14.8,8.5,-9.1,-8,4.5,-1.9,15,-0.8,-100
meimoku,tuki,対前年（同期・同月）名目増加率_平成27年11月,2015,11,-,-,-,-,3.2,2.9,-1,22,-17.1,13.3,-5.4,2.8,18.5,34.8,8.7,-8.3,-2.4,...
meimoku,tuki,対前年（同期・同月）名目増加率_平成27年12月,2015,12,-,-,-,-,-9.8,-9.8,-0.6,-9.3,-22.8,-8.1,-3.7,3,-22.4,18.9,-17.1,-16.4,-18.8,-
meimoku,tuki,対前年（同期・同月）名目増加率_平成28年1月,2016,1,-,-,-,-,-9.5,-9.1,2.1,-7.9,-18.4,21.6,1.4,-2.8,-35.1,2.6,1.4,-15.3,-5.6,-100
meimoku,tuki,対前年（同期・同月）名目増加率_平成28年2月,2016,2,-,-,-,-,-4.6,-2.5,5.9,-0.1,-18.3,-23.3,-11.8,3.8,-30.4,91.9,-3.3,-4.6,18.2,-100
