,都営住宅等東京都の応急仮設住宅入居人数,民間賃貸住宅東京都の応急仮設住宅入居人数,合計
千代田区,63,0,
中央区,0,3,
港区,22,0,
新宿区,215,15,
文京区,4,1,
台東区,2,4,
墨田区,4,4,
江東区,941,3,
品川区,0,3,
目黒区,5,2,
大田区,14,21,
世田谷区,5,3,
渋谷区,2,4,
中野区,208,5,
杉並区,19,9,
豊島区,7,7,
北区,29,9,
荒川区,32,6,
板橋区,68,27,
練馬区,100,55,
足立区,45,61,
葛飾区,43,15,
江戸川区,227,38,
八王子市,18,26,
立川市,71,3,
武蔵野市,65,0,
三鷹市,8,9,
青梅市,0,5,
府中市,0,20,
昭島市,0,1,
調布市,7,5,
町田市,23,25,
小金井市,0,3,
小平市,2,2,
日野市,1,8,
東村山市,7,4,
国分寺市,0,4,
国立市,18,5,
福生市,0,4,
狛江市,0,0,
東大和市,11,11,
清瀬市,4,4,
東久留米市,60,0,
武蔵村山市,13,5,
多摩市,3,8,
稲城市,4,2,
羽村市,0,13,
あきる野市,0,3,
西東京市,30,19,
瑞穂町,0,0,
日の出町,0,0,
檜原村,0,0,
奥多摩町,0,0,
大島町,0,0,
利島村,0,0,
新島村,0,0,
神津島村,0,0,
三宅村,0,0,
御蔵島村,0,0,
八丈町,0,0,
青ヶ島村,0,0,
小笠原村,0,4,
小計,2400,488,
合計,,,2888
