,都営住宅等東京都の応急仮設住宅入居人数,民間賃貸住宅東京都の応急仮設住宅入居人数,合計
千代田区,0,0,
中央区,0,0,
港区,8,0,
新宿区,43,0,
文京区,0,0,
台東区,0,2,
墨田区,2,2,
江東区,441,0,
品川区,0,0,
目黒区,0,0,
大田区,2,5,
世田谷区,1,1,
渋谷区,1,0,
中野区,65,2,
杉並区,6,3,
豊島区,0,5,
北区,1,3,
荒川区,11,1,
板橋区,15,6,
練馬区,24,17,
足立区,25,15,
葛飾区,8,6,
江戸川区,37,15,
八王子市,4,6,
立川市,25,0,
武蔵野市,15,0,
三鷹市,4,0,
青梅市,0,0,
府中市,0,6,
昭島市,0,0,
調布市,0,2,
町田市,1,3,
小金井市,0,0,
小平市,2,0,
日野市,0,6,
東村山市,0,0,
国分寺市,0,0,
国立市,0,4,
福生市,0,1,
狛江市,0,0,
東大和市,6,1,
清瀬市,2,0,
東久留米市,0,0,
武蔵村山市,0,2,
多摩市,0,1,
稲城市,0,2,
羽村市,0,5,
あきる野市,0,0,
西東京市,9,9,
瑞穂町,0,0,
日の出町,0,0,
檜原村,0,0,
奥多摩町,0,0,
大島町,0,0,
利島村,0,0,
新島村,0,0,
神津島村,0,0,
三宅村,0,0,
御蔵島村,0,0,
八丈町,0,0,
青ヶ島村,0,0,
小笠原村,0,0,
小計,758,131,
合計,,,889
