町村名（島名）,早朝、死者数（計）,早朝、死者数（揺れ）,早朝、死者数（屋内収容物）,早朝、死者数（急傾斜地崩壊）,早朝、死者数（屋外落下物）,早朝、死者数（火災）,早朝、死者数（津波）,昼、死者数（計）,昼、死者数（揺れ）,昼、死者数（屋内収容物）,昼、死者数（急傾斜地崩壊）,昼、死者数（屋外落下物）,昼、死者数（火災）,昼、死者数（津波）
大島町,1 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,1 
利島村,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
新島村（新島）,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
新島村（式根島）,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
神津島村,1 ,0 ,0 ,1 ,0 ,0 ,0 ,2 ,0 ,0 ,1 ,0 ,0 ,1 
三宅村,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
御蔵島村,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
八丈町,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,1 
青ヶ島村,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
小笠原村（父島）,4 ,0 ,0 ,0 ,0 ,0 ,4 ,3 ,0 ,0 ,0 ,0 ,0 ,3 
小笠原村（母島）,1 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
島しょ地域計,7 ,0 ,0 ,1 ,0 ,0 ,6 ,7 ,0 ,0 ,1 ,0 ,0 ,6 
