,岩手県都内避難者人数,宮城県都内避難者人数,福島県都内避難者人数,その他都内避難者人数,総数都内避難者人数
千代田区,0,5,47,0,52
中央区,2,14,25,18,59
港区,2,8,29,3,42
新宿区,2,14,81,0,97
文京区,3,7,61,3,74
台東区,2,3,39,2,46
墨田区,2,4,48,0,54
江東区,15,25,739,5,784
品川区,2,5,56,2,65
目黒区,0,9,23,4,36
大田区,4,22,148,0,174
世田谷区,21,40,174,17,252
渋谷区,2,5,22,1,30
中野区,20,64,172,7,263
杉並区,0,5,6,0,11
豊島区,13,28,119,3,163
北区,0,3,6,0,9
荒川区,3,5,41,0,49
板橋区,11,37,172,2,222
練馬区,5,33,185,2,225
足立区,10,29,287,2,328
葛飾区,3,20,133,0,156
江戸川区,18,42,250,5,315
八王子市,10,54,161,7,232
立川市,3,6,56,1,66
武蔵野市,1,10,63,1,75
三鷹市,2,11,57,0,70
青梅市,0,1,11,0,12
府中市,7,10,78,0,95
昭島市,2,10,41,0,53
調布市,1,2,39,0,42
町田市,27,61,183,11,282
小金井市,2,6,23,0,31
小平市,1,10,50,3,64
日野市,9,6,64,4,83
東村山市,3,8,29,0,40
国分寺市,5,10,35,0,50
国立市,0,5,26,0,31
福生市,1,8,15,0,24
狛江市,0,7,14,0,21
東大和市,3,8,48,0,59
清瀬市,2,6,54,5,67
東久留米市,1,4,49,1,55
武蔵村山市,0,0,16,0,16
多摩市,5,4,46,0,55
稲城市,0,14,43,1,58
羽村市,2,2,28,0,32
あきる野市,1,2,11,4,18
西東京市,3,13,97,0,113
瑞穂町,1,0,12,0,13
日の出町,0,0,6,0,6
檜原村,0,0,0,0,0
奥多摩町,0,0,0,0,0
大島町,0,0,0,0,0
利島村,0,0,0,0,0
新島村,0,0,0,0,0
神津島村,0,0,0,0,0
三宅村,0,0,0,0,0
御蔵島村,0,0,0,0,0
八丈町,0,0,0,0,0
青ヶ島村,0,0,0,0,0
小笠原村,0,0,0,0,0
合計,232,705,4218,114,5269
