,岩手県都内避難者人数,宮城県都内避難者人数,福島県都内避難者人数,その他都内避難者人数,総数都内避難者人数
千代田区,0,7,97,0,104
中央区,6,23,29,30,88
港区,1,21,66,9,97
新宿区,9,32,324,0,365
文京区,3,11,72,3,89
台東区,3,6,29,3,41
墨田区,2,5,27,0,34
江東区,16,65,1268,5,1354
品川区,3,11,99,2,115
目黒区,0,6,7,0,13
大田区,14,28,249,1,292
世田谷区,21,48,227,27,323
渋谷区,4,13,38,2,57
中野区,29,97,344,16,486
杉並区,0,8,53,1,62
豊島区,13,38,174,4,229
北区,1,15,109,0,125
荒川区,5,7,121,6,139
板橋区,14,46,259,3,322
練馬区,3,55,345,9,412
足立区,4,15,265,6,290
葛飾区,3,27,183,0,213
江戸川区,40,113,735,15,903
八王子市,17,67,223,8,315
立川市,10,18,187,1,216
武蔵野市,1,21,131,2,155
三鷹市,3,17,71,0,91
青梅市,2,7,33,0,42
府中市,0,2,57,0,59
昭島市,2,10,52,0,64
調布市,1,2,44,0,47
町田市,24,59,290,11,384
小金井市,3,17,44,0,64
小平市,3,8,56,1,68
日野市,10,13,81,6,110
東村山市,3,9,51,0,63
国分寺市,6,13,36,0,55
国立市,0,20,59,0,79
福生市,7,14,43,0,64
狛江市,1,12,20,0,33
東大和市,4,10,75,1,90
清瀬市,2,12,86,4,104
東久留米市,1,5,140,1,147
武蔵村山市,5,21,29,0,55
多摩市,2,8,81,1,92
稲城市,3,9,43,4,59
羽村市,0,3,30,0,33
あきる野市,1,2,55,4,62
西東京市,6,19,170,0,195
瑞穂町,0,7,12,2,21
日の出町,0,0,3,0,3
檜原村,0,0,4,0,4
奥多摩町,0,0,3,0,3
大島町,0,0,3,0,3
利島村,0,0,0,0,0
新島村,0,0,0,0,0
神津島村,0,0,0,0,0
三宅村,0,0,0,0,0
御蔵島村,0,0,0,0,0
八丈町,4,3,13,0,20
青ヶ島村,0,0,0,0,0
小笠原村,0,0,7,0,7
合計,315,1105,7352,188,8960
