,都営住宅等東京都の応急仮設住宅入居人数,民間賃貸住宅東京都の応急仮設住宅入居人数,合計
千代田区,63,0,
中央区,0,3,
港区,27,0,
新宿区,232,16,
文京区,4,1,
台東区,2,4,
墨田区,4,5,
江東区,977,3,
品川区,0,3,
目黒区,6,2,
大田区,14,25,
世田谷区,5,4,
渋谷区,2,4,
中野区,222,5,
杉並区,19,10,
豊島区,7,8,
北区,29,10,
荒川区,36,6,
板橋区,74,29,
練馬区,100,72,
足立区,50,65,
葛飾区,46,15,
江戸川区,241,40,
八王子市,22,28,
立川市,75,3,
武蔵野市,63,0,
三鷹市,9,9,
青梅市,0,5,
府中市,2,21,
昭島市,0,1,
調布市,7,10,
町田市,29,27,
小金井市,0,7,
小平市,2,2,
日野市,2,8,
東村山市,7,9,
国分寺市,0,5,
国立市,21,6,
福生市,0,8,
狛江市,0,0,
東大和市,11,14,
清瀬市,4,4,
東久留米市,66,0,
武蔵村山市,15,5,
多摩市,3,8,
稲城市,4,2,
羽村市,0,13,
あきる野市,0,3,
西東京市,33,17,
瑞穂町,0,0,
日の出町,0,2,
檜原村,0,0,
奥多摩町,0,0,
大島町,0,0,
利島村,0,0,
新島村,0,0,
神津島村,0,0,
三宅村,0,0,
御蔵島村,0,0,
八丈町,0,0,
青ヶ島村,0,0,
小笠原村,0,4,
小計,2535,551,
合計,,,3086
