X（m）,Y（m）,経度（度）,緯度（度）,浸水深（最大）（m）
-915,-20835,139.82320806,35.81220579,0.8384
-925,-20915,139.82309749,35.81148470,0.9182
-925,-20925,139.82309751,35.81139457,0.2384
-925,-20935,139.82309752,35.81130443,0.0104
-925,-20975,139.82309756,35.81094389,0.1001
-1105,-20995,139.82110577,35.81076343,0.8791
-935,-21005,139.82298694,35.81067347,0.6290
-935,-21015,139.82298695,35.81058334,0.2591
-935,-21025,139.82298696,35.81049320,0.1194
-935,-21035,139.82298698,35.81040307,0.0604
-935,-21045,139.82298699,35.81031293,0.0202
-1425,-21065,139.81756488,35.81013207,0.0464
-1165,-21065,139.82044193,35.81013242,0.9965
-1285,-21075,139.81911407,35.81004213,0.0465
-1255,-21075,139.81944604,35.81004217,0.1964
-1235,-21075,139.81966735,35.81004220,0.1966
-1225,-21075,139.81977801,35.81004221,0.9964
-945,-21095,139.82287639,35.80986225,0.5887
-945,-21105,139.82287640,35.80977211,0.3089
-945,-21115,139.82287641,35.80968198,0.1883
-945,-21125,139.82287643,35.80959184,0.1490
-945,-21135,139.82287644,35.80950171,0.1284
-945,-21145,139.82287645,35.80941157,0.1091
-945,-21155,139.82287646,35.80932144,0.0896
-955,-21175,139.82276583,35.80914116,0.5477
-985,-21205,139.82243390,35.80887072,0.0975
-2505,-21225,139.80561455,35.80868775,0.1986
-1035,-21225,139.82188066,35.80869040,0.5875
-2285,-21255,139.80804902,35.80841788,0.6983
-1765,-21275,139.81380304,35.80823868,0.3971
-7475,-21345,139.75062074,35.80758087,0.1625
-7435,-21345,139.75106335,35.80758117,0.9725
-7435,-21355,139.75106344,35.80749104,0.8922
-7455,-21365,139.75084223,35.80740075,0.1727
-7435,-21395,139.75106382,35.80713050,0.1423
-7425,-21415,139.75117465,35.80695030,0.1623
-7415,-21415,139.75128530,35.80695038,0.5419
-7375,-21415,139.75172791,35.80695068,0.9325
-7415,-21425,139.75128540,35.80686024,0.2627
-7385,-21455,139.75161763,35.80659006,0.6828
-7375,-21465,139.75172837,35.80650000,0.2828
-7345,-21505,139.75206069,35.80613969,0.1427
-7325,-21525,139.75228217,35.80595956,0.1725
-7305,-21555,139.75250375,35.80568931,0.0439
-7245,-21575,139.75316783,35.80550948,1.0036
-7245,-21585,139.75316792,35.80541935,1.0031
-7245,-21625,139.75316828,35.80505881,0.0164
-7205,-21675,139.75361132,35.80460842,0.0153
-6935,-21955,139.75660125,35.80208658,0.0239
-6915,-21985,139.75682280,35.80181632,0.0524
-6905,-21995,139.75693353,35.80172625,0.1531
-6905,-22005,139.75693361,35.80163611,0.9415
-6895,-22005,139.75704426,35.80163619,0.0331
-6865,-22045,139.75737653,35.80127585,0.1023
-6825,-22095,139.75781953,35.80082546,0.1229
-6805,-22115,139.75804099,35.80064532,0.1130
395,-22115,139.83770372,35.80066882,0.6469
405,-22115,139.83781436,35.80066882,0.2169
415,-22115,139.83792501,35.80066881,0.2369
475,-22115,139.83858886,35.80066878,0.2368
515,-22115,139.83903143,35.80066876,0.1169
525,-22115,139.83914208,35.80066876,0.5168
535,-22115,139.83925272,35.80066875,0.3668
545,-22115,139.83936336,35.80066875,0.6068
345,-22125,139.83715050,35.80057870,0.4668
375,-22125,139.83748243,35.80057869,0.3668
545,-22125,139.83936335,35.80057861,0.2369
565,-22125,139.83958464,35.80057860,0.4669
575,-22125,139.83969528,35.80057860,0.9668
335,-22135,139.83703986,35.80048857,0.2668
545,-22135,139.83936335,35.80048848,0.0871
585,-22135,139.83980592,35.80048845,0.2068
595,-22135,139.83991656,35.80048845,0.7668
545,-22145,139.83936334,35.80039834,0.1870
635,-22145,139.84035912,35.80039829,0.7668
335,-22155,139.83703985,35.80030830,0.2669
545,-22155,139.83936333,35.80030821,0.2971
655,-22155,139.84058040,35.80030814,0.5168
325,-22165,139.83692920,35.80021817,0.5469
545,-22165,139.83936333,35.80021807,0.0871
695,-22165,139.84102296,35.80021798,0.7169
295,-22175,139.83659727,35.80012804,0.3668
315,-22175,139.83681856,35.80012804,0.1669
545,-22175,139.83936332,35.80012794,0.0671
735,-22175,139.84146552,35.80012781,0.3660
745,-22175,139.84157616,35.80012780,0.8660
755,-22175,139.84168680,35.80012780,0.9660
545,-22185,139.83936331,35.80003780,0.1971
765,-22185,139.84179743,35.80003765,0.1160
775,-22185,139.84190808,35.80003765,0.3160
785,-22185,139.84201872,35.80003764,0.4160
795,-22185,139.84212936,35.80003763,0.4160
805,-22185,139.84224000,35.80003762,0.7660
545,-22195,139.83936331,35.79994767,0.6971
555,-22195,139.83947395,35.79994766,0.0871
835,-22195,139.84257192,35.79994746,0.0360
-13065,-22205,139.68878029,35.79977078,1.2361
-13055,-22205,139.68889093,35.79977092,1.3399
-12815,-22205,139.69154632,35.79977408,0.5750
-6735,-22205,139.75881625,35.79983459,0.1139
275,-22205,139.83637598,35.79985764,0.3668
545,-22205,139.83936330,35.79985753,0.6971
555,-22205,139.83947394,35.79985752,0.1171
