,都営住宅等東京都の応急仮設住宅入居人数,民間賃貸住宅東京都の応急仮設住宅入居人数,合計
千代田区,1,0,
中央区,0,0,
港区,10,0,
新宿区,46,1,
文京区,0,0,
台東区,0,2,
墨田区,2,2,
江東区,495,0,
品川区,0,1,
目黒区,0,0,
大田区,6,9,
世田谷区,1,1,
渋谷区,1,0,
中野区,83,4,
杉並区,7,4,
豊島区,0,5,
北区,4,3,
荒川区,12,1,
板橋区,20,14,
練馬区,29,22,
足立区,28,24,
葛飾区,21,6,
江戸川区,72,15,
八王子市,5,7,
立川市,28,0,
武蔵野市,19,0,
三鷹市,4,0,
青梅市,0,1,
府中市,0,6,
昭島市,0,0,
調布市,0,2,
町田市,3,3,
小金井市,0,0,
小平市,2,0,
日野市,1,6,
東村山市,0,0,
国分寺市,0,0,
国立市,1,4,
福生市,0,1,
狛江市,0,0,
東大和市,6,1,
清瀬市,2,0,
東久留米市,0,0,
武蔵村山市,0,2,
多摩市,0,2,
稲城市,2,2,
羽村市,0,9,
あきる野市,0,0,
西東京市,9,9,
瑞穂町,0,0,
日の出町,0,0,
檜原村,0,0,
奥多摩町,0,0,
大島町,0,0,
利島村,0,0,
新島村,0,0,
神津島村,0,0,
三宅村,0,0,
御蔵島村,0,0,
八丈町,0,0,
青ヶ島村,0,0,
小笠原村,0,0,
小計,920,169,
合計,,,1089
