,岩手県都内避難者人数,宮城県都内避難者人数,福島県都内避難者人数,その他都内避難者人数,総数都内避難者人数
千代田区,0,0,29,0,29
中央区,1,12,24,15,52
港区,2,4,24,3,33
新宿区,0,1,51,0,52
文京区,3,5,64,3,75
台東区,2,3,36,2,43
墨田区,2,4,32,0,38
江東区,8,6,194,1,209
品川区,1,3,26,1,31
目黒区,0,3,21,4,28
大田区,3,10,111,0,124
世田谷区,14,21,143,9,187
渋谷区,2,5,31,1,39
中野区,7,25,103,6,141
杉並区,0,2,6,0,8
豊島区,11,24,101,2,138
北区,1,17,84,3,105
荒川区,2,5,45,0,52
板橋区,5,13,95,1,114
練馬区,5,26,121,0,152
足立区,11,25,217,1,254
葛飾区,2,18,112,0,132
江戸川区,12,20,148,5,185
八王子市,5,24,136,2,167
立川市,0,3,37,1,41
武蔵野市,0,8,61,1,70
三鷹市,0,4,39,0,43
青梅市,0,0,23,0,23
府中市,6,8,71,0,85
昭島市,3,5,38,0,46
調布市,1,2,39,0,42
町田市,26,46,164,11,247
小金井市,0,3,23,0,26
小平市,6,10,46,3,65
日野市,7,6,62,4,79
東村山市,3,8,29,0,40
国分寺市,3,7,30,0,40
国立市,0,3,19,0,22
福生市,1,4,11,0,16
狛江市,0,7,10,0,17
東大和市,2,4,22,0,28
清瀬市,2,6,49,5,62
東久留米市,0,0,38,0,38
武蔵村山市,0,0,17,0,17
多摩市,3,5,23,0,31
稲城市,4,8,29,1,42
羽村市,2,2,21,0,25
あきる野市,1,2,11,4,18
西東京市,3,17,102,0,122
瑞穂町,1,0,12,0,13
日の出町,0,0,2,0,2
檜原村,0,0,0,0,0
奥多摩町,0,0,0,0,0
大島町,0,0,0,0,0
利島村,0,0,0,0,0
新島村,0,0,0,0,0
神津島村,0,0,0,0,0
三宅村,0,0,0,0,0
御蔵島村,0,0,0,0,0
八丈町,0,0,0,0,0
青ヶ島村,0,0,0,0,0
小笠原村,0,0,0,0,0
合計,173,444,2982,89,3688
