規模,和暦年,西暦年,年平均・月・対前年同月比,調査産業計,調査産業計／対前年比・対前年同月比（％）,鉱業,建設業,製造業,電気・ガス・熱供給・水道業,情報通信業,運輸業,卸売・小売業,金融・保険業,不動産業,飲食店，宿泊業,医療，福祉,教育，学習支援業,複合サービス事業,サービス業（他に分類されないもの）
５人以上,平成15,2003,年平均,97.5,－,108,95.6,105.9,89.4,－,－,－,－,－,－,－,－,－,－
５人以上,平成16,2004,年平均,99,1.5,108.9,97.8,106.1,105.9,－,－,－,－,－,－,－,－,－,－
５人以上,平成17,2005,年平均,100,1,100,100,100,100,100,100,100,100,100,100,100,100,100,100
５人以上,平成18,2006,年平均,99.4,-0.6,101.2,98.2,99.1,99.9,99.5,98.6,101.8,96.7,107.8,92,103.4,100.5,99.5,96.5
５人以上,平成19,2007,年平均,99.5,0.1,96.9,98.2,99.2,100.6,103,101.5,100.8,99,107.5,87,107,94.8,99.7,97.4
５人以上,平成20,2008,年平均,99.4,-0.1,100.6,97.2,100.6,104.2,105.8,103.7,102.7,100.2,101,79,107.1,90,112.2,98.1
５人以上,平成20,2008,4月,100.5,-0.4,99.1,96.5,101.1,102.2,106.9,104.5,104.8,99.8,106,81.4,109.5,94.3,112,97.1
５人以上,平成20,2008,5月,99.6,0.5,99.5,95.7,100.2,101,105.1,102.4,105.3,99.7,104,82,106.5,89.2,113.3,97
５人以上,平成20,2008,6月,99.6,-0.2,98.7,97.5,102,101,105.4,104.1,103,99.7,102.5,78.7,106.4,89.9,115.1,97.7
５人以上,平成20,2008,7月,99.2,0.3,99.7,97.5,101.3,103.2,104.5,103.8,102,101,100.1,77.2,107.8,90,110.6,98.3
５人以上,平成20,2008,8月,99.1,-0.1,104.9,96.4,100.3,103.9,105.9,103.8,103,101,98.9,76.4,106.8,88.5,111.8,97.9
５人以上,平成20,2008,9月,99.4,0.1,103.8,97.8,100.4,109.5,107.6,103.5,102,101.4,99.4,75.4,108.1,89,109.2,98.7
５人以上,平成20,2008,10月,98.8,-0.9,104,96.8,100.3,105.9,106.2,103.2,100.7,99.5,99.2,75.6,108.1,90.8,122.2,98.6
５人以上,平成20,2008,11月,98.2,-1.1,101.1,97.3,100.1,111.4,104.1,104.3,101.4,99,98.6,78.3,105.9,86.7,109.9,98
５人以上,平成20,2008,12月,98.3,-1.1,102.2,97.9,100.7,105.9,106.4,104.7,100.3,98.9,99.1,77.5,106.4,87.3,108.3,98.5
５人以上,平成21,2009,1月,97.7,-1.8,110.9,97.2,100.4,100.7,104.4,105.7,99.2,97.5,95.8,77.7,106.2,91,111.7,98.1
５人以上,平成21,2009,2月,98.5,-1.6,107.6,97.4,99.9,100.3,106.4,106.5,102.5,97,95.4,78.7,106.3,90.4,110.7,98.2
５人以上,平成21,2009,3月,99.5,-0.6,106.8,98.5,100.7,101,107.8,104.9,102,99.7,96.1,82,107.4,92.8,109.7,99.6
５人以上,平成21,2009,4月,100,-0.5,107.3,98.6,100.9,103.8,106.6,107.3,104.2,99.8,97.6,81.7,110.3,92.6,118.5,98.4
５人以上,平成21,2009,4月（対前年同月比（％））,－,－,8.3,2.2,-0.2,1.6,-0.3,2.7,-0.6,0,-7.9,0.4,0.7,-1.8,5.8,1.3
30人以上,平成15,2003,年平均,97.8,－,101.1,95.8,109.3,89.9,－,－,－,－,－,－,－,－,－,－
30人以上,平成16,2004,年平均,100.5,2.8,110.1,96.8,108.3,107.6,－,－,－,－,－,－,－,－,－,－
30人以上,平成17,2005,年平均,100,-0.5,100,100,100,100,100,100,100,100,100,100,100,100,100,100
30人以上,平成18,2006,年平均,99.2,-0.8,99.1,96.5,99.5,100,99.5,100.3,102.5,96.4,101.5,91.9,99.3,101,96.6,96.9
30人以上,平成19,2007,年平均,100.6,1.4,95,96.6,100.6,101.4,103.8,102.7,101.8,99.9,101.4,86.4,109.4,98.3,97.9,98.5
30人以上,平成20,2008,年平均,101.5,0.9,98.6,97,102.1,106.7,107.3,106.2,105.5,101,99.7,77.6,106.1,94.7,117.8,99.6
30人以上,平成20,2008,4月,102.5,0.3,97,96.9,102.2,104.7,108.4,106.9,106.6,100.6,101.5,82.1,110.3,99.6,117.4,98.9
30人以上,平成20,2008,5月,101.4,1.5,97.4,95.1,101,103.8,106.1,104.6,107.9,100.8,100,80.4,107.2,93.3,119.8,98.6
30人以上,平成20,2008,6月,101.4,0.7,96.7,96.7,102.5,103.2,107.2,106.2,105.1,100.9,99.5,78.9,106,94.4,120.8,98.9
30人以上,平成20,2008,7月,101.4,1.1,97.7,96.7,102.7,105.5,106.4,106.9,105.4,101.6,100.3,74.8,105,94.1,116.4,99.6
30人以上,平成20,2008,8月,101.6,1,102.8,96.3,102.2,106.2,108,106.8,107.5,101.7,99.2,73.1,104.1,92.5,118.1,99.4
30人以上,平成20,2008,9月,101.8,1,101.7,97.2,102.3,112.4,110.1,107.4,105.5,102,100.6,70.5,105.3,93.7,113.7,100.3
30人以上,平成20,2008,10月,101,-0.2,102,96.4,102.1,108.9,108,106.1,103.5,100.2,98.3,69.2,105.9,95.7,129.1,100
30人以上,平成20,2008,11月,100.5,-0.1,99.2,97,101.9,114.6,105.9,107.7,104.6,99.5,98.4,75.8,103.1,90.2,113.9,99.7
30人以上,平成20,2008,12月,100.7,0.1,100.2,97.9,102.6,108.8,108.3,108,103.4,99.2,99.5,73.3,103.7,91,111,100.3
30人以上,平成21,2009,1月,99.2,-2.4,108.7,97.4,101.4,102.5,105.8,109.7,102,97.2,96.3,67.5,103.5,94.9,118.4,98.1
