【2020年度HAPs成分】,表8-1　物質別月別調査結果（HAPｓ）,,,,,,,,,,,,,,,,,,,2020年度　HAPs,
,,"注） ・２桁への有効数字処理は行っていない。
　　 ・検出下限値未満の値は「<」で示し、年平均値算出には検出下限値の1/2を充てる。右側のppb換算値の検出下限値付近の値においては、μg/m3と表示が異なる場合がある。    ",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1,Vinylchloride,,,,,,,,,　　基準値等　：,,10,μg/m3,(3.847 ppb),,（指針値）,,分子量：,62.5,
,,,,,,,,,,,　　定量下限値：,,0.06,,(0.024 ppb),,,,換算係数(→ppb）：,0.385 ,
,,,2020年度,,,,,,,,　　検出下限値：,,0.02,,(0.008 ppb),,(単位：μg/m3）,,,(単位：ｐｐｂ）,
,測定地点（局）,,4月,5月,6月,7月,8月,9月,10月,11月,12月,1月,2月,3月,最大,最小,平 均,最大,最小,平 均,
,,中央区晴海,  < 0.02,0.122 ,0.232 ,  < 0.02,0.134 ,  < 0.02,0.031 ,  < 0.02,0.025 ,0.021 ,0.043 ,  < 0.02,0.232 ,  < 0.02,0.055 ,0.089 ,  < 0.008,0.021 ,
,区,国設東京新宿,  < 0.02,0.029 ,0.021 ,  < 0.02,0.036 ,  < 0.02,0.026 ,0.031 ,  < 0.02,  < 0.02,0.043 ,  < 0.02,0.043 ,  < 0.02,0.020 ,0.016 ,  < 0.008,  < 0.008,
,部,大田区東糀谷,0.137 ,0.039 ,0.033 ,  < 0.02,  < 0.02,  < 0.02,  < 0.02,0.033 ,0.021 ,  < 0.02,0.097 ,  < 0.02,0.137 ,  < 0.02,0.035 ,0.053 ,  < 0.008,0.013 ,
,一,世田谷区世田谷,0.068 ,0.031 ,  < 0.02,  < 0.02,  < 0.02,  < 0.02,0.021 ,0.031 ,  < 0.02,0.024 ,0.025 ,  < 0.02,0.068 ,  < 0.02,0.022 ,0.026 ,  < 0.008,0.008 ,
,般,板橋区氷川町,0.044 ,0.029 ,0.025 ,  < 0.02,0.053 ,  < 0.02,0.033 ,0.035 ,0.025 ,0.023 ,0.023 ,  < 0.02,0.053 ,  < 0.02,0.027 ,0.020 ,  < 0.008,0.010 ,
,環,練馬区石神井町,  < 0.02,0.032 ,0.041 ,  < 0.02,  < 0.02,  < 0.02,0.030 ,0.023 ,0.030 ,0.023 ,  < 0.02,  < 0.02,0.041 ,  < 0.02,  < 0.02,0.016 ,  < 0.008,  < 0.008,
,境,足立区西新井,0.047 ,0.051 ,0.110 ,  < 0.02,0.048 ,  < 0.02,  < 0.02,  < 0.02,  < 0.02,0.022 ,0.024 ,  < 0.02,0.110 ,  < 0.02,0.030 ,0.042 ,  < 0.008,0.012 ,
,,江戸川区春江町,0.137 ,0.121 ,1.975 ,  < 0.02,0.033 ,  < 0.02,0.030 ,0.026 ,0.041 ,0.024 ,0.021 ,  < 0.02,1.975 ,  < 0.02,0.203 ,0.760 ,  < 0.008,0.078 ,
,,区部一般平均,0.058 ,0.057 ,0.306 ,  < 0.02,0.042 ,  < 0.02,0.024 ,0.025 ,0.022 ,  < 0.02,0.036 ,  < 0.02,1.975 ,  < 0.02,0.052 ,0.760 ,  < 0.008,0.020 ,
,多,小金井市本町,  < 0.02,0.070 ,0.072 ,  < 0.02,  < 0.02,  < 0.02,0.020 ,0.029 ,0.032 ,0.027 ,  < 0.02,  < 0.02,0.072 ,  < 0.02,0.026 ,0.028 ,  < 0.008,0.010 ,
,摩,東大和市奈良橋,  < 0.02,0.042 ,0.034 ,  < 0.02,  < 0.02,  < 0.02,0.027 ,0.032 ,  < 0.02,0.024 ,  < 0.02,  < 0.02,0.042 ,  < 0.02,  < 0.02,0.016 ,  < 0.008,  < 0.008,
,一般,多摩部一般平均,  < 0.02,0.056 ,0.053 ,  < 0.02,  < 0.02,  < 0.02,0.024 ,0.031 ,0.021 ,0.026 ,  < 0.02,  < 0.02,0.072 ,  < 0.02,0.022 ,0.028 ,  < 0.008,0.009 ,
,都一般平均,,0.048 ,0.057 ,0.255 ,  < 0.02,0.035 ,  < 0.02,0.024 ,0.026 ,0.021 ,0.021 ,0.031 ,  < 0.02,1.975 ,  < 0.02,0.046 ,0.760 ,  < 0.008,0.018 ,
,,京葉道路亀戸,0.080 ,0.062 ,1.717 ,  < 0.02,0.122 ,  < 0.02,0.040 ,0.023 ,0.030 ,0.021 ,0.024 ,  < 0.02,1.717 ,  < 0.02,0.179 ,0.660 ,  < 0.008,0.069 ,
,,環八通り八幡山,  < 0.02,0.028 ,  < 0.02,  < 0.02,  < 0.02,  < 0.02,0.022 ,0.023 ,  < 0.02,0.034 ,  < 0.02,  < 0.02,0.034 ,  < 0.02,  < 0.02,0.013 ,  < 0.008,  < 0.008,
,沿,２地点沿道平均,0.045 ,0.045 ,0.863 ,  < 0.02,0.066 ,  < 0.02,0.031 ,0.023 ,0.020 ,0.028 ,  < 0.02,  < 0.02,1.717 ,  < 0.02,0.097 ,0.660 ,  < 0.008,0.037 ,
,道,甲州街道大原,  < 0.02,0.052 ,  < 0.02,  < 0.02,0.040 ,  < 0.02,0.032 ,0.022 ,0.024 ,0.037 ,0.024 ,  < 0.02,0.052 ,  < 0.02,0.023 ,0.020 ,  < 0.008,0.009 ,
,,中山道大和町,  < 0.02,0.036 ,  < 0.02,  < 0.02,0.036 ,  < 0.02,0.023 ,  < 0.02,0.028 ,0.020 ,0.023 ,  < 0.02,0.036 ,  < 0.02,  < 0.02,0.014 ,  < 0.008,  < 0.008,
,,４地点沿道平均,0.027 ,0.045 ,0.437 ,  < 0.02,0.052 ,  < 0.02,0.029 ,  < 0.02,0.023 ,0.028 ,0.020 ,  < 0.02,1.717 ,  < 0.02,0.059 ,0.660 ,  < 0.008,0.023 ,
,檜原(ﾊﾞｯｸｸﾞﾗｳﾝﾄﾞ),,  < 0.02,0.050 ,0.070 ,  < 0.02,0.023 ,  < 0.02,  < 0.02,  < 0.02,  < 0.02,0.024 ,  < 0.02,  < 0.02,0.070 ,  < 0.02,0.021 ,0.027 ,  < 0.008,  < 0.008,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,2,"1,3-Butadiene",,,,,,,,,　　基準値等　：,,2.5,μg/m3,(1.111 ppb),,（指針値）,,分子量：,54.1,
,,,,,,,,,,,　　定量下限値：,,0.08,,(0.04 ppb),,,,換算係数(→ppb）：,0.444 ,
,,,2020年度,,,,,,,,　　検出下限値：,,0.03,,(0.02 ppb),,(単位：μg/m3）,,,(単位：ｐｐｂ）,
,測定地点（局）,,4月,5月,6月,7月,8月,9月,10月,11月,12月,1月,2月,3月,最大,最小,平 均,最大,最小,平 均,
,,中央区晴海,  < 0.03,0.169 ,0.196 ,0.072 ,1.747 ,0.064 ,0.061 ,0.080 ,0.099 ,0.072 ,0.102 ,0.136 ,1.747 ,  < 0.03,0.234 ,0.776 ,  < 0.02,0.104 ,
,区,国設東京新宿,  < 0.03,0.063 ,0.047 ,0.043 ,0.232 ,0.059 ,0.061 ,0.093 ,0.114 ,0.063 ,0.149 ,  < 0.03,0.232 ,  < 0.03,0.080 ,0.103 ,  < 0.02,0.035 ,
,部,大田区東糀谷,0.092 ,0.386 ,0.104 ,0.139 ,0.946 ,0.063 ,0.050 ,0.431 ,0.158 ,0.136 ,0.298 ,0.405 ,0.946 ,0.050 ,0.267 ,0.420 ,0.022 ,0.119 ,
,一,世田谷区世田谷,0.059 ,0.042 ,0.073 ,  < 0.03,0.031 ,0.060 ,0.063 ,0.116 ,0.191 ,0.104 ,0.105 ,  < 0.03,0.191 ,  < 0.03,0.073 ,0.085 ,  < 0.02,0.032 ,
,般,板橋区氷川町,0.052 ,0.065 ,0.058 ,0.036 ,0.056 ,0.072 ,0.102 ,0.117 ,0.199 ,0.103 ,0.105 ,0.039 ,0.199 ,0.036 ,0.084 ,0.088 ,  < 0.02,0.037 ,
,環,練馬区石神井町,0.032 ,0.048 ,0.042 ,  < 0.03,0.044 ,0.064 ,0.096 ,0.097 ,0.148 ,0.124 ,0.088 ,  < 0.03,0.148 ,  < 0.03,0.068 ,0.066 ,  < 0.02,0.030 ,
,境,足立区西新井,0.091 ,0.084 ,0.103 ,  < 0.03,0.475 ,0.073 ,0.109 ,0.122 ,0.167 ,0.118 ,0.193 ,0.030 ,0.475 ,  < 0.03,0.132 ,0.211 ,  < 0.02,0.059 ,
,,江戸川区春江町,0.060 ,0.093 ,0.173 ,0.056 ,0.109 ,0.092 ,0.124 ,0.141 ,0.180 ,0.155 ,0.156 ,0.097 ,0.180 ,0.056 ,0.120 ,0.080 ,0.025 ,0.053 ,
,,区部一般平均,0.052 ,0.119 ,0.100 ,0.049 ,0.455 ,0.068 ,0.083 ,0.150 ,0.157 ,0.110 ,0.149 ,0.094 ,1.747 ,  < 0.03,0.132 ,0.776 ,  < 0.02,0.059 ,
,多,小金井市本町,0.047 ,0.041 ,0.062 ,  < 0.03,0.038 ,0.056 ,0.071 ,0.108 ,0.134 ,0.100 ,0.129 ,0.060 ,0.134 ,  < 0.03,0.072 ,0.060 ,  < 0.02,0.032 ,
,摩,東大和市奈良橋,0.033 ,0.037 ,0.064 ,0.044 ,0.038 ,0.042 ,0.073 ,0.086 ,0.160 ,0.120 ,0.147 ,  < 0.03,0.160 ,  < 0.03,0.072 ,0.071 ,  < 0.02,0.032 ,
,一般,多摩部一般平均,0.040 ,0.039 ,0.063 ,  < 0.03,0.038 ,0.049 ,0.072 ,0.097 ,0.147 ,0.110 ,0.138 ,0.037 ,0.160 ,  < 0.03,0.072 ,0.071 ,  < 0.02,0.032 ,
,都一般平均,,0.050 ,0.103 ,0.092 ,0.045 ,0.372 ,0.064 ,0.081 ,0.139 ,0.155 ,0.110 ,0.147 ,0.083 ,1.747 ,  < 0.03,0.120 ,0.776 ,  < 0.02,0.053 ,
,,京葉道路亀戸,0.075 ,0.205 ,0.245 ,0.359 ,0.270 ,0.088 ,0.094 ,0.132 ,0.184 ,0.119 ,0.168 ,0.151 ,0.359 ,0.075 ,0.174 ,0.159 ,0.033 ,0.077 ,
,,環八通り八幡山,0.089 ,0.066 ,  < 0.03,  < 0.03,0.033 ,0.160 ,0.191 ,0.137 ,0.279 ,0.197 ,0.171 ,0.055 ,0.279 ,  < 0.03,0.117 ,0.124 ,  < 0.02,0.052 ,
,沿,２地点沿道平均,0.082 ,0.135 ,0.130 ,0.187 ,0.152 ,0.124 ,0.142 ,0.135 ,0.231 ,0.158 ,0.169 ,0.103 ,0.359 ,  < 0.03,0.146 ,0.159 ,  < 0.02,0.065 ,
,道,甲州街道大原,0.074 ,0.092 ,0.082 ,0.068 ,0.149 ,0.092 ,0.139 ,0.157 ,0.227 ,0.150 ,0.209 ,0.033 ,0.227 ,0.033 ,0.123 ,0.101 ,  < 0.02,0.055 ,
,,中山道大和町,0.081 ,0.165 ,0.126 ,0.085 ,0.116 ,0.198 ,0.215 ,0.190 ,0.274 ,0.200 ,0.208 ,0.039 ,0.274 ,0.039 ,0.158 ,0.122 ,  < 0.02,0.070 ,
,,４地点沿道平均,0.080 ,0.132 ,0.117 ,0.132 ,0.142 ,0.135 ,0.160 ,0.154 ,0.241 ,0.166 ,0.189 ,0.070 ,0.359 ,  < 0.03,0.143 ,0.159 ,  < 0.02,0.064 ,
