事業所規模,和暦年,西暦年,年平均・月・前年比・前年同月比,調査産業計,鉱業，採石業，砂利採取業,建設業,製造業,電気・ガス・熱供給・水道業,情報通信業,運輸業，郵便業,卸売業，小売業,金融業，保険業,不動産業，物品賃貸業,学術研究，専門・技術サービス業,宿泊業，飲食サービス業,生活関連サービス業，娯楽業,教育，学習支援業,医療，福祉,複合サービス事業,サービス業（他に分類されないもの）
５人以上,平成30,2018,年平均,100,－,96.7,101.2,105.9,97.9,109,102.7,98.7,103.4,99.4,116.1,88.3,103.9,97.9,108.8,96
５人以上,平成31・令和元,2019,年平均,100.5,－,103.3,101,107.6,99.7,110,100.8,99.5,98.3,104.1,108.4,91.8,100.3,96.9,101.7,100.5
５人以上,令和２,2020,年平均,100,－,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
５人以上,令和３,2021,年平均,101.3,－,99.6,100.7,106.9,99.8,99.6,101.6,91.4,106.1,97.4,109.1,105,99.2,105.3,100.1,103.1
５人以上,令和４,2022,年平均,103,104.5,106.3,98.9,97.8,99.8,106.5,103.7,94.3,111,101.1,133,104.9,109.8,100.6,96.2,101.2
５人以上,令和５,2023,年平均,105.2,111.1,109.1,102,103.6,101.3,115.7,105.3,92.2,110,103.1,134.7,107.8,109.2,105.9,102,106.1
５人以上,令和５,2023,1月,103.3,106.6,105.8,101.3,100.7,97.8,113.1,102.3,92.9,108.3,100.7,137,104.2,109.5,104.8,101,105.2
５人以上,令和５,2023,2月,102.6,107.7,105.2,100.9,103.4,98.2,110.4,102.1,92.8,107.2,100.2,136.2,101.5,104.1,104.1,102,104.4
５人以上,令和５,2023,3月,105.4,×,108.5,101.7,×,99.6,115.2,104.7,93.3,109.8,103.4,136.3,104.4,116.4,107.7,98.9,107.2
５人以上,令和５,2023,4月,106.9,×,111,101.9,×,102,119.6,106,94.9,112.9,105,138.2,110.9,113.8,110,101.3,105.6
５人以上,令和５,2023,5月,105.2,111.3,107.3,100.9,100.4,100.8,114.3,105.7,94.1,110.5,102.3,136,111.7,110.5,104.9,101.1,105.6
