規模,和暦年,西暦年,年平均・月・前年同月比,調査産業計,調査産業計／前年比・前年同月比（％）,鉱業，採石業，砂利採取業,建設業,製造業,電気・ガス・熱供給・水道業,情報通信業,運輸業，郵便業,卸売業，小売業,金融業，保険業,不動産業，物品賃貸業,学術研究，専門・技術サービス業,宿泊業，飲食サービス業,生活関連サービス業，娯楽業,教育，学習支援業,医療，福祉,複合サービス事業,サービス業（他に分類されないもの）
５人以上,平成29,2017,年平均,110.5,-0.4,－,114,113.2,80.6,104.7,102.5,104.7,98.6,116.6,125.2,164.9,131.6,93.5,102.2,76.3,106.7
５人以上,平成30,2018,年平均,105.8,-4.3,－,115.5,127.5,87,88.7,98.1,107.4,88.4,110.3,109.8,167,148.1,134.7,109.6,141.7,100.3
５人以上,平成31・令和元,2019,年平均,110.6,4.6,－,113.3,120.5,99.8,102.4,111.4,112.3,94.8,113.5,111.3,155.7,143.7,129.4,106.7,130.8,109.4
５人以上,令和２,2020,年平均,100,-9.6,－,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
５人以上,令和３,2021,年平均,108.7,8.6,－,104.1,109.6,88.9,101.9,99.7,117.3,93.5,119,122.4,79.1,123.2,109.1,109.5,100.3,118.7
５人以上,令和４,2022,年平均,113.6,4.5,112.6,103,118.6,88.6,105,112.6,125,99.3,117.6,119.9,145.6,131.8,103.9,100.7,101.9,123.3
５人以上,令和４,2022,2月,109.7,6.5,116.2,106,122.5,87.4,106.3,109.3,117.9,93.8,118,120.2,100,113.2,90.2,98,87,120.6
５人以上,令和４,2022,3月,121.4,5.8,121.7,113.7,126.5,101.1,115.1,121.4,130.8,102.3,131.1,134.9,109.5,150.9,111.8,106,103.3,132
５人以上,令和４,2022,4月,120.4,4,111.1,107.7,123.5,87.9,109.4,111.5,137.2,109.7,134.4,130.2,140.5,124.5,137.3,100,112,129.9
５人以上,令和４,2022,5月,108.7,3.5,97.5,89.6,108.8,84.5,98.1,103.8,126.9,97.2,113.9,113.2,147.6,122.6,96.1,96,109.8,123.7
５人以上,令和４,2022,6月,114.6,7.1,110.6,104.9,118.6,83.9,105,108.2,128.2,101.1,117.2,120.9,152.4,134,119.6,102,104.3,121.6
５人以上,令和４,2022,7月,114.6,4.3,113.6,106,120.6,87.4,101.3,113.2,125.6,99.4,110.7,120.9,166.7,135.8,107.8,100,95.7,123.7
５人以上,令和４,2022,8月,105.8,4.5,110.1,96.7,110.8,86.2,97.5,103.8,115.4,94.9,105.7,110.1,150,113.2,66.7,96,72.8,118.6
５人以上,令和４,2022,9月,111.7,5.4,115.7,101.6,117.6,90.2,103.1,114.8,121.8,97.7,111.5,112.4,157.1,139.6,100,96,93.5,121.6
５人以上,令和４,2022,10月,116.5,3.3,115.7,108.2,118.6,93.1,108.8,120.3,124.4,101.7,119.7,124.8,154.8,162.3,113.7,102,91.3,119.6
５人以上,令和４,2022,11月,115.5,0.7,122.2,107.7,121.6,90.2,108.2,112.6,123.1,101.7,117.2,123.3,154.8,143.4,107.8,108,104.3,123.7
５人以上,令和４,2022,12月,115.5,1.5,111.6,102.7,117.6,83.3,107.5,123.6,125.6,100,118.9,120.9,171.4,128.3,107.8,104,138,119.6
５人以上,令和５,2023,1月,109.7,0.9,114.1,94,101,93.1,102.5,105.5,117.9,92.6,96.7,117.1,164.3,115.1,129.4,112,122.8,127.8
５人以上,令和５,2023,2月,113.6,3.6,115.7,111,110.8,109.2,108.2,106,115.4,91.5,97.5,130.2,147.6,100,160.8,106,105.4,127.8
５人以上,令和５,2023,2月（前年同月比（％））,－,－,-0.4,4.7,-9.6,24.9,1.8,-3,-2.1,-2.5,-17.4,8.3,47.6,-11.7,78.3,8.2,21.1,6
30人以上,平成29,2017,年平均,105,-2.2,－,110.6,106.9,82,106.6,92.4,97.5,95.2,104.2,118.7,211.2,117.9,93,93,69.5,107
30人以上,平成30,2018,年平均,103.5,-1.3,－,118.3,120.2,90.6,90.9,93.3,98.3,86.3,114.9,110,218,163.3,137.6,107.9,128.6,105.9
30人以上,平成31・令和元,2019,年平均,109.8,5.9,－,118.3,116.7,104.5,103.8,107.7,106.5,92.3,115.6,114.8,207.7,132.7,138.3,101.3,119.5,116
30人以上,令和２,2020,年平均,100,-8.8,－,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
30人以上,令和３,2021,年平均,109.4,9.3,－,103.5,109.6,92,102.2,96.8,121.5,96.2,119.6,119.1,116,131.6,124.6,112.7,101.2,115.3
30人以上,令和４,2022,年平均,114.7,4.8,112.6,98.5,120.4,97.3,106.4,107.5,128.2,97.2,121,118.9,223.9,166.3,124,101.7,98.9,126.6
30人以上,令和４,2022,2月,111.8,7.8,116.2,103.3,122.5,101.7,107.3,106.7,121.7,90.8,116.4,116.6,140.5,149.2,106.1,96.6,88.1,124
30人以上,令和４,2022,3月,122.7,6.2,121.7,116.3,128.3,118.9,115.2,118.5,133.7,100.5,132,126.9,173,200,136.7,103.4,100,135.4
30人以上,令和４,2022,4月,122.7,5.5,111.1,108.4,126.7,101.1,110.4,107.2,140.2,106.7,135.2,129.7,205.4,161.9,175.5,98.3,107.1,133.3
30人以上,令和４,2022,5月,110.9,4.4,97.5,87.9,110.8,94.3,98.8,100.5,129.3,95.4,115.6,115.9,229.7,161.9,116.3,96.6,103.2,127.1
