区分１,区分２,区分３,三宅村消防本部,三宅村消防団本部,三宅村神着分団,三宅村伊豆分団,三宅村伊ヶ谷分団,三宅村阿古分団,三宅村坪田分団,三宅村計,御蔵島村,合計,,,,,,,,,,,,,
団員数条例定数（人）,,,,,,,,,,150,35,185,,,,,,,,,,,,,
団員数（人）,,,,3,23,11,13,28,23,101,30,131,,,,,,,,,,,,,
消防吏員条例定数（人）,,,17,,,,,,,17,,17,,,,,,,,,,,,,
消防吏員（人）,,,16,,,,,,,13,,13,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
ポンプ数,ガソリンポンプ,消防ポンプ自動車（台）,0,,1,1,0,1,1,4,0,4,,,,,,,,,,,,,
ポンプ数,ガソリンポンプ,小型動力ポンプ（台）,0,,4,1,3,4,4,16,6,22,,,,,,,,,,,,,
ポンプ数,ガソリンポンプ,小型動力ポンプ付積載車（台）,0,,1,1,2,1,1,6,2,8,,,,,,,,,,,,,
ポンプ数,ガソリンポンプ,水槽付ポンプ自動車（台）,1,,0,0,0,0,0,1,0,1,,,,,,,,,,,,,
ポンプ数,ガソリンポンプ,化学消防車（台）,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
ポンプ数,計（台）,,1,,6,3,5,6,6,27,8,35,,,,,,,,,,,,,
消火設備,消防栓（箇所）,,0,,0,0,0,0,0,0,30,30,,,,,,,,,,,,,
消火設備,防火水槽（箇所）,,,,24,14,11,33,29,111,6,117,,,,,,,,,,,,,
消火設備,計（箇所）,,,,24,14,11,33,29,111,36,147,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
