"科目","金額[百万円]"
"年度[西暦]","2022"
"決算日","20230331"
"資産の部 固定資産","3548736"
"資産の部 固定資産 有形固定資産","3397199"
"資産の部 固定資産 有形固定資産 事業用資産","655006"
"資産の部 固定資産 有形固定資産 事業用資産 土地","423416"
"資産の部 固定資産 有形固定資産 事業用資産 立木竹","-"
"資産の部 固定資産 有形固定資産 事業用資産 建物","395049"
"資産の部 固定資産 有形固定資産 事業用資産 建物減価償却累計額","-170313"
"資産の部 固定資産 有形固定資産 事業用資産 工作物","8612"
"資産の部 固定資産 有形固定資産 事業用資産 工作物減価償却累計額","-5243"
"資産の部 固定資産 有形固定資産 事業用資産 船舶","-"
"資産の部 固定資産 有形固定資産 事業用資産 船舶減価償却累計額","-"
"資産の部 固定資産 有形固定資産 事業用資産 浮標等","-"
"資産の部 固定資産 有形固定資産 事業用資産 浮標等減価償却累計額","-"
"資産の部 固定資産 有形固定資産 事業用資産 航空機","-"
"資産の部 固定資産 有形固定資産 事業用資産 航空機減価償却累計額","-"
"資産の部 固定資産 有形固定資産 事業用資産 その他","-"
"資産の部 固定資産 有形固定資産 事業用資産 その他減価償却累計額","-"
"資産の部 固定資産 有形固定資産 事業用資産 建設仮勘定","3486"
"資産の部 固定資産 有形固定資産 インフラ資産","2740494"
"資産の部 固定資産 有形固定資産 インフラ資産 土地","2633498"
"資産の部 固定資産 有形固定資産 インフラ資産 建物","1560"
"資産の部 固定資産 有形固定資産 インフラ資産 建物減価償却累計額","-853"
"資産の部 固定資産 有形固定資産 インフラ資産 工作物","122993"
"資産の部 固定資産 有形固定資産 インフラ資産 工作物減価償却累計額","-16704"
"資産の部 固定資産 有形固定資産 インフラ資産 その他","-"
"資産の部 固定資産 有形固定資産 インフラ資産 その他減価償却累計額","-"
"資産の部 固定資産 有形固定資産 インフラ資産 建設仮勘定","-"
"資産の部 固定資産 有形固定資産 物品","4242"
"資産の部 固定資産 有形固定資産 物品減価償却累計額","-2543"
"資産の部 固定資産 無形固定資産","3627"
"資産の部 固定資産 無形固定資産 ソフトウェア","3617"
"資産の部 固定資産 無形固定資産 その他","10"
"資産の部 固定資産 投資その他の資産","147909"
"資産の部 固定資産 投資その他の資産 投資及び出資金","852"
"資産の部 固定資産 投資その他の資産 投資及び出資金 有価証券","293"
"資産の部 固定資産 投資その他の資産 投資及び出資金 出資金","559"
"資産の部 固定資産 投資その他の資産 投資及び出資金 その他","-"
"資産の部 固定資産 投資その他の資産 投資損失引当金","-"
"資産の部 固定資産 投資その他の資産 長期延滞債権","1705"
"資産の部 固定資産 投資その他の資産 長期貸付金","559"
"資産の部 固定資産 投資その他の資産 基金","144971"
"資産の部 固定資産 投資その他の資産 基金 減債基金","-"
"資産の部 固定資産 投資その他の資産 基金 その他","144971"
"資産の部 固定資産 投資その他の資産 その他","-"
"資産の部 固定資産 投資その他の資産 徴収不能引当金","-178"
"資産の部 流動資産","76836"
"資産の部 流動資産 現金預金","20188"
"資産の部 流動資産 未収金","1596"
"資産の部 流動資産 短期貸付金","487"
"資産の部 流動資産 基金","54575"
"資産の部 流動資産 基金 財政調整基金","54575"
"資産の部 流動資産 基金 減債基金","-"
"資産の部 流動資産 棚卸資産","-"
"資産の部 流動資産 その他","-"
"資産の部 流動資産 徴収不能引当金","-11"
"資産の部 資産合計","3625572"
"負債の部 固定負債","14642"
"負債の部 固定負債 地方債","24"
"負債の部 固定負債 長期未払金","1971"
"負債の部 固定負債 退職手当引当金","12647"
"負債の部 固定負債 損失補償等引当金","-"
"負債の部 固定負債 その他","-"
"負債の部 流動負債","9451"
"負債の部 流動負債 1年内償還予定地方債","33"
"負債の部 流動負債 未払金","224"
"負債の部 流動負債 未払費用","-"
"負債の部 流動負債 前受金","-"
"負債の部 流動負債 前受収益","-"
"負債の部 流動負債 賞与等引当金","950"
"負債の部 流動負債 預り金","8244"
"負債の部 流動負債 その他","-"
"負債の部 負債合計","24093"
"純資産の部 固定資産等形成分","3603798"
"純資産の部 余剰分（不足分）","-2319"
"純資産の部 純資産合計","3601479"
"負債及び純資産合計","3625572"

"一般会計財務書類（貸借対照表）(令和5年3月31日現在)","Ver202303"
