"年度[西暦]","区分","水銀灯[基]","蛍光灯[基]","ナトリウム灯[基]","ガス灯[基]","メタルハライド灯[基]","LED灯[基]","その他[基]","合計[基]"
"2016","共架","455","3719","73","0","584","231","21","5083"
"2016","独立柱","767","1243","101","7","2102","291","100","4611"
"2016","合計","1222","4962","174","7","2686","522","121","9694"
"2017","共架","290","3685","70","0","615","387","21","5068"
"2017","独立柱","537","1210","97","7","2052","554","100","4557"
"2017","合計","827","4895","167","7","2667","941","121","9625"
"2018","共架","142","64","70","0","557","4176","14","5023"
"2018","独立柱","408","124","96","7","2024","1877","98","4634"
"2018","合計","550","188","166","7","2581","6053","112","9657"
"2019","共架","114","45","70","0","517","4259","14","5019"
"2019","独立柱","339","115","86","7","1925","2078","98","4648"
"2019","合計","453","160","156","7","2442","6337","112","9667"
"2020","共架","88","40","70","0","498","4254","14","4964"
"2020","独立柱","257","87","84","7","1830","2344","98","4707"
"2020","合計","345","127","154","7","2328","6598","112","9671"

"令和2年度港区行政資料集　街路灯","Ver202004",,,,,,,,
