年次（平成）,Year,区分階層,検察庁,Public Prosecutor's Office,受理 Received／総数 Total,受理 Received／旧受 Previously received,受理 Received／新受 Newly received,処理 Handled／総数 Total,処理 Handled／起訴 Prosecuted,処理 Handled／不起訴 Dismissed,処理 Handled／中止 Suspended,処理 Handled／移送 Transferred,処理 Handled／家裁に送致 Referred to Family Court,未済 Pending
26,2014,0,総数,Total,149419,3999,145420,145171,32983,84975,262,20480,6471,4248
27,2015,0,総数,Total,147589,4248,143341,143447,33913,82685,241,20639,5969,4142
28,2016,0,総数,Total,137946,4142,133804,133595,30553,76991,192,20144,5715,4351
29,2017,0,総数,Total,133254,4351,128903,129719,30618,74205,226,19253,5417,3535
30,2018,0,総数,Total,131597,3535,128062,128054,30649,72936,153,19269,5047,3543
30,2018,1,東京地方検察庁,Tokyo District Public Prosecutor's Office,74243,2579,71664,71515,11664,45962,140,8702,5047,2728
30,2018,2,本庁,Main Office,53342,1837,51505,51392,9664,32233,110,6320,3065,1950
30,2018,2,立川支部,Tachikawa Branch ,20901,742,20159,20123,2000,13729,30,2382,1982,778
30,2018,1,区検察庁,Local Public Prosecutor's Office,57354,956,56398,56539,18985,26974,13,10567,-,815
30,2018,2,東京,Tokyo,45919,848,45071,45198,13649,22030,12,9507,-,721
30,2018,2,八丈島,Hachijojima ,18,-,18,18,7,1,-,10,-,-
30,2018,2,伊豆大島,Izu-oshima ,11,-,11,11,2,-,-,9,-,-
30,2018,2,新島,Niijima,20,-,20,19,2,7,-,10,-,1
30,2018,2,八王子,Hachioji ,1025,1,1024,1021,518,466,-,37,-,4
30,2018,2,立川,Tachikawa,7581,42,7539,7541,3678,2973,1,889,-,40
30,2018,2,武蔵野,Musashino,1510,38,1472,1507,533,913,-,61,-,3
30,2018,2,青梅,Ome ,471,12,459,448,230,205,-,13,-,23
30,2018,2,町田,Machida,799,15,784,776,366,379,-,31,-,23
,,,,,,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 ) 20  司法・警察・消防 20  JUSTICE， POLICE， AND FIRE FIGHTING SERVICES,,,,,,,,,,,,,,
20-4  検察事件の検察庁別受理， 処理人員（平成26～30年） 20-4 CASES ( PERSONS ) RECEIVED/HANDLED BY THE PUBLIC PROSECUTOR'S OFFICE BY OFFICE ( 2014-2018 ),,,,,,,,,,,,,,
資料：法務省 「検察統計」 Source: Ministry of Justice,,,,,,,,,,,,,,
区分階層(0:総数　1:区分　2:区分内訳),,,,,,,,,,,,,,
