区分,平成22年,平成23年,平成24年,平成25年,平成26年,平成27年,平成28年,平成29年,平成30年,平成31年
50m2未満／件数(件),2808,2429,3740,4433,4311,4079,4205,4303,4395,4264
50m2未満／面積(m2),58602,53163,61558,78344,78265,74113,78330,82373,84721,79492
50m2以上100m2未満／件数(件),1946,1779,1841,2066,2159,2143,2182,2183,2071,2063
50m2以上100m2未満／面積(m2),139236,127105,130998,145687,153498,151729,156404,155681,147412,146377
100m2以上150m2未満／件数(件),941,788,781,852,1006,1031,979,1015,964,933
100m2以上150m2未満／面積(m2),115101,96097,95443,103660,121338,124394,118246,123955,117102,112686
150m2以上200m2未満／件数(件),444,468,365,504,508,543,577,597,541,524
150m2以上200m2未満／面積(m2),76494,80940,63523,86967,87281,93558,99049,103026,92692,90100
200m2以上300m2未満／件数(件),422,440,357,456,421,443,469,513,409,394
200m2以上300m2未満／面積(m2),102396,107448,86887,109710,101929,107209,113650,122745,97540,95079
300m2以上500m2未満／件数(件),343,343,269,287,251,314,311,317,278,233
300m2以上500m2未満／面積(m2),129411,131742,101502,107273,95460,119154,116494,118674,103619,87042
500m2以上1000m2未満／件数(件),158,150,110,136,140,120,122,121,99,106
500m2以上1000m2未満／面積(m2),109050,105056,74830,91404,96952,83245,84612,82467,66551,71094
1000m2以上2000m2未満／件数(件),75,56,53,50,37,41,38,40,21,30
1000m2以上2000m2未満／面積(m2),104942,72939,70222,68769,51077,55596,55215,52592,28250,40250
2000m2以上5000m2未満／件数(件),29,33,9,18,16,17,16,14,11,9
2000m2以上5000m2未満／面積(m2),87038,110043,24451,51154,40421,53881,43509,37060,31758,26389
5000m2以上10000m2未満／件数(件),14,15,2,5,3,3,5,1,2,2
5000m2以上10000m2未満／面積(m2),97322,101604,14500,34538,20855,20048,38239,5713,12262,12228
10000m2以上／件数(件),40,13,1,4,3,2,2,1,4,1
10000m2以上／面積(m2),544436,257378,14987,52387,42366,30210,33691,14988,83981,14988
合計／件数(件),7220,6514,7528,8811,8855,8736,8906,9105,8795,8559
合計／面積(m2),1564030,1243514,738901,929893,889442,913137,937439,899274,865888,775725
