区分,平成24年,平成25年,平成26年,平成27年,平成28年,平成29年,平成30年,平成31年,令和2年,令和3年
50m2未満／件数(件),13603,16603,15062,15419,15056,16212,16198,16398,14836,15793
50m2未満／面積(m2),173854,247495,235299,255073,265158,284848,296109,294504,257764,278601
50m2以上100m2未満／件数(件),5949,7028,7361,8227,8609,9626,9801,10116,8481,9447
50m2以上100m2未満／面積(m2),436505,511598,536448,596331,628889,700136,710406,731438,613521,685064
100m2以上150m2未満／件数(件),3254,3877,4212,4817,5066,5473,5506,5407,4649,4998
100m2以上150m2未満／面積(m2),398648,469535,511805,584350,615747,664374,667907,653735,563019,605415
150m2以上200m2未満／件数(件),2041,2355,2376,2745,2958,3148,3178,3036,2618,2793
150m2以上200m2未満／面積(m2),354816,408014,409575,474404,510089,543500,547289,523905,450756,480615
200m2以上300m2未満／件数(件),1942,2254,2261,2540,2658,2706,2733,2699,2308,2458
200m2以上300m2未満／面積(m2),474210,546060,547253,616938,640130,652243,658288,652829,557981,593695
300m2以上500m2未満／件数(件),1526,1732,1724,1861,1804,1932,1870,1841,1600,1631
300m2以上500m2未満／面積(m2),579455,657157,657279,701084,681179,726793,701651,692110,603074,614784
500m2以上1000m2未満／件数(件),812,967,986,867,959,945,923,843,788,844
500m2以上1000m2未満／面積(m2),551000,659629,670658,591152,653553,638298,624393,572454,537559,566530
1000m2以上2000m2未満／件数(件),295,309,242,234,243,204,212,210,183,199
1000m2以上2000m2未満／面積(m2),394323,412786,324110,313610,326004,270698,289690,278062,244634,265104
2000m2以上5000m2未満／件数(件),87,97,99,75,76,62,59,69,48,46
2000m2以上5000m2未満／面積(m2),250490,276733,294875,223153,219581,169227,174536,192392,138229,133300
5000m2以上10000m2未満／件数(件),14,25,19,15,15,11,13,5,6,11
5000m2以上10000m2未満／面積(m2),96840,177110,130930,108652,112172,68183,83256,30021,41944,76946
10000m2以上／件数(件),6,11,11,10,8,4,6,5,7,5
10000m2以上／面積(m2),93259,150125,185910,176783,172690,55400,103942,88149,98695,147696
合計／件数(件),29529,35258,34353,36810,37452,40323,40499,40629,35524,38225
合計／面積(m2),3803399,4516242,4504142,4641530,4825192,4773700,4857467,4709599,4107176,4447750
