都市名,住宅地：21年,住宅地：22年,住宅地：23年,住宅地：24年,住宅地：25年,住宅地：26年,住宅地：27年,住宅地：28年,住宅地：29年,住宅地：30年,商業地：21年,商業地：22年,商業地：23年,商業地：24年,商業地：25年,商業地：26年,商業地：27年,商業地：28年,商業地：29年,商業地：30年
札幌市　*1 *2,-3.4,-5.2,-4.2,-2.4,-1.2,1.2,0.7,2,2,2.3,-6.2,-7.7,-5.3,-2.9,-1.1,1.6,1.5,6,6.1,7.4
仙台市　*1 *2,-1.7,-2.8,-2.2,-0.9,1.6,3.1,3.2,3.2,4,4.6,-9.6,-9.7,-7.2,-3.2,1.3,3.4,4.2,6.2,9,8.7
さいたま市　*1 *2,-4.6,-5.4,-1.9,-1.8,-0.7,1.4,0.9,1.1,1.1,1.4,-6.1,-7.8,-2.6,-2.2,-0.5,1.5,2,2.3,2.7,3.1
千葉市　*1 *2,-3.6,-3.6,-1.9,-1.8,-1.1,0.1,0.2,0.2,0.4,0.7,-5.1,-4.8,-2.9,-2.7,-1.9,-0.3,0,0.5,1.4,2.2
東京特別区　*1 *2,-8.3,-6.8,-1.3,-1,-0.2,1.8,1.9,2.8,3,3.9,-8.1,-9.8,-3,-2.1,-0.4,2.7,3.4,4.8,5.5,6.4
横浜市　*1 *2,-3.4,-4.2,-1.2,-1.1,0.2,1.7,1.5,1.2,0.9,1,-4.7,-5.7,-2.2,-1.3,0.5,2.4,2.4,2.3,2.6,2.8
川崎市　*2,-6.1,-3,-0.9,-0.2,0.7,1.4,1.1,1.1,1.1,1.4,-7.4,-3.9,-0.4,0.1,2.1,3.4,2.8,3,3,3.9
相模原市　*2,－,－,-1.2,-1.1,-0.3,0.6,0.3,0.4,0.6,0.8,－,－,-1.8,-1.3,-0.5,0.3,0.4,0.9,1.1,1.5
新潟市　*1 *2,-0.9,-1.9,-2,-1.8,-1.6,-0.8,-0.7,-0.7,-0.4,0.1,-1.4,-3.2,-3.5,-3.1,-2.8,-1.4,-1.2,-1,-0.6,0
静岡市　*1 *2,-1.9,-2.2,-1.8,-2.4,-1.3,-0.2,-0.3,-0.6,-0.5,-0.6,-2.3,-3,-1.9,-2.5,-1.3,0,0.4,0.2,1.3,1.2
浜松市　*2,-0.7,-2.9,-1.1,-1.3,-0.9,-0.4,-0.3,-0.1,-0.2,0,-1.6,-3.3,-1.3,-1.1,-0.5,0.1,0,0.2,0.1,0.5
名古屋市　*1 *2,-4.2,-4,0.1,-0.1,0.4,2.6,1.7,1.6,1.2,1.3,-9.1,-9.7,-1.3,-1,-0.3,3.7,2.9,5.5,4.8,6.2
京都市　*1 *2,-2.9,-4.9,-2.6,-1.4,-0.9,0.1,0.3,0.5,0.8,1.3,-3.5,-5.5,-1.2,-0.3,0.2,2.2,2.3,5,6.5,9.1
大阪市　*1 *2,-2.2,-5.6,-2.9,-1.4,-0.6,0.1,0.3,0.5,0.5,0.6,-5.3,-11.7,-5.9,-2.4,-0.1,3.6,3.5,7.8,9,8.8
堺市　*2,-1.9,-5,-2.9,-1.6,-0.6,0.2,0.2,0.3,0.6,1.2,-2,-8.2,-5.5,-2.8,-1.6,0.1,0.4,1.3,2.9,4.6
神戸市　*1 *2,-2.2,-5.3,-1.8,-0.7,-0.4,0.6,0.6,0.4,0.2,0.3,-3.4,-7.1,-2.3,-1.3,-0.6,1,1.2,2.2,3.4,5.5
岡山市　*1 *2,－,-2.5,-2.2,-1.6,-1.5,-0.7,-0.3,0,0.1,0.3,－,-3.5,-3.6,-2.4,-1.9,0,0.7,1.3,1.6,2.2
