区市町村名　/　用途：平成　,住宅地：22年,住宅地：23年,住宅地：24年,住宅地：25年,住宅地：26年,住宅地：27年,住宅地：28年,住宅地：29年,住宅地：30年,住宅地：31年,商業地：22年,商業地：23年,商業地：24年,商業地：25年,商業地：26年,商業地：27年,商業地：28年,商業地：29年,商業地：30年,商業地：31年,全用途（林地を含む。）：22年,全用途（林地を含む。）：23年,全用途（林地を含む。）：24年,全用途（林地を含む。）：25年,全用途（林地を含む。）：26年,全用途（林地を含む。）：27年,全用途（林地を含む。）：28年,全用途（林地を含む。）：29年,全用途（林地を含む。）：30年,全用途（林地を含む。）：31年
千代田区,-13.5,-0.4,-1,0,6,6.3,9.4,7.5,3.3,2.9,-15.9,-3.6,-2.9,-0.5,4.2,5.7,7.4,7.1,6.6,7.7,-15.5,-3.2,-2.7,-0.4,4.5,5.8,7.7,7.1,6.2,7.2
中央区,-12.2,3.5,-0.7,0,8.7,6.4,9.7,6.2,2.2,4.7,-17.3,-3.8,-2.8,-0.4,4.7,7.2,9.6,9.8,8.4,8.9,-16.4,-2.7,-2.5,-0.3,5.4,7.1,9.6,9.2,7.5,8.2
港区,-8.7,-2,-0.9,0.1,5.9,6,6.3,5.2,5.3,6,-14.2,-5,-3.6,-0.8,4.4,5.6,7.6,6.7,6.7,8.8,-12.3,-4,-2.7,-0.5,4.8,5.7,7.2,6.2,6.2,7.8
新宿区,-8.1,-1.1,-0.9,-0.4,2.8,3.2,3.4,3,4,5.9,-10.3,-3.2,-2,-1,3.4,4,5.2,5.1,6.1,7.8,-9.4,-2.4,-1.5,-0.7,3.2,3.7,4.6,4.3,5.3,7.1
文京区,-8.5,-2.9,-1.2,-0.1,2.1,2.5,3.5,4.1,5.5,7,-9.7,-3.9,-1.9,-0.2,3,3.9,5.3,5.8,6.3,8,-9.1,-3.5,-1.6,-0.2,2.6,3.3,4.6,5,5.9,7.5
台東区,-8.7,-2.9,-1.6,-0.2,1.8,2,2.7,3.6,4.9,7.2,-9.4,-3.6,-2.9,-0.1,2,2.2,3.8,5.7,7.3,11,-9.4,-3.5,-2.7,-0.1,2,2.2,3.6,5.5,7,10.6
墨田区,-6.4,-1.4,-1.9,-0.4,1.4,1.5,2.1,2.5,3.9,5.3,-7,-1.3,-1,0.4,2.3,2,2.6,3.3,5.1,8.5,-6.7,-1.4,-1.4,0,2,1.8,2.4,2.9,4.5,7
江東区,-4.3,-1.1,-1.5,-0.1,2.5,2.3,2.6,3,4.1,5.5,-6.8,-2,-2.1,-0.3,2.7,2.4,2.6,3.2,6,9.7,-5.5,-1.5,-1.8,-0.2,2.5,2.3,2.6,3.1,4.7,6.9
品川区,-8.3,-1.4,-0.8,0,2,4.2,4.3,3.5,5.5,5.8,-8.9,-2.1,-1.5,-0.1,2.1,4.3,4.8,4.6,6.7,7.3,-8.5,-1.9,-1.1,0,2.1,4.3,4.6,4.1,6,6.5
目黒区,-8.5,-1.5,-1,0,2.5,2.9,6.9,4.5,3.8,4.2,-8.4,-2.7,-1.6,0.1,2.6,2.7,6.4,4.7,4.5,6.3,-8.4,-1.9,-1.2,0,2.6,2.8,6.7,4.6,4,4.9
大田区,-7.2,-1.9,-1,-0.4,1.7,1.8,2.9,2.7,2.6,3.3,-5.7,-2.8,-1.4,-0.5,1.5,1.9,3.4,3,3.2,4.7,-6.3,-2.2,-1.1,-0.4,1.7,1.9,3.3,2.9,2.9,3.9
世田谷区,-7,-1.4,-1.3,-0.3,1.4,1.5,2.7,3,3.9,4.2,-7.6,-3.5,-1.7,-0.2,1.4,1.9,3.3,4.5,6.4,8.1,-7.2,-1.9,-1.4,-0.3,1.4,1.6,2.9,3.3,4.5,5.1
渋谷区,-9.4,-1.6,-1.5,-0.2,2.8,2.6,3.4,3.5,4.2,5.3,-12.3,-6.1,-3.4,-0.7,3.4,4.6,7.6,8.7,9.2,9,-10.9,-4.3,-2.6,-0.5,3.2,3.9,5.9,6.3,7,7.4
中野区,-8.9,-0.9,-0.7,-0.4,1.8,1.6,2.1,2.9,3.6,4.7,-8.9,-1.5,-2.1,-0.9,1.9,1.9,3.4,5.3,6.4,7.3,-8.9,-1.2,-1.3,-0.6,1.9,1.8,2.8,4,4.9,5.9
杉並区,-7.7,-0.2,-0.7,-0.1,1.7,2,2.7,3.1,3.2,4.3,-7.5,-0.5,-0.8,-0.1,1.6,2.8,4.4,6.1,6.9,7.9,-7.6,-0.3,-0.7,-0.1,1.6,2.3,3.2,3.9,4.2,5.2
豊島区,-7.1,-1.7,-1.3,-0.2,2.2,2.5,3.5,3.6,5.2,7,-7.7,-1.4,-2.1,-0.4,3.2,3.5,4.9,5.5,6.7,8.9,-7.5,-1.5,-1.8,-0.3,2.8,3.1,4.3,4.7,6.1,8.2
北区,-4.4,-1.7,-0.7,-0.1,1.1,1.3,2.4,3.5,5.6,7.1,-7.4,-2.4,-0.9,-0.2,1.2,1.4,2.6,3.9,6.7,9,-5.8,-2,-0.8,-0.1,1.1,1.3,2.5,3.7,6.1,7.9
荒川区,-6.1,-2.5,-1,-0.1,1,1.3,2.5,3.9,6.1,8.6,-6.5,-2.4,-1.1,-0.1,1.4,1.6,3,4.6,6.7,9.4,-5.6,-2.4,-1,-0.1,1.2,1.4,2.8,4.2,6.3,8.9
板橋区,-5.9,-1.6,-1.3,-0.5,1,1.1,2,2.8,4.1,5,-6.8,-2,-1.7,-0.5,1,1.3,2.3,3.8,5.3,6.8,-6.1,-1.7,-1.4,-0.5,1,1.1,2.1,3.1,4.4,5.5
練馬区,-5.1,-0.7,-0.6,0,1.9,1.2,1.5,1.8,2.8,3.3,-5.4,-0.8,-0.9,-0.1,2,0.9,2.1,4.5,4.7,5,-5.1,-0.7,-0.6,0,1.9,1.1,1.6,2.2,3.1,3.5
足立区,-4.7,-2.9,-0.8,-0.4,0.7,0.5,1.1,2.3,4.1,4.7,-4.4,-2,-0.1,0.1,1.1,1.2,1.5,3.1,5.6,6.4,-4.6,-2.7,-0.7,-0.3,0.8,0.8,1.2,2.5,4.5,5.2
葛飾区,-4,-0.8,-0.7,-0.3,0.7,0.6,0.9,1.5,2.7,3.3,-4,-1.2,-0.5,-0.3,1.4,1.3,1.6,2.6,4.2,5.3,-4,-0.9,-0.7,-0.3,1,0.8,1.1,1.8,3.1,3.8
江戸川区,-6.4,-0.7,-1.4,-0.3,0.9,1.1,1.7,2.4,3.8,4.7,-7.4,-1.7,-1.9,-0.5,1.3,1.4,2.2,2.8,4.4,5.8,-6.5,-0.9,-1.5,-0.3,1,1.1,1.8,2.4,3.8,4.8
区部,-6.8,-1.3,-1,-0.2,1.8,1.9,2.8,3,3.9,4.8,-9.8,-3,-2.1,-0.4,2.7,3.4,4.8,5.5,6.4,7.9,-7.9,-2,-1.5,-0.3,2.2,2.6,3.7,4,4.9,6.1
八王子市,-6.9,-2.7,-1.4,-0.5,0.2,0.4,0.1,0,0.1,0.2,-7.7,-2.6,-1.9,-1.1,0.4,0.9,0.9,0.8,0.8,0.9,-6.9,-2.7,-1.5,-0.6,0.3,0.5,0.2,0.1,0.2,0.3
立川市,-7.2,-2.3,-0.5,0.2,2.8,1.1,0.6,0.9,2,2.1,-6.7,-2.5,-1.1,0.1,2.7,4.1,4.8,5.6,5.5,5.3,-7.1,-2.4,-0.7,0.1,2.8,1.8,1.6,1.8,2.8,2.7
武蔵野市,-5.4,-0.9,-0.1,0.3,2.6,3.1,3.3,3.3,3.1,3.3,-5.2,-1.3,-0.5,0,3,3.4,4.5,5.3,5.5,6.9,-5.4,-1,-0.2,0.2,2.8,3.2,3.8,4,4,4.7
三鷹市,-4.8,-1.2,-0.3,0,1.4,1.7,2.6,2.6,2.7,2.9,-5.9,-1.8,-0.8,0,1.4,1.6,2.6,2.5,2.5,3.5,-5.1,-1.4,-0.4,0,1.4,1.7,2.6,2.6,2.7,3
青梅市,-6,-2.4,-1.8,-1.2,0,-0.3,-0.6,-0.9,-0.8,-1,-7.7,-2.9,-2,-1.4,0.2,1,0.5,0.1,0.2,0.1,-6.1,-2.8,-2.2,-1.5,0.1,-0.1,-0.5,-0.8,-0.8,-0.8
府中市,-5.4,-0.9,-0.6,-0.1,1.1,0.9,0.9,1.1,1.1,1.3,-5.7,-2.3,-0.6,-0.4,1.5,1.5,1.8,2,2.1,2.2,-5.4,-1.1,-0.6,-0.2,1.2,1.1,1.1,1.2,1.2,1.5
昭島市,-6.6,-1.6,-0.4,0.3,2.8,1.4,0.5,0.9,1.3,1.3,-6.7,-2.8,-1.4,-1,1.5,1,2,1.6,1.8,2.1,-6.5,-1.8,-0.5,0.1,2.6,1.3,0.7,1,1.4,1.4
調布市,-5,-1,-0.7,-0.1,1.1,1.1,1.1,1,1.1,1.6,-5.5,-1.6,-0.7,-0.1,2.3,2.5,2.9,3.5,3.2,3.4,-5.1,-1.1,-0.7,-0.1,1.3,1.3,1.4,1.4,1.4,1.9
町田市,-3.7,-1.5,-0.7,-0.1,0.6,0.2,0,0,0,0,-3.9,-1.7,-0.8,-0.2,1.4,1,1.4,1.5,1.3,1.6,-3.8,-1.5,-0.7,-0.2,0.7,0.4,0.2,0.2,0.2,0.3
小金井市,-7.4,-1.8,-0.7,-0.1,1.3,1.2,1.4,1.3,1.6,2.7,-5.9,-2,-0.5,-0.1,1.1,1.2,1.7,1.5,1.8,4.6,-7.1,-1.8,-0.6,-0.1,1.3,1.2,1.4,1.4,1.6,3.1
小平市,-5.7,-2.1,-1.7,-0.4,1.4,0.8,0.8,1.2,1.2,1,-6.1,-3.1,-2.1,-0.5,1.3,0.6,0.7,1.1,1.1,0.9,-5.8,-2.3,-1.7,-0.4,1.4,0.8,0.8,1.2,1.2,1
日野市,-7.2,-2.1,-0.7,-0.1,2.1,1.2,0.6,0.5,0.7,0.7,-7.9,-2.8,-0.6,-0.2,1.6,1.8,2,2.1,2.3,2.8,-7.3,-2.3,-0.8,-0.2,2,1.2,0.9,0.8,0.9,1
東村山市,-4.8,-2.2,-0.8,-0.2,1.7,0.5,0.7,1.2,1,0.7,-5.3,-1.9,-1,-0.2,1.2,0.5,0.9,1,1.1,0.9,-4.9,-2.2,-0.9,-0.2,1.5,0.5,0.7,1.1,1,0.8
国分寺市,-8.9,-1.8,-0.8,-0.3,1.8,0.9,0.3,0.7,1.6,1.7,-6.4,-2.4,-0.6,-0.5,1.4,1.3,1.2,1.4,2.3,2.2,-8.3,-2,-0.7,-0.3,1.7,1,0.6,1,1.8,1.8
国立市,-8.6,-1.5,-0.8,0.4,2.3,1.1,0.9,1,2.4,2.3,-7,-1.9,-0.8,-0.4,0.8,0.4,0.4,1.4,1.7,2.8,-8.1,-1.6,-0.8,0.4,2,1,0.8,1,2.1,2.3
福生市,-5.8,-2.2,-1.6,-0.6,1,1.9,1.7,1,0.7,0.7,-8.1,-3.5,-2.2,-1.4,0.9,1.6,1.5,1.2,1,0.9,-6.5,-2.6,-1.8,-0.9,1,1.8,1.6,1,0.8,0.8
狛江市,-5.1,-0.7,-0.8,-0.5,0.1,0.8,0.5,0.8,0.8,1.4,-5.8,-1.7,-0.9,-0.6,0,0.7,0.4,0.5,0.4,2,-5.2,-0.8,-0.8,-0.5,0.1,0.7,0.5,0.7,0.7,1.4
東大和市,-5.2,-2.6,-1.8,-0.6,1.1,0.7,0.6,0.7,0.8,0.7,-5.6,-3.4,-2.1,-0.6,0.7,0.5,0.6,0.7,0.8,0.2,-5.3,-2.6,-1.8,-0.6,1,0.6,0.6,0.7,0.8,0.6
清瀬市,-5.1,-2.3,-0.9,-0.3,1.3,0.9,0.6,1,1.1,0.8,-6,-3,-1.1,0,1.6,0.9,1.1,1.1,1.1,0.9,-5.1,-2.4,-0.9,-0.3,1.3,0.9,0.7,0.9,1.1,0.8
東久留米市,-4.6,-1.9,-0.9,-0.2,1.8,1,0.7,0.9,1.1,1,-4.6,-2.4,-0.8,-0.2,1.2,0.5,0.8,1,1.2,1.1,-4.7,-2,-0.9,-0.2,1.7,0.9,0.7,0.9,1.1,1
武蔵村山市,-5.3,-2.1,-1.9,-0.9,0.1,0.9,0.8,0.2,0.2,0.2,-5.6,-2.3,-2,-1.4,0,0.7,1.1,0.3,0.3,0.3,-5.3,-2.1,-1.9,-1,0.1,0.9,0.9,0.2,0.4,0.4
多摩市,-4.4,-1.5,-0.7,-0.3,0.7,0.5,0.2,0,0,0,-5,-2.4,-0.5,-0.1,0.8,0.1,0.2,0.2,0.4,0.7,-4.5,-1.6,-0.7,-0.3,0.7,0.4,0.2,0,0.1,0.1
稲城市,-3.4,-0.6,-0.5,0,1.3,1.6,1.8,2,1.9,3.1,-3.7,-1.5,-0.4,0,0.9,1.6,1.6,2.1,2.2,3.1,-3.5,-0.7,-0.4,0,1.2,1.6,1.7,2,1.9,3.1
羽村市,-5,-1.7,-1.4,-0.8,0.6,1.4,0.9,0.4,0,0.2,-7.1,-2.2,-1.7,-1.7,1.2,0.6,1.1,1.1,0,0.6,-5.3,-1.7,-1.5,-0.9,0.6,1.3,1,0.6,0.3,0.8
あきる野市,-8,-1.9,-1.4,-1.1,0.2,0.5,0.5,0,-0.1,0,-7.8,-2.7,-2,-1.8,0.7,0.7,0.7,0,0,0,-7.5,-2.2,-1.6,-1.3,0.2,0.5,0.5,0,-0.1,-0.1
西東京市,-4.6,-1.4,-0.5,0,1.7,1.1,1.4,1.3,1.7,1.8,-4.9,-2.1,-0.7,0,1.3,1.3,1.6,2.1,2.7,3.7,-4.7,-1.5,-0.6,0,1.6,1.1,1.5,1.5,1.9,2.2
瑞穂町,-6.2,-2.2,-2.5,-1.2,0,0.6,0.5,0,0,-0.1,-6.5,-2.1,-3,-1.7,0,1.3,1.3,0.4,1.3,0.8,-5.8,-2.2,-2.5,-1.3,0,0.8,0.7,0.1,0.4,0.3
日の出町,-6.4,-2,-1.5,-0.9,0.1,0.4,0.4,0,0,0,-,-,-,-,-,0,1.4,0.2,0.5,0.5,-5.7,-2.7,-2.3,-1.5,0.1,0.3,0.6,0,-0.1,0.8
檜原村,-5.4,-6.4,-6,-4.3,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-5.4,-6.4,-6,-4.3,0,-,-,-,-,-
奥多摩町,-4.9,-6.3,-5.5,-4.5,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-4.9,-6.3,-5.5,-4.5,0,-,-,-,-,-
多摩地域,-5.7,-1.8,-1,-0.3,1.1,0.8,0.7,0.7,0.8,1,-6,-2.2,-1.1,-0.4,1.3,1.4,1.8,1.9,2,2.4,-5.7,-1.9,-1,-0.4,1.1,0.9,0.9,0.9,1,1.2
大島町,-1.2,-1.2,-0.9,-5.6,-12.9,-2.6,0,0,0,-0.4,-6.7,-7.1,-6.2,-7,-14.8,-5.2,-2,0,0,-1.1,-3,-3.1,-2.7,-6.3,-13.5,-3.5,-0.7,0,0,-0.6
新島村,0,0,0,-1.5,-1.5,-1.5,0,0,0,-1.7,0,0,0,-1,-1.1,-1.1,0,0,0,0,0,0,0,-1.3,-1.3,-1.4,0,0,0,-1.1
神津島村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
三宅村,0,-2.5,-2.1,-1.6,-1.1,-1.1,-1.1,-1.1,0,0,0,-2.5,-1.7,-1.7,-0.9,-0.9,-0.9,-0.9,0,0,0,-2.5,-2,-1.6,-1,-1,-1,-1,0,0
八丈町,-5.3,-5.9,-7.3,-6,-1.6,-1.2,-1.2,0,0,0,-6.8,-8.5,-8.2,-6,-0.6,-0.3,-0.3,0,0,0,-5.8,-6.7,-7.6,-6,-1.3,-0.9,-0.9,0,0,0
小笠原村,0,0,0,1.8,0.9,0,0,0,0,0,0,0,0,6.6,2.7,0,0,0,0,0,0,0,0,3.4,1.5,0,0,0,0,0
島しょ,-1.1,-1.6,-1.7,-2,-2.7,-1.1,-0.4,-0.2,0,-0.4,-2.3,-3,-2.7,-1.5,-2.4,-1.2,-0.5,-0.2,0,-0.2,-1.5,-2.1,-2,-1.8,-2.6,-1.1,-0.4,-0.2,0,-0.3
