都市名,住宅地：22年,住宅地：23年,住宅地：24年,住宅地：25年,住宅地：26年,住宅地：27年,住宅地：28年,住宅地：29年,住宅地：30年,住宅地：31年,住宅地：2年,商業地：22年,商業地：23年,商業地：24年,商業地：25年,商業地：26年,商業地：27年,商業地：28年,商業地：29年,商業地：30年,商業地：31年,商業地：2年
札幌市　*1 *2,-5.2,-4.2,-2.4,-1.2,1.2,0.7,2,2,2.3,4,7.1 ,-7.7,-5.3,-2.9,-1.1,1.6,1.5,6,6.1,7.4,8.8,10.2 
仙台市　*1 *2,-2.8,-2.2,-0.9,1.6,3.1,3.2,3.2,4,4.6,5.8,5.7 ,-9.7,-7.2,-3.2,1.3,3.4,4.2,6.2,9,8.7,10.7,10.9 
さいたま市　*1 *2,-5.4,-1.9,-1.8,-0.7,1.4,0.9,1.1,1.1,1.4,1.9,2.2 ,-7.8,-2.6,-2.2,-0.5,1.5,2,2.3,2.7,3.1,4,5.0 
千葉市　*1 *2,-3.6,-1.9,-1.8,-1.1,0.1,0.2,0.2,0.4,0.7,1.1,1.3 ,-4.8,-2.9,-2.7,-1.9,-0.3,0,0.5,1.4,2.2,3,4.1 
東京特別区　*1 *2,-6.8,-1.3,-1,-0.2,1.8,1.9,2.8,3,3.9,4.8,4.6 ,-9.8,-3,-2.1,-0.4,2.7,3.4,4.8,5.5,6.4,7.9,8.5 
横浜市　*1 *2,-4.2,-1.2,-1.1,0.2,1.7,1.5,1.2,0.9,1,1,1.1 ,-5.7,-2.2,-1.3,0.5,2.4,2.4,2.3,2.6,2.8,3.2,3.5 
川崎市　*2,-3,-0.9,-0.2,0.7,1.4,1.1,1.1,1.1,1.4,1.7,1.6 ,-3.9,-0.4,0.1,2.1,3.4,2.8,3,3,3.9,4.8,5.1 
相模原市　*2,－,-1.2,-1.1,-0.3,0.6,0.3,0.4,0.6,0.8,1.2,1.4 ,－,-1.8,-1.3,-0.5,0.3,0.4,0.9,1.1,1.5,2.2,2.5 
新潟市　*1 *2,-1.9,-2,-1.8,-1.6,-0.8,-0.7,-0.7,-0.4,0.1,0.7,0.7 ,-3.2,-3.5,-3.1,-2.8,-1.4,-1.2,-1,-0.6,0,0.5,0.7 
静岡市　*1 *2,-2.2,-1.8,-2.4,-1.3,-0.2,-0.3,-0.6,-0.5,-0.6,-0.5,-0.6 ,-3,-1.9,-2.5,-1.3,0,0.4,0.2,1.3,1.2,1.3,1.0 
浜松市　*2,-2.9,-1.1,-1.3,-0.9,-0.4,-0.3,-0.1,-0.2,0,0,0.1 ,-3.3,-1.3,-1.1,-0.5,0.1,0,0.2,0.1,0.5,0.8,0.9 
名古屋市　*1 *2,-4,0.1,-0.1,0.4,2.6,1.7,1.6,1.2,1.3,2.3,2.0 ,-9.7,-1.3,-1,-0.3,3.7,2.9,5.5,4.8,6.2,8.9,7.7 
京都市　*1 *2,-4.9,-2.6,-1.4,-0.9,0.1,0.3,0.5,0.8,1.3,2,1.8 ,-5.5,-1.2,-0.3,0.2,2.2,2.3,5,6.5,9.1,13.4,11.2 
大阪市　*1 *2,-5.6,-2.9,-1.4,-0.6,0.1,0.3,0.5,0.5,0.6,0.8,1.2 ,-11.7,-5.9,-2.4,-0.1,3.6,3.5,7.8,9,8.8,10.6,13.3 
堺市　*2,-5,-2.9,-1.6,-0.6,0.2,0.2,0.3,0.6,1.2,1.5,2.1 ,-8.2,-5.5,-2.8,-1.6,0.1,0.4,1.3,2.9,4.6,6.3,6.5 
神戸市　*1 *2,-5.3,-1.8,-0.7,-0.4,0.6,0.6,0.4,0.2,0.3,0.4,0.5 ,-7.1,-2.3,-1.3,-0.6,1,1.2,2.2,3.4,5.5,6.1,6.0 
岡山市　*1 *2,-2.5,-2.2,-1.6,-1.5,-0.7,-0.3,0,0.1,0.3,0.4,0.8 ,-3.5,-3.6,-2.4,-1.9,0,0.7,1.3,1.6,2.2,2.4,2.8 
広島市　*1 *2,-3.1,-2.5,-2.1,-1.5,-0.4,0.2,1.4,1.9,2.2,2.7,3.1 ,-4.3,-3.5,-3,-1.6,0.4,2.2,4.1,4.7,4.7,5.8,7.7 
北九州市　*2,-3.8,-3.2,-2.6,-2.2,-1.6,-1.2,-0.9,-0.5,-0.3,-0.1,0.1 ,-4.8,-4.1,-3.4,-2.8,-2.2,-1.5,-1,0.4,0.6,1,1.3 
福岡市　*1 *2,-3.3,-1.9,-0.9,0.7,1.8,2.2,2.7,3.5,4.3,5.3,6.8 ,-10.1,-3.9,-1.6,0.7,2.9,3.8,5.9,8.5,10.6,12.3,16.5 
熊本市　*1 *2,－,－,－,-0.7,0.1,0.3,0.6,0.3,1,1.3,1.5 ,－,－,－,-1.5,-0.7,-0.1,1.1,1.1,4.1,6.2,6.3 
政令市平均,-4.6,-1.8,-1.2,-0.4,1,1,1.3,1.4,1.9,2.5,2.8 ,-8.2,-3.1,-1.9,-0.4,2.1,2.4,4.2,4.9,5.8,7.3,7.9 
青森市,-5.7,-6.3,-6.4,-6.2,-4.4,-2.9,-1.9,-1.2,-0.6,-0.4,-0.4 ,-6.9,-7.6,-7.2,-6.4,-4.7,-3.1,-2.3,-1.3,-0.4,0.1,0.2 
盛岡市,-6.8,-7,-6.3,-4.6,-0.9,-0.1,0.6,1,0.4,0.4,0.7 ,-9.7,-7.7,-6.8,-4.5,-2.6,-0.4,-0.1,-0.1,0.1,1.2,1.0 
秋田市 *2,-5.5,-5.7,-5.5,-5,-4.8,-3.8,-3,-1.9,-0.8,-0.1,0.2 ,-8.6,-7.8,-7.3,-5.9,-5.2,-4.5,-3.7,-2.4,-0.9,-0.3,0.2 
山形市,-5.5,-4.7,-4.4,-3.5,-0.7,-0.1,1.4,1.7,2.1,2.6,3.1 ,-6,-4.8,-4.2,-4,-2.5,-1.3,-0.4,-0.2,0.2,0.6,1.6 
福島市,-3.7,-2.9,-6.3,-2,1.9,2.7,3.4,3.2,2.7,2.3,1.7 ,-4.9,-3.8,-7.7,-3.6,-0.5,0.7,1.2,1.5,2.1,2.3,2.1 
水戸市,-5.4,-5.6,-6.5,-5.5,-3.8,-2.5,-1.6,-0.8,-0.6,-0.5,-0.4 ,-3.3,-4.3,-6.4,-6.2,-4.6,-3.1,-2,-1.1,-0.6,-0.3,-0.2 
宇都宮市 *2,-4.1,-3.7,-3.7,-3.1,-1.7,-0.7,-0.2,0,0.2,0.3,0.4 ,-4.3,-4.5,-4.3,-3.5,-1.9,-0.7,0,0.5,0.6,0.7,0.9 
前橋市 *2,-2.7,-3.3,-3.6,-3.2,-1.8,-0.9,-0.5,-0.3,-0.3,-0.3,-0.3 ,-4.7,-5.1,-4.8,-3.7,-2.1,-1.4,-0.8,-0.5,-0.4,-0.2,-0.2 
（新潟市）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
富山市 *2,-4.7,-3.1,-1.6,-1.1,-0.3,0.2,0.3,0.1,0.1,0.8,0.8 ,-4.4,-3.1,-1.7,-1.5,-0.6,0.6,0.7,0.4,0.6,0.7,0.7 
金沢市 *2,-7.2,-5.1,-3.4,-2.3,-0.6,0,0.6,0.8,1.1,2,4.3 ,-8,-5.5,-3.7,-2.8,-0.7,1.3,5.4,4.5,3.2,4.5,5.5 
福井市,-5,-4.2,-4,-3.5,-2,-1.4,-1,-0.8,-0.6,-0.5,-0.5 ,-4.7,-3.4,-3.5,-2.9,-1.7,-1,-0.3,0,0.3,0.5,0.6 
甲府市,-2.1,-2.1,-2.7,-2.8,-2.2,-1.8,-1.5,-1.4,-1.1,-0.9,-0.6 ,-4.1,-3.8,-4,-3.7,-2.7,-2,-1.2,-0.8,-0.2,-0.1,0.0 
長野市 *2,-3.8,-3.1,-2.9,-2.8,-1.9,-1.2,-0.7,-0.4,0,0.1,-0.3 ,-5,-4.4,-3.8,-3.1,-2.4,-1.3,-0.6,-0.2,0.1,0.4,0.4 
岐阜市 *2,-3.1,-2.5,-2.5,-2.4,-1.4,-1,-0.6,-0.6,-0.5,-0.6,-0.6 ,-5.1,-3.8,-3.5,-2.8,-1.4,-1,-0.6,-0.4,-0.2,-0.3,-0.1 
（静岡市）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
津市,-2.1,-1.7,-1.7,-1.7,-1.5,-1.4,-1.3,-1.3,-1.3,-0.9,-0.6 ,-2.9,-2.2,-2.1,-2.1,-1.7,-1.6,-1.4,-1.2,-1,-0.6,-0.4 
大津市 *2,-4.4,-2.5,-1.1,-0.5,0.2,0.1,-0.2,-0.7,-0.6,-0.5,-0.5 ,-6.6,-3.7,-1,0.2,2.4,1.8,1.5,1.5,1.6,1.9,1.9 
奈良市 *2,-4.8,-2.9,-1.5,-0.3,0.7,0.9,0.9,0.5,0.4,0.5,0.4 ,-3.8,-1.9,-1.3,-0.5,0.9,1.4,2,2.1,2.9,5.1,7.7 
和歌山市 *2,-4.1,-4.4,-4.2,-3.9,-2.9,-2,-1.2,-1,-0.9,-0.7,-0.6 ,-3.3,-3.9,-3.5,-2.7,-1.1,0,0.6,0.3,0.2,0.3,0.3 
