区分,平成21年,平成22年,平成23年,平成24年,平成25年,平成26年,平成27年,平成28年,平成29年,平成30年
50m2未満／件数（件）,13782,13694,13227,23664,25655,24063,25389,24219,24812,24492
50m2未満／面積（m2）,272242,267608,259152,386691,472150,433056,443280,425458,431227,419677
50m2以上100m2未満／件数（件）,14563,15069,14669,12408,13804,12571,12552,11599,11320,10772
50m2以上100m2未満／面積（m2）,1065081,1106762,1080352,887337,974740,891591,892591,823252,805215,763746
100m2以上150m2未満／件数（件）,6382,5982,5732,3774,4610,4219,4450,4168,3982,3347
100m2以上150m2未満／面積（m2）,747585,701445,672236,441529,535892,491384,517582,486753,465390,390583
150m2以上200m2未満／件数（件）,1786,1715,1699,1016,1167,1127,1117,1136,1019,957
150m2以上200m2未満／面積（m2）,306096,293951,291086,174341,199782,192756,189906,194501,174407,163818
200m2以上300m2未満／件数（件）,1058,1153,1382,561,732,684,650,670,658,574
200m2以上300m2未満／面積（m2）,254174,275013,332366,134411,173180,163951,154497,160195,156358,137431
300m2以上500m2未満／件数（件）,576,581,540,250,309,294,330,292,314,281
300m2以上500m2未満／面積（m2）,211713,218822,201640,92377,113822,108473,122752,107005,113904,104541
500m2以上1000m2未満／件数（件）,218,219,220,71,63,86,82,83,80,85
500m2以上1000m2未満／面積（m2）,150120,139722,143431,45403,40599,55268,53587,54416,52045,55298
1000m2以上2000m2未満／件数（件）,42,51,62,10,9,9,12,9,10,7
1000m2以上2000m2未満／面積（m2）,49065,63289,80222,12297,12109,11405,14073,10604,13820,9152
2000m2以上5000m2未満／件数（件）,10,50,25,1,2,2,2,0,1,0
2000m2以上5000m2未満／面積（m2）,33620,147364,95877,2005,6730,4358,6087,0,2032,0
5000m2以上10000m2未満／件数（件）,97,9,11,0,0,0,0,0,1,0
5000m2以上10000m2未満／面積（m2）,626831,65077,82912,0,0,0,0,0,6341,0
10000m2以上／件数（件）,29,3,7,0,0,0,0,0,0,0
10000m2以上／面積（m2）,414392,40250,167698,0,0,0,0,0,0,0
合計／件数（件）,38543,38526,37574,41755,46351,43055,44584,42176,42197,40515
合計／面積（m2）,4130918,3319302,3406974,2176391,2529004,2352242,2394355,2262184,2220739,2044246
