区分,平成23年,平成24年,平成25年,平成26年,平成27年,平成28年,平成29年,平成30年,平成31年,令和2年
50m2未満／件数(件),2429,3740,4433,4311,4079,4205,4303,4395,4264,3858
50m2未満／面積(m2),53163,61558,78344,78265,74113,78330,82373,84721,79492,73343
50m2以上100m2未満／件数(件),1779,1841,2066,2159,2143,2182,2183,2071,2063,1648
50m2以上100m2未満／面積(m2),127105,130998,145687,153498,151729,156404,155681,147412,146377,117371
100m2以上150m2未満／件数(件),788,781,852,1006,1031,979,1015,964,933,766
100m2以上150m2未満／面積(m2),96097,95443,103660,121338,124394,118246,123955,117102,112686,93132
150m2以上200m2未満／件数(件),468,365,504,508,543,577,597,541,524,439
150m2以上200m2未満／面積(m2),80940,63523,86967,87281,93558,99049,103026,92692,90100,75209
200m2以上300m2未満／件数(件),440,357,456,421,443,469,513,409,394,323
200m2以上300m2未満／面積(m2),107448,86887,109710,101929,107209,113650,122745,97540,95079,77762
300m2以上500m2未満／件数(件),343,269,287,251,314,311,317,278,233,211
300m2以上500m2未満／面積(m2),131742,101502,107273,95460,119154,116494,118674,103619,87042,77761
500m2以上1000m2未満／件数(件),150,110,136,140,120,122,121,99,106,98
500m2以上1000m2未満／面積(m2),105056,74830,91404,96952,83245,84612,82467,66551,71094,68161
1000m2以上2000m2未満／件数(件),56,53,50,37,41,38,40,21,30,20
1000m2以上2000m2未満／面積(m2),72939,70222,68769,51077,55596,55215,52592,28250,40250,29392
2000m2以上5000m2未満／件数(件),33,9,18,16,17,16,14,11,9,4
2000m2以上5000m2未満／面積(m2),110043,24451,51154,40421,53881,43509,37060,31758,26389,10723
5000m2以上10000m2未満／件数(件),15,2,5,3,3,5,1,2,2,1
5000m2以上10000m2未満／面積(m2),101604,14500,34538,20855,20048,38239,5713,12262,12228,7246
10000m2以上／件数(件),13,1,4,3,2,2,1,4,1,2
10000m2以上／面積(m2),257378,14987,52387,42366,30210,33691,14988,83981,14988,29437
合計／件数(件),6514,7528,8811,8855,8736,8906,9105,8795,8559,7370
合計／面積(m2),1243514,738903,929893,889442,913137,937439,899274,865888,775725,659537
