都市名,住宅地：21年,住宅地：22年,住宅地：23年,住宅地：24年,住宅地：25年,住宅地：26年,住宅地：27年,住宅地：28年,住宅地：29年,住宅地：30年,住宅地：31年,商業地：21年,商業地：22年,商業地：23年,商業地：24年,商業地：25年,商業地：26年,商業地：27年,商業地：28年,商業地：29年,商業地：30年,商業地：31年
水戸市,-4.4,-5.4,-5.6,-6.5,-5.5,-3.8,-2.5,-1.6,-0.8,-0.6,-0.5,-2,-3.3,-4.3,-6.4,-6.2,-4.6,-3.1,-2,-1.1,-0.6,-0.3
宇都宮市 *2,-1.7,-4.1,-3.7,-3.7,-3.1,-1.7,-0.7,-0.2,0,0.2,0.3,-1.7,-4.3,-4.5,-4.3,-3.5,-1.9,-0.7,0,0.5,0.6,0.7
前橋市 *2,-1.4,-2.7,-3.3,-3.6,-3.2,-1.8,-0.9,-0.5,-0.3,-0.3,-0.3,-3.4,-4.7,-5.1,-4.8,-3.7,-2.1,-1.4,-0.8,-0.5,-0.4,-0.2
（新潟市）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
富山市 *2,-4.3,-4.7,-3.1,-1.6,-1.1,-0.3,0.2,0.3,0.1,0.1,0.8,-4,-4.4,-3.1,-1.7,-1.5,-0.6,0.6,0.7,0.4,0.6,0.7
金沢市 *2,-3.9,-7.2,-5.1,-3.4,-2.3,-0.6,0,0.6,0.8,1.1,2,-3.6,-8,-5.5,-3.7,-2.8,-0.7,1.3,5.4,4.5,3.2,4.5
福井市,-4.7,-5,-4.2,-4,-3.5,-2,-1.4,-1,-0.8,-0.6,-0.5,-4.2,-4.7,-3.4,-3.5,-2.9,-1.7,-1,-0.3,0,0.3,0.5
甲府市,-1.8,-2.1,-2.1,-2.7,-2.8,-2.2,-1.8,-1.5,-1.4,-1.1,-0.9,-3.2,-4.1,-3.8,-4,-3.7,-2.7,-2,-1.2,-0.8,-0.2,-0.1
長野市 *2,-2.5,-3.8,-3.1,-2.9,-2.8,-1.9,-1.2,-0.7,-0.4,0,0.1,-2.3,-5,-4.4,-3.8,-3.1,-2.4,-1.3,-0.6,-0.2,0.1,0.4
岐阜市 *2,-1.3,-3.1,-2.5,-2.5,-2.4,-1.4,-1,-0.6,-0.6,-0.5,-0.6,-1.4,-5.1,-3.8,-3.5,-2.8,-1.4,-1,-0.6,-0.4,-0.2,-0.3
（静岡市）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
津市,-2.1,-2.1,-1.7,-1.7,-1.7,-1.5,-1.4,-1.3,-1.3,-1.3,-0.9,-2.3,-2.9,-2.2,-2.1,-2.1,-1.7,-1.6,-1.4,-1.2,-1,-0.6
大津市 *2,-1.5,-4.4,-2.5,-1.1,-0.5,0.2,0.1,-0.2,-0.7,-0.6,-0.5,-2.1,-6.6,-3.7,-1,0.2,2.4,1.8,1.5,1.5,1.6,1.9
奈良市 *2,-2.3,-4.8,-2.9,-1.5,-0.3,0.7,0.9,0.9,0.5,0.4,0.5,-1,-3.8,-1.9,-1.3,-0.5,0.9,1.4,2,2.1,2.9,5.1
和歌山市 *2,-3.4,-4.1,-4.4,-4.2,-3.9,-2.9,-2,-1.2,-1,-0.9,-0.7,-1.9,-3.3,-3.9,-3.5,-2.7,-1.1,0,0.6,0.3,0.2,0.3
鳥取市,-3.1,-4.8,-5.5,-5.4,-5,-3.4,-2.3,-1.7,-1.4,-0.9,-0.6,-4.2,-5.9,-7.4,-7.4,-6.6,-5.4,-3.7,-2.3,-2,-1.4,-1.1
松江市,-2.6,-3,-3.3,-3.4,-3,-2.4,-1.9,-1.2,-0.7,-0.4,-0.1,-5.2,-5.8,-6.5,-6.4,-5.4,-3.9,-2.8,-1.5,-1,-0.6,-0.3
（岡山市）,-0.8,－,－,－,－,－,－,－,－,－,－,-1,－,－,－,－,－,－,－,－,－,－
山口市,-4.9,-6,-5.9,-5.1,-3.9,-2.8,-1.5,-0.7,-0.4,0,0.3,-5.9,-6.8,-6.5,-5.8,-4.8,-3.7,-2.5,-0.8,-0.3,-0.2,0
徳島市,-4.4,-6,-7.2,-8.1,-5.6,-2.6,-0.9,-0.4,-0.1,0.1,0.2,-4.1,-6.2,-7.2,-8.1,-6,-3.9,-1.7,-0.8,-0.3,0.1,0.2
高松市 *2,-5.3,-6.5,-6.2,-5.7,-4.3,-3,-1.5,-0.8,-0.2,0.2,0.4,-3.6,-5.5,-6,-5.4,-4.7,-3.4,-1.7,-0.6,-0.2,0.5,0.7
松山市 *2,-1,-2.2,-2.3,-2,-2,-1.7,-1.4,-1,-0.9,-0.3,-0.2,-0.6,-3.2,-3,-2.8,-2.6,-2.1,-1.2,-0.7,-0.5,0.2,0.6
高知市 *2,-4.7,-6.9,-8.6,-9.6,-6.5,-3.4,-2.1,-1.5,-1.1,-0.8,-0.4,-4.9,-7.2,-8.1,-9.6,-6.6,-3.9,-2.5,-1.4,-1.2,-0.6,-0.2
佐賀市,-3.4,-4.7,-5.6,-6.1,-4.8,-3.7,-2.6,-1.7,-0.8,0.7,1.1,-4.2,-5.5,-5.9,-6.4,-6,-4.9,-2.7,-1.4,0.1,2.3,2.6
長崎市 *2,-3.4,-4.1,-3.6,-3.1,-2.6,-1.8,-1.3,-0.8,0,0.9,1,-2.2,-2.9,-2.8,-2.3,-1.4,-0.2,1.1,1.6,2.9,6.5,5.9
（熊本市）,-2.8,-2.9,-2.3,-1.4,－,－,－,－,－,－,－,-2.6,-3.5,-2.9,-2.2,－,－,－,－,－,－,－
大分市 *2,-3.6,-4.1,-3.7,-3.1,-2.2,-1.5,-0.9,-0.3,0.1,0.7,1.6,-4.4,-5.9,-5,-4.4,-3.2,-2.2,-1.3,-0.1,0.3,1,1.6
宮崎市 *2,-1.3,-1.9,-2.2,-2.4,-1.6,-1.4,-1,-0.6,-0.1,0,0.2,-3.1,-3.5,-3.5,-3.4,-3.1,-2.6,-2.1,-1.1,-0.5,-0.2,0.2
鹿児島市 *2,-2.5,-3.5,-3.6,-3.1,-2.9,-1.9,-1.8,-1.2,-0.8,-0.3,0.1,-2.2,-2.6,-3,-2.6,-2.8,-1.6,-1.3,-0.6,-0.3,0.4,0.9
那覇市 *2,-2.1,-2.4,-1.7,-0.7,-0.2,0.7,1.4,2.9,3.5,6.3,10.6,-2.3,-3.1,-1.9,-1.1,0.8,1.9,2,3.8,5,8,17.5
県庁所在地平均,-3.7,-4.6,-2.4,-1.9,-1.1,0.3,0.5,0.9,1.1,0.1,2.1,-5.8,-7.7,-3.5,-2.5,-1.2,1.2,1.7,3.3,4,0.8,6.1
旭川市,-1.5,-7.4,-4.1,-2.6,-2.8,-1.2,-0.8,-0.7,-0.4,-0.4,-0.4,-1.8,-7.9,-7.2,-4.6,-3,-1.6,-0.5,0,-0.1,0,0
郡山市,-2.2,-2.6,-2.5,-8.1,-1.7,1.4,3.8,3.2,2.8,2.1,2.2,-3.9,-4.2,-3.2,-8.9,-2.2,0.9,3,2.7,2.2,1.7,1.9
いわき市,-3.7,-4.5,-4.6,-6.5,0.7,4,7.3,6.7,4.3,2.6,1.1,-3.8,-4.5,-4.7,-6.8,-2,1.4,3.3,2.8,1.9,1.1,1.1
高崎市,-0.9,-2.7,-3.6,-3.6,-3.3,-1.7,-0.7,-0.3,-0.2,0,0.1,-3,-4,-5.4,-5.5,-4.9,-3.1,-1.5,-0.7,0.2,0.9,1.8
川越市,-4.6,-4.6,-2.5,-2.3,-0.6,1,-0.1,0.1,0.3,0.7,0.9,-4.2,-3.9,-1.3,-1.5,-0.3,2.2,0.2,1.7,1.7,2.2,2.5
川口市,-3.1,-5.7,-1.3,-1.9,-0.5,0.2,0.9,0.2,0.4,1.1,1.5,-4.4,-6.9,-2.5,-2.2,-0.5,0.2,1.2,0.9,1.5,2.1,3.3
所沢市,-4.6,-6.8,-1.5,-1.6,-0.5,1.6,0.6,0.3,0.4,1.1,1.2,-5.3,-10.7,-2.4,-2,-0.2,1.2,0.6,0.7,1.1,1.2,1.6
越谷市,-3.4,-4.4,-2.6,-2.6,-1.5,-0.1,-0.1,0,0.3,1.1,1.1,-4.3,-6,-3.7,-3.6,-2,-0.6,0,0,0,0.3,0.3
市川市,-5.6,-10.4,-0.3,-2.6,-1,1,0.5,0.4,0.4,1,1.3,-7.4,-12.8,-1.8,-3.7,-2.7,1.7,1.8,2.1,3.4,4.6,9.3
船橋市,-5.2,-5.3,-1.6,-1.4,0,1.3,0.8,0.7,0.6,0.9,1.3,-5.7,-4.6,-0.8,-1.3,-0.2,1.8,1.7,1.7,2.3,3.2,5
松戸市,-3.8,-4.6,-2.9,-3.1,-1.9,0.2,0.1,0.3,0.4,0.4,0.7,-4.9,-5.5,-3,-3.3,-2,0.8,1,1.1,2.2,2.2,5.2
柏市,-4,-4.5,-2.2,-3.2,-2.3,-1.3,-1.1,-0.9,-0.9,-0.7,-0.5,-4.3,-4.8,-2.6,-3.2,-1.1,0.2,0.3,0.6,1.2,1,1.4
八王子市,-3.7,-6.9,-2.7,-1.4,-0.5,0.2,0.4,0.1,0,0.1,0.2,-3.8,-7.7,-2.6,-1.9,-1.1,0.4,0.9,0.9,0.8,0.8,0.9
町田市,-3,-3.7,-1.5,-0.7,-0.1,0.6,0.2,0,0,0,0.1,-3.1,-3.9,-1.7,-0.8,-0.2,1.4,1,1.4,1.5,1.3,1.6
横須賀市,-1.9,-3.4,-1.8,-1.9,-1.6,-1.2,-1.4,-1.8,-2.6,-2.6,-2.4,-2.4,-3.9,-2,-2.1,-1.5,-1,-0.9,-0.8,-0.7,-0.7,-0.4
藤沢市,-1.7,-2.9,-1.1,-1.2,-0.2,0.6,0.5,0.4,0,0,0.1,-1.5,-3.6,-1.5,-1.1,-0.4,0.1,0.2,0.3,0.3,0.2,0.4
（相模原市）,-2.1,-3.1,－,－,－,－,－,－,－,－,－,-2.8,-3.7,－,－,－,－,－,－,－,－,－
（浜松市）,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
豊橋市,-0.6,-0.8,-0.3,-0.4,-0.2,0.2,0,-0.2,-0.4,-0.3,-0.2,-0.8,-1.3,-0.4,-0.1,-0.2,0.1,-0.1,-0.1,-0.4,-0.3,0.3
岡崎市,-2.6,-1,0.1,0.1,1.3,1.7,0.9,0.9,0.8,0.8,1.8,-3.3,-2.5,-0.8,-0.2,0.3,0.8,0.4,0.6,0.5,0.3,0.6
一宮市,-2.7,-4.2,-1.6,-0.8,0,0.7,0.7,0.7,0.5,0.5,1.3,-3.3,-4.2,-2,-0.9,0.6,0.9,1,1.6,1.9,1.9,1.8
春日井市,-2.1,-1.5,-0.5,-0.1,0,1.2,0.6,0.7,0.7,1.4,2.2,-2.7,-2,-0.8,-0.2,0,0.5,0.2,0.4,1,1.7,2.3
豊田市,-2.4,-1.6,-0.2,0.2,1.1,2.6,2.1,3,2.7,3.1,3.3,-2.5,-2.2,-0.1,0.1,0.7,1.3,1.2,1.7,1.6,2.9,3.8
四日市市,-1.4,-2.2,-1.6,-1.9,-1.5,-0.6,-0.5,-0.5,-0.4,-0.3,-0.1,-1.9,-2.4,-1.5,-1.7,-1.3,0.1,0.1,0.2,0.2,0.4,0.8
（堺市）,－,－,－,－,－,0,－,－,－,－,－,－,－,－,－,－,0,－,－,－,－,－
豊中市,-2.8,-3.8,-1.6,-0.5,-0.1,0.2,0.4,0.4,0.7,1,1,-3.7,-4.7,-2.5,-0.6,0,1.6,1.4,2.1,2.3,3.1,5.6
吹田市,-2.3,-4.6,-2.2,-0.6,0,0.5,0.3,0.4,0.5,0.6,1.1,-4.5,-7.7,-3.9,-0.4,0.3,3.2,2.3,3,3.2,3.5,12
高槻市,-2.9,-3.5,-2.6,-0.7,-0.5,0.3,0.4,0.1,-0.3,-0.3,0,-1.6,-2.7,-2.9,-0.6,-0.2,0.4,1,1.1,1.2,1.4,2.4
枚方市,-2.4,-5.2,-2.5,-1.4,-1,0,0.1,0.1,0.2,0.1,0.1,-1.1,-5.2,-2.3,-1.1,-0.5,0.3,0.9,0.6,0.9,1.4,2.4
東大阪市,-0.5,-6.4,-2.2,-1.9,-0.9,-0.4,-0.4,-0.4,-0.4,-0.3,-0.3,-0.5,-6.9,-3.3,-3,-1.2,-0.3,-0.2,-0.2,0,0.3,0.8
姫路市,-0.8,-1.8,-1.7,-1.5,-1.6,-1.4,-1.3,-1.2,-1.3,-1.2,-0.9,-1,-2.4,-1.9,-2,-1.8,-1,-0.7,-0.4,0,0.4,1.4
尼崎市,-1.9,-6,-2.1,-1.1,-0.3,0.3,0.2,0.2,0,-0.1,-0.1,-1.7,-5.7,-3.6,-1.9,-1,0.2,0.4,0.8,1.1,1.1,1.5
西宮市,-1.5,-5.9,-1.7,-0.1,0.4,1.3,1.5,1.8,1.1,0.5,0.9,-1.4,-5.8,-3.5,-1,-0.3,1.4,2.1,2.7,2.9,2.6,3
倉敷市,-1.8,-3.1,-3,-2.3,-1.9,-1.1,-0.8,-0.7,-0.6,-0.4,-0.8,-2.3,-3.8,-3.4,-2.6,-2.1,-1.2,-0.8,-0.3,-0.3,0.1,0.6
福山市,-1.8,-2.9,-2.9,-3.2,-3,-2.6,-2.1,-1.7,-1.1,-0.3,0.1,-3.1,-3.8,-3.6,-3.7,-3.9,-3,-2.6,-1.9,-0.8,1,1.8
久留米市,-2.5,-3.3,-2.8,-2.1,-1.5,0,0.2,0.3,0.3,0.6,0.6,-5.4,-7.5,-6,-3.5,-2.4,-0.5,0.1,0.5,0.9,1.7,2.2
"30万人以上都市平均
（三大都市圏除く）",-2.4,-3.7,-3.1,-2.6,-1.6,-0.4,0.3,0.7,0.6,0.8,1.3,-3.9,-5.5,-4.2,-3.3,-1.9,-0.4,0.7,2.1,2.1,2.7,3.6
"30万人以上都市平均
（三大都市圏含む）",-3.4,-4.5,-2.2,-1.7,-0.8,0.4,0.5,0.8,0.9,1.2,1.7,-5.4,-7.1,-3.2,-2.2,-0.9,1.2,1.6,3,3.6,4.3,5.6
全国平均,-3.2,-4.2,-2.7,-2.3,-1.6,-0.6,-0.4,-0.2,0,0.3,0.6,-4.7,-6.1,-3.8,-3.1,-2.1,-0.5,0,0.9,1.4,1.9,2.8
