区分,個人／所有者数（人）,個人／構成比（％）,個人／面積（千m2）,個人／構成比（％）,法人／所有者数（人）,法人／構成比（％）,法人／面積（千m2）,法人／構成比（％）,合計／所有者数（人）,合計／構成比（％）,合計／面積（千m2）,合計／構成比（％）
千代田区／50m2未満,0,0,0,0,1,8,0,0,1,8,0,0
千代田区／100m2未満,0,0,0,0,3,23,0,0,3,23,0,0
千代田区／150m2未満,0,0,0,0,2,15,0,0,2,15,0,0
千代田区／200m2未満,0,0,0,0,0,0,0,0,0,0,0,0
千代田区／300m2未満,0,0,0,0,0,0,0,0,0,0,0,0
千代田区／500m2未満,0,0,0,0,0,0,0,0,0,0,0,0
"千代田区／1,000m2未満",0,0,0,0,1,8,1,0,1,8,1,0
"千代田区／2,000m2未満",0,0,0,0,2,15,3,1,2,15,3,1
"千代田区／5,000m2未満",0,0,0,0,1,8,3,1,1,8,3,1
"千代田区／10,000m2未満",0,0,0,0,0,0,0,0,0,0,0,0
"千代田区／10,000m2以上",0,0,0,0,3,23,403,98,3,23,403,98
千代田区／計,0,0,0,0,13,100,410,100,13,100,410,100
中央区／50m2未満,0,0,0,0,3,38,0,1,3,38,0,1
中央区／100m2未満,0,0,0,0,1,13,0,1,1,13,0,1
中央区／150m2未満,0,0,0,0,1,13,0,2,1,13,0,2
中央区／200m2未満,0,0,0,0,0,0,0,0,0,0,0,0
中央区／300m2未満,0,0,0,0,0,0,0,0,0,0,0,0
中央区／500m2未満,0,0,0,0,0,0,0,0,0,0,0,0
"中央区／1,000m2未満",0,0,0,0,2,25,1,20,2,25,1,20
"中央区／2,000m2未満",0,0,0,0,0,0,0,0,0,0,0,0
"中央区／5,000m2未満",0,0,0,0,0,0,0,0,0,0,0,0
"中央区／10,000m2未満",0,0,0,0,1,13,6,76,1,13,6,76
"中央区／10,000m2以上",0,0,0,0,0,0,0,0,0,0,0,0
中央区／計,0,0,0,0,8,100,7,100,8,100,7,100
港区／50m2未満,0,0,0,0,7,35,0,0,7,33,0,0
港区／100m2未満,0,0,0,0,1,5,0,0,1,5,0,0
港区／150m2未満,0,0,0,0,2,10,0,0,2,10,0,0
港区／200m2未満,0,0,0,0,1,5,0,0,1,5,0,0
港区／300m2未満,1,100,0,100,0,0,0,0,1,5,0,0
港区／500m2未満,0,0,0,0,1,5,0,0,1,5,0,0
"港区／1,000m2未満",0,0,0,0,2,10,2,0,2,10,2,0
"港区／2,000m2未満",0,0,0,0,1,5,2,0,1,5,2,0
"港区／5,000m2未満",0,0,0,0,1,5,3,0,1,5,3,0
"港区／10,000m2未満",0,0,0,0,0,0,0,0,0,0,0,0
"港区／10,000m2以上",0,0,0,0,4,20,699,99,4,19,699,99
港区／計,1,100,0,100,20,100,707,100,21,100,707,100
新宿区／50m2未満,1,33,0,1,2,18,0,0,3,21,0,0
新宿区／100m2未満,0,0,0,0,2,18,0,0,2,14,0,0
新宿区／150m2未満,0,0,0,0,0,0,0,0,0,0,0,0
新宿区／200m2未満,1,33,0,25,0,0,0,0,1,7,0,0
新宿区／300m2未満,0,0,0,0,0,0,0,0,0,0,0,0
新宿区／500m2未満,0,0,0,0,2,18,1,0,2,14,1,0
"新宿区／1,000m2未満",1,33,1,73,0,0,0,0,1,7,1,0
"新宿区／2,000m2未満",0,0,0,0,0,0,0,0,0,0,0,0
"新宿区／5,000m2未満",0,0,0,0,0,0,0,0,0,0,0,0
"新宿区／10,000m2未満",0,0,0,0,2,18,15,5,2,14,15,5
"新宿区／10,000m2以上",0,0,0,0,3,27,284,95,3,21,284,94
新宿区／計,3,100,1,100,11,100,301,100,14,100,302,100
文京区／50m2未満,0,0,0,0,1,13,0,0,1,13,0,0
文京区／100m2未満,0,0,0,0,1,13,0,0,1,13,0,0
文京区／150m2未満,0,0,0,0,2,25,0,0,2,25,0,0
文京区／200m2未満,0,0,0,0,0,0,0,0,0,0,0,0
文京区／300m2未満,0,0,0,0,1,13,0,0,1,13,0,0
文京区／500m2未満,0,0,0,0,1,13,0,1,1,13,0,1
"文京区／1,000m2未満",0,0,0,0,0,0,0,0,0,0,0,0
"文京区／2,000m2未満",0,0,0,0,0,0,0,0,0,0,0,0
"文京区／5,000m2未満",0,0,0,0,0,0,0,0,0,0,0,0
"文京区／10,000m2未満",0,0,0,0,1,13,6,8,1,13,6,8
"文京区／10,000m2以上",0,0,0,0,1,13,64,90,1,13,64,90
文京区／計,0,0,0,0,8,100,71,100,8,100,71,100
台東区／50m2未満,0,0,0,0,1,13,0,0,1,13,0,0
台東区／100m2未満,0,0,0,0,0,0,0,0,0,0,0,0
台東区／150m2未満,0,0,0,0,2,25,0,0,2,25,0,0
台東区／200m2未満,0,0,0,0,0,0,0,0,0,0,0,0
台東区／300m2未満,0,0,0,0,0,0,0,0,0,0,0,0
台東区／500m2未満,0,0,0,0,1,13,0,0,1,13,0,0
"台東区／1,000m2未満",0,0,0,0,0,0,0,0,0,0,0,0
"台東区／2,000m2未満",0,0,0,0,0,0,0,0,0,0,0,0
"台東区／5,000m2未満",0,0,0,0,0,0,0,0,0,0,0,0
"台東区／10,000m2未満",0,0,0,0,2,25,11,4,2,25,11,4
"台東区／10,000m2以上",0,0,0,0,2,25,256,96,2,25,256,96
台東区／計,0,0,0,0,8,100,268,100,8,100,268,100
墨田区／50m2未満,0,0,0,0,0,0,0,0,0,0,0,0
墨田区／100m2未満,0,0,0,0,0,0,0,0,0,0,0,0
墨田区／150m2未満,0,0,0,0,0,0,0,0,0,0,0,0
墨田区／200m2未満,0,0,0,0,0,0,0,0,0,0,0,0
墨田区／300m2未満,0,0,0,0,0,0,0,0,0,0,0,0
墨田区／500m2未満,0,0,0,0,1,20,0,0,1,20,0,0
"墨田区／1,000m2未満",0,0,0,0,0,0,0,0,0,0,0,0
"墨田区／2,000m2未満",0,0,0,0,0,0,0,0,0,0,0,0
"墨田区／5,000m2未満",0,0,0,0,1,20,4,2,1,20,4,2
"墨田区／10,000m2未満",0,0,0,0,0,0,0,0,0,0,0,0
"墨田区／10,000m2以上",0,0,0,0,3,60,241,98,3,60,241,98
墨田区／計,0,0,0,0,5,100,245,100,5,100,245,100
江東区／50m2未満,0,0,0,0,3,15,0,0,3,15,0,0
江東区／100m2未満,0,0,0,0,2,10,0,0,2,10,0,0
江東区／150m2未満,0,0,0,0,1,5,0,0,1,5,0,0
江東区／200m2未満,0,0,0,0,1,5,0,0,1,5,0,0
江東区／300m2未満,0,0,0,0,2,10,0,0,2,10,0,0
江東区／500m2未満,0,0,0,0,0,0,0,0,0,0,0,0
"江東区／1,000m2未満",0,0,0,0,1,5,1,0,1,5,1,0
"江東区／2,000m2未満",0,0,0,0,1,5,1,0,1,5,1,0
"江東区／5,000m2未満",0,0,0,0,1,5,2,0,1,5,2,0
"江東区／10,000m2未満",0,0,0,0,0,0,0,0,0,0,0,0
"江東区／10,000m2以上",0,0,0,0,8,40,650,99,8,40,650,99
江東区／計,0,0,0,0,20,100,655,100,20,100,655,100
品川区／50m2未満,1,100,0,100,3,18,0,0,4,22,0,0
品川区／100m2未満,0,0,0,0,2,12,0,0,2,11,0,0
品川区／150m2未満,0,0,0,0,1,6,0,0,1,6,0,0
品川区／200m2未満,0,0,0,0,2,12,0,0,2,11,0,0
品川区／300m2未満,0,0,0,0,0,0,0,0,0,0,0,0
品川区／500m2未満,0,0,0,0,0,0,0,0,0,0,0,0
"品川区／1,000m2未満",0,0,0,0,1,6,1,0,1,6,1,0
"品川区／2,000m2未満",0,0,0,0,0,0,0,0,0,0,0,0
"品川区／5,000m2未満",0,0,0,0,0,0,0,0,0,0,0,0
"品川区／10,000m2未満",0,0,0,0,1,6,8,0,1,6,8,0
"品川区／10,000m2以上",0,0,0,0,7,41,2111,100,7,39,2111,100
品川区／計,1,100,0,100,17,100,2120,100,18,100,2120,100
目黒区／50m2未満,0,0,0,0,2,20,0,0,2,15,0,0
目黒区／100m2未満,1,33,0,6,3,30,0,0,4,31,0,0
