区分,平成23年,平成24年,平成25年,平成26年,平成27年,平成28年,平成29年,平成30年,平成31年,令和2年
50m2未満／件数(件),13227,23664,25655,24063,25389,24219,24812,24492,26293,25186
50m2未満／面積(m2),259152,386691,472150,433056,443280,425458,431227,419677,451655,448680
50m2以上100m2未満／件数(件),14669,12408,13804,12571,12552,11599,11320,10772,11438,11376
50m2以上100m2未満／面積(m2),1080352,887337,974740,891591,892591,823252,805215,763746,809580,804433
100m2以上150m2未満／件数(件),5732,3774,4610,4219,4450,4168,3982,3347,3695,3408
100m2以上150m2未満／面積(m2),672236,441529,535892,491384,517582,486753,465390,390583,429949,395899
150m2以上200m2未満／件数(件),1699,1016,1167,1127,1117,1136,1019,957,912,787
150m2以上200m2未満／面積(m2),291086,174341,199782,192756,189906,194501,174407,163818,155488,134157
200m2以上300m2未満／件数(件),1382,561,732,684,650,670,658,574,510,513
200m2以上300m2未満／面積(m2),332366,134411,173180,163951,154497,160195,156358,137431,121802,121896
300m2以上500m2未満／件数(件),540,250,309,294,330,292,314,281,244,207
300m2以上500m2未満／面積(m2),201640,92377,113822,108473,122752,107005,113904,104541,89943,75059
500m2以上1000m2未満／件数(件),220,71,63,86,82,83,80,85,45,46
500m2以上1000m2未満／面積(m2),143431,45403,40599,55268,53587,54416,52045,55298,27485,29903
1000m2以上2000m2未満／件数(件),62,10,9,9,12,9,10,7,5,5
1000m2以上2000m2未満／面積(m2),80222,12297,12109,11405,14073,10604,13820,9152,5375,6110
2000m2以上5000m2未満／件数(件),25,1,2,2,2,0,1,0,0,1
2000m2以上5000m2未満／面積(m2),95877,2005,6730,4358,6087,0,2032,0,0,4145
5000m2以上10000m2未満／件数(件),11,0,0,0,0,0,1,0,0,0
5000m2以上10000m2未満／面積(m2),82912,0,0,0,0,0,6341,0,0,0
10000m2以上／件数(件),7,0,0,0,0,0,0,0,0,0
10000m2以上／面積(m2),167698,0,0,0,0,0,0,0,0,0
合計／件数(件),37574,41755,46351,43055,44584,42176,42197,40515,43142,41529
合計／面積(m2),3406974,2176392,2529004,2352242,2394355,2262184,2220739,2044246,2091277,2020282
