区分,平成２０年／件数（件）,平成２０年／面積(m2）,平成２１年／件数（件）,平成２１年／面積(m2）,平成２２年／件数（件）,平成２２年／面積(m2）,平成２３年／件数（件）,平成２３年／面積(m2）,平成２４年／件数（件）,平成２４年／面積(m2）,平成２５年／件数（件）,平成２５年／面積(m2）,平成２６年／件数（件）,平成２６年／面積(m2）,平成２７年／件数（件）,平成２７年／面積(m2）,平成２８年／件数（件）,平成２８年／面積(m2）,平成２９年／件数（件）,平成２９年／面積(m2）
個人／千代田区,199,14239,141,17802,135,12540,115,11290,114,7760,171,10174,162,9127,146,7936,126,6972,166,8505
個人／中央区,196,11644,385,32362,210,11910,209,20017,241,9346,292,12167,227,10006,433,10974,225,9061,276,9865
個人／港区,457,111628,472,278694,476,113145,417,79912,552,24583,627,39604,510,27211,517,30389,476,25800,420,26335
個人／新宿区,1027,94123,1048,78686,1076,84677,1033,195591,1212,55834,1168,60561,1398,65182,1106,54487,1180,64596,1009,47595
個人／文京区,696,50943,695,53149,813,53258,650,48664,921,39673,1044,45637,909,39253,935,40030,818,35864,837,37381
個人／台東区,484,34968,480,35239,510,32288,611,95544,585,28087,648,31262,534,27713,580,27309,536,28667,554,24369
個人／墨田区,779,48347,677,40343,839,52028,834,50071,913,43960,1065,59539,1015,49263,1033,49268,934,43728,992,41625
個人／江東区,897,70526,912,67407,967,71532,872,58720,1016,46887,1037,48000,1037,48852,1089,48576,979,44969,977,46853
個人／品川区,1398,222410,1594,527079,1516,219751,1440,205930,1619,63630,1672,70095,1724,74400,1404,57360,1481,56339,1631,59748
個人／目黒区,1303,135801,1416,543054,1368,137751,1205,115070,1391,71010,1539,86156,1241,70271,1364,73831,1354,72258,1339,68582
個人／大田区,2738,254149,3017,248742,3016,251063,2909,249006,3040,162770,3272,180468,3328,191322,3481,194871,3497,181073,3488,198563
個人／世田谷区,4016,374036,4946,451235,4442,451889,4426,430750,4675,284125,5479,320996,4984,300165,4985,306538,4831,293327,4872,286810
個人／渋谷区,745,87984,832,90873,888,76984,767,102231,1038,50557,1198,61822,987,51541,875,50029,914,55321,950,50123
個人／中野区,1500,111679,1565,118148,1421,112138,1461,109462,1640,83537,1731,91241,1754,93415,1915,101905,1554,80636,1625,84313
個人／杉並区,2666,269177,3141,273657,3259,269061,3118,277235,3495,191008,3807,226597,3443,207422,3775,210246,3458,198149,3400,186007
個人／豊島区,1122,83304,1221,88614,1069,80394,1066,102909,1316,60632,1453,68357,1501,66854,1319,62793,1322,61273,1417,62446
個人／北区,1070,77169,1224,89428,1227,80372,1196,91668,1373,60767,1385,64945,1263,58033,1471,62892,1592,73498,1414,61679
個人／荒川区,730,65156,797,51140,772,55520,839,53600,866,38931,1082,51077,867,44248,875,39051,991,41820,886,38571
個人／板橋区,2101,174287,2020,159589,2096,217556,2228,185094,2520,118473,2565,145537,2366,118537,2604,126442,2355,123497,2203,112275
個人／練馬区,3520,310281,3552,322680,3703,338527,3783,344914,3842,219836,4489,262679,4251,248028,4541,258737,4530,265783,4169,235045
個人／足立区,3342,220784,3287,212629,3482,228546,3515,229366,4033,228805,4365,260246,4064,253453,4276,262147,3705,215766,4038,230337
個人／葛飾区,2087,150348,2155,156034,2195,154950,2354,170999,2434,131938,2762,149726,2494,131138,2704,149737,2428,132704,2573,139479
個人／江戸川区,2792,188322,2966,194333,3046,213421,2526,178929,2919,154245,3500,182118,2996,166808,3156,168807,2890,151083,2961,164233
個人／合計,35865,3161306,38543,4130918,38526,3319302,37574,3406974,41755,2176392,46351,2529004,43055,2352242,44584,2394355,42176,2262184,42197,2220739
法人／千代田区,625,108472,357,59522,518,100319,441,106195,513,65919,556,64257,601,68563,595,73114,681,63525,683,65356
法人／中央区,814,150649,577,67663,613,88296,538,65112,576,80001,769,88567,756,82241,991,102580,1074,94319,928,75419
法人／港区,1552,451516,698,224709,992,278360,905,293149,842,141200,1177,232110,1416,235261,1424,215238,1327,255487,1277,210558
