都市名,住宅地：22年,住宅地：23年,住宅地：24年,住宅地：25年,住宅地：26年,住宅地：27年,住宅地：28年,住宅地：29年,住宅地：30年,住宅地：31年,住宅地：2年,商業地：22年,商業地：23年,商業地：24年,商業地：25年,商業地：26年,商業地：27年,商業地：28年,商業地：29年,商業地：30年,商業地：31年,商業地：2年
札幌市　*1 *2,63.1,61.2,59.9,58,60.2,61,63.2,65.3,67.6,72.9,78.8,195.2,184.6,179.1,166.1,176.1,181,196,216.7,242.1,278.5,321.3
仙台市　*1 *2,67.9,67.4,66.8,66.6,70.2,72.9,75.1,80.2,84.5,90.8,97.2,391.6,363.4,345.4,324.8,340.9,356.9,380.2,419,465,527.9,599.2
さいたま市　*1 *2,181.2,179.9,177.1,172.7,176.1,178.2,182.8,189,192.5,200,205.7,510.7,497.1,486.4,461.9,473.4,487.3,504.7,515.2,538.3,577.9,619.3
千葉市　*1 *2,120,118.5,116.9,112.5,116.3,116.8,113.9,114.7,116.3,118.5,120.8,340,325.2,311,296.1,302.8,301.8,296.5,296.7,305.2,314.7,333.5
東京特別区　*1 *2,492,487.8,484,478,504.8,518.6,524.1,549.1,572.3,601.3,631.3,2075.3,2023.9,1972.8,1948.9,2101,2226.2,2368.9,2602.8,2800.2,3010,3208.4
横浜市　*1 *2,209,206.4,204.8,205.3,214.1,217.8,218.4,221.5,224.5,228,231.6,497.9,477.8,476.5,477.3,518,535.2,536.3,559.5,589.4,625.7,665.1
川崎市　*2,241.1,239.5,240.4,243.1,249.5,252.8,253.9,257.2,261.5,267,272.5,510.4,524,527,550.3,605.7,628.6,623.4,648.8,681.9,724.2,773
相模原市　*2,－,153.5,151.9,150,149.9,150.7,152.9,153.2,154.9,158,161.1,－,279.6,276.2,275.2,285,286.7,282.2,271.9,276.6,283.6,291.9
新潟市　*1 *2,62.2,61.6,61.1,54.8,55.6,55.4,54.1,53.9,54.2,54.9,55.5,142.9,143.1,141.8,118.2,120.2,119.3,115.5,114.2,114.9,116.3,118
静岡市　*1 *2,118.1,116.5,114.2,109,111.5,112.1,111.1,111.3,111.1,114.4,114.2,284.4,280.7,272.7,258.6,264.3,266.4,268.9,267.9,273.7,280.9,287.7
