区分,平成24年,平成25年,平成26年,平成27年,平成28年,平成29年,平成30年,平成31年,令和2年,令和3年
50m2未満／件数(件),1541,2201,2143,1989,2245,2353,2347,2324,2023,1907
50m2未満／面積(m2),28581,38837,41460,41327,46096,49486,51382,47721,40462,38958
50m2以上100m2未満／件数(件),1030,1239,1368,1471,1515,1564,1509,1503,1170,1324
50m2以上100m2未満／面積(m2),75645,89085,98888,105129,109070,112553,108728,107566,84457,95825
100m2以上150m2未満／件数(件),547,582,743,810,736,790,793,755,614,656
100m2以上150m2未満／面積(m2),66995,71118,90133,97679,89079,96774,96345,91311,74955,79462
150m2以上200m2未満／件数(件),281,399,400,449,469,498,444,458,361,346
150m2以上200m2未満／面積(m2),49030,68976,68741,77328,80618,86019,75820,78982,61865,59353
200m2以上300m2未満／件数(件),290,346,345,378,382,421,351,351,278,323
200m2以上300m2未満／面積(m2),70923,84194,83869,91517,92442,101632,83739,84589,67403,77131
300m2以上500m2未満／件数(件),232,248,225,273,262,275,248,216,187,201
300m2以上500m2未満／面積(m2),87604,93111,85847,103530,98747,103352,92336,80643,68628,75278
500m2以上1000m2未満／件数(件),98,130,129,111,106,112,91,95,93,84
500m2以上1000m2未満／面積(m2),67366,87291,89240,77493,72948,76982,61290,64674,65254,56342
1000m2以上2000m2未満／件数(件),47,45,34,37,35,37,19,30,19,23
1000m2以上2000m2未満／面積(m2),61319,61414,47490,50062,50486,49174,25899,40250,27766,31600
2000m2以上5000m2未満／件数(件),9,16,15,13,14,13,10,7,3,6
2000m2以上5000m2未満／面積(m2),24451,44625,38121,42848,38606,33849,27576,20007,8593,18628
5000m2以上10000m2未満／件数(件),2,5,3,3,4,1,2,1,1,1
5000m2以上10000m2未満／面積(m2),14500,34538,20855,20048,32808,5713,12262,5288,7246,5413
10000m2以上／件数(件),1,3,3,2,2,1,3,1,2,2
10000m2以上／面積(m2),14987,38707,42366,30210,33691,14988,62889,14988,29437,27612
合計／件数(件),4078,5214,5408,5536,5770,6065,5817,5741,4751,4873
合計／面積(m2),561401,711896,707010,737171,744591,730522,698266,636019,536066,565602
