年（昭和・平成）,区部（人）,区部／指数,市部（人）,市部／指数,計（人）,計／指数
50,802848,100,362167,100,1165015,100
51,823074,103,386438,107,1209512,104
52,847931,106,406439,112,1254370,108
53,870812,108,424172,117,1294984,111
54,892491,111,476743,132,1369234,118
55,912730,114,492103,136,1404833,121
56,927386,116,502372,139,1429758,123
57,941458,117,473940,131,1415398,121
58,954585,119,484464,134,1439049,124
59,967202,120,486905,134,1454107,125
60,962799,120,497389,137,1460188,125
61,971163,121,508318,140,1479481,127
62,967543,121,517978,143,1485521,128
63,974732,121,526381,145,1501113,129
64,979497,122,532314,147,1511811,130
2,986816,123,539813,149,1526629,131
3,993863,124,576359,159,1570222,135
4,1004879,125,559605,155,1564484,134
5,1011843,126,577843,160,1589686,136
6,1012542,126,580604,160,1593146,137
7,1020638,127,590706,163,1611344,138
8,1015784,127,607727,168,1623511,139
9,1025415,128,637228,176,1662643,143
10,1036454,129,656235,181,1692689,145
11,1048220,131,665841,184,1714061,147
12,1061129,132,675064,186,1736193,149
13,1074086,134,687935,190,1762021,151
14,1086575,135,702067,194,1788642,154
15,1099572,137,712868,197,1812440,156
16,1113689,139,725897,200,1839586,158
17,1126197,140,739638,204,1865835,160
18,1145957,143,758921,210,1904878,164
19,1155216,144,771696,213,1926912,165
20,1165008,145,784667,217,1949675,167
21,1174086,146,798331,220,1972417,169
22,1185876,148,809192,223,1995068,171
23,1216753,152,837220,231,2053973,176
24,1227000,153,842822,233,2069822,178
25,1238181,154,860325,238,2098506,180
26,1249180,156,885351,244,2134531,183
27,1260357,157,896971,248,2157328,185
28,1268963,158,906961,250,2175924,187
29,1275862,159,920319,254,2196181,189
30,1280344,159,932703,258,2213047,190
