順位,標準地番号,都道府県,標準地の所在地,価　　格,変動率
1,大田－９－２,東京都,東海２丁目７番１,589000,5.2
2,江東－９－４,東京都,辰巳３丁目１０番１,545000,2.8
3,江東－９－３,東京都,佐賀２丁目２２番４,435000,3.1
4,江東－９－２,東京都,東雲２丁目９番４２,419000,5.8
5,品川－９－１,東京都,八潮２丁目７番,363000,5.2
6,大田－９－３,東京都,南六郷３丁目１６番２９,355000,2
7,江戸川－９－１,東京都,松江５丁目１１２６番１,324000,2.5
8,江戸川－９－４,東京都,臨海町３丁目６番２５,307000,3.7
9,足立－９－１,東京都,綾瀬６丁目４５５番１外,286000,2.9
10,大田－９－１,東京都,東糀谷６丁目１３３５番１外,282000,4.8
