区市名,平成5年（千m2）,平成10年（千m2）,平成15年（千m2）,平成18年（千m2）,平成19年（千m2）,平成20年（千m2）,平成21年（千m2）,平成22年（千m2）,平成23年（千m2）,平成24年（千m2）,平成25年（千m2）,平成26年（千m2）,平成27年（千m2）,平成28年（千m2）,平成29年（千m2）,平成30年（千m2）
目黒区,19,15,11,10,8,10,10,9,4,4,3,2,2,2,2,4
大田区,65,40,29,26,26,22,20,19,16,13,13,12,9,8,8,7
世田谷区,940,635,405,323,305,282,273,258,243,221,197,182,170,163,153,140
中野区,55,36,31,25,24,22,22,23,20,19,19,18,16,16,15,11
杉並区,253,149,110,90,85,83,77,72,70,69,60,51,50,44,39,36
北区,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
板橋区,392,254,157,142,137,123,119,107,101,96,89,86,76,70,69,59
練馬区,2087,1166,803,645,606,556,548,492,443,408,383,348,332,305,284,259
足立区,2491,1585,720,615,581,548,531,500,321,301,287,257,246,230,207,184
葛飾区,492,277,197,172,161,150,142,132,129,122,113,104,93,88,83,74
江戸川区,1100,745,356,282,266,243,229,206,189,174,160,148,140,131,120,115
区部計,7899,4904,2818,2329,2198,2040,1971,1818,1536,1427,1324,1208,1133,1056,979,889
八王子市,4142,2888,2322,1918,1853,1808,1734,1687,1639,1595,1546,1502,1455,1425,1370,1340
立川市,1049,701,520,432,409,388,376,365,350,342,335,334,309,308,312,289
武蔵野市,88,58,36,27,26,24,24,23,21,20,19,17,17,15,15,16
三鷹市,434,267,226,199,194,187,180,181,178,171,163,152,152,143,137,134
青梅市,1314,906,787,702,700,673,667,650,613,598,582,567,551,530,522,493
府中市,950,679,549,479,448,421,399,386,372,344,323,313,289,273,255,239
昭島市,594,370,304,253,244,236,219,225,210,205,191,183,164,157,149,145
調布市,686,473,377,319,289,279,276,257,240,231,215,205,202,191,186,180
町田市,3142,2192,1533,1212,1125,1078,1052,1025,986,939,907,864,815,775,744,714
小金井市,390,215,163,141,131,127,133,122,120,111,99,88,82,77,74,72
小平市,529,340,276,221,215,220,213,214,189,185,178,165,165,155,152,142
日野市,1603,1209,816,673,636,588,560,544,512,478,455,436,409,391,374,346
東村山市,794,547,419,350,340,322,298,294,282,274,263,251,245,234,230,216
国分寺市,673,510,420,328,308,293,278,272,249,245,226,222,211,189,191,177
国立市,453,320,245,187,175,167,153,144,135,123,114,110,98,94,91,83
福生市,223,132,101,84,80,72,70,69,66,60,59,59,57,53,52,49
狛江市,235,141,120,108,106,103,100,96,89,86,78,82,81,71,67,69
東大和市,585,422,332,256,240,237,227,221,207,205,204,190,185,178,164,161
清瀬市,491,338,285,258,253,239,241,230,220,214,209,204,194,182,181,167
東久留米市,462,289,222,193,190,190,181,177,176,165,159,158,153,150,148,146
武蔵村山市,1005,741,601,473,451,437,416,409,393,378,357,343,327,310,292,285
多摩市,471,327,246,186,177,175,170,164,158,148,142,133,128,122,116,108
稲城市,470,386,332,263,250,238,228,218,219,208,202,193,184,180,174,164
羽村市,365,218,178,137,126,120,112,107,102,99,95,93,88,84,77,73
あきる野市,1134,967,689,580,552,533,512,492,479,456,444,425,406,527,509,480
西東京市,666,406,312,247,236,229,223,219,208,197,190,185,172,175,161,150
市部計,22950,16042,12412,10228,9754,9383,9043,8791,8416,8077,7753,7474,7140,6989,6743,6439
区部・市部計,30849,20946,15230,12557,11953,11423,11014,10609,9952,9504,9077,8682,8273,8045,7722,7328
