年度,Fiscal year,男女区分 ,Male female classification,区分 ,Classification,幼稚園 Kindergarten／5歳 5 years old,小学校 Elementary school／6歳 6 years old,小学校 Elementary school／7歳 7 years old,小学校 Elementary school／8歳 8 years old,小学校 Elementary school／9歳 9 years old,小学校 Elementary school／10歳 10 years old,小学校 Elementary school／11歳 11 years old,中学校 Junior high schoo／12歳 12 years old,中学校 Junior high schoo／13歳 13 years old,中学校 Junior high schoo／14歳 14 years old,高等学校 Senior high school／15歳 15 years old,高等学校 Senior high school／16歳 16 years old,高等学校 Senior high school／17歳 17 years old
平成9,1997,男 ,Male,身長 (cm),Height (cm),110.9,117.1,123.2,128.3,133.7,139.3,145.4,153,160.4,165.4,169,170.4,171.2
平成14,2002,男 ,Male,身長 (cm),Height (cm),111.1,117.2,123.4,128.5,133.8,139,145.7,152.8,161,165.8,168.7,170.4,171.1
平成19,2007,男 ,Male,身長 (cm),Height (cm),111.1,116.8,122.9,128.9,134.3,139,145.4,153,160.8,165.7,169.6,170.2,171.3
平成24,2012,男 ,Male,身長 (cm),Height (cm),110.8,116.9,122.4,128.2,134.1,139.3,145.3,153.2,160.6,165.9,168.7,170.2,170.9
平成29,2017,男 ,Male,身長 (cm),Height (cm),110.7,116.9,122.5,128.6,133.7,139.5,144.9,153.7,160.9,165.8,168.5,170.6,171.3
平成9,1997,男 ,Male,体重 (kg)  ,Weight (kg),19.3,21.9,24.6,27.3,31.1,35.3,39.6,45.5,51,55.5,60.1,62.4,62.9
平成14,2002,男 ,Male,体重 (kg)  ,Weight (kg),19.3,21.6,24.6,27.5,31.6,34.6,40,45.1,51.5,55.7,60.9,62.7,64
平成19,2007,男 ,Male,体重 (kg)  ,Weight (kg),19.3,21.5,24.2,27.3,31.2,34,39,44.6,50.7,54.5,61.2,62,63.6
平成24,2012,男 ,Male,体重 (kg)  ,Weight (kg),19,21.3,23.8,26.7,30.5,34.4,38.3,44.5,50.3,54.6,59.1,61.2,62.7
平成29,2017,男 ,Male,体重 (kg)  ,Weight (kg),19,21.3,23.9,27.3,30.3,34.4,38,44.3,49.4,53.8,59.4,61,63.1
平成9,1997,男 ,Male,座高 (cm),Sitting height (cm),62.3,65.4,68.3,70.5,73,75.5,78.1,81.5,85.2,87.8,90,90.9,91.6
平成14,2002,男 ,Male,座高 (cm),Sitting height (cm),62.2,65.2,68.2,70.6,72.9,75.1,77.9,81.5,85.7,88.1,90.2,91.3,91.7
平成19,2007,男 ,Male,座高 (cm),Sitting height (cm),62.1,64.8,67.7,70.5,72.9,75.1,77.8,81.5,85.5,88,90.7,91.4,92.1
平成24,2012,男 ,Male,座高 (cm),Sitting height (cm),62,64.9,67.5,70.2,72.8,75.2,77.7,81.5,85.4,88.4,90.3,91.4,92
平成29,2017,男 ,Male,座高 (cm),Sitting height (cm),…,…,…,…,…,…,…,…,…,…,…,…,…
平成9,1997,女 ,Female,身長 (cm),Height (cm),110.2,115.9,122.5,127.8,133.9,140.2,147.4,152.5,155.3,157,157.6,158.2,157.9
平成14,2002,女 ,Female,身長 (cm),Height (cm),110.5,116,122.2,127.9,133.5,139.8,147.1,152,155.4,157.2,157.7,158.2,158.1
平成19,2007,女 ,Female,身長 (cm),Height (cm),109.9,116.1,121.5,127.4,133.7,140.1,146.7,152.3,155.7,156.9,157.5,158.3,158.5
平成24,2012,女 ,Female,身長 (cm),Height (cm),109.5,116.1,122.2,127.4,133.4,140.2,147,152.2,155.3,156.8,157.6,158,158.7
平成29,2017,女 ,Female,身長 (cm),Height (cm),109.6,116.5,121.7,127.6,133.9,140.1,146.4,152,155.4,157,157.7,158.2,158.5
平成9,1997,女 ,Female,体重 (kg) ,Weight (kg),18.9,21.2,24,27,30.6,34.9,40.1,44.8,47.8,50.4,51.6,52.3,51.7
平成14,2002,女 ,Female,体重 (kg) ,Weight (kg),19.1,21.1,23.8,26.9,30.5,34.2,39.7,44.5,48.5,50.8,52.4,52.7,53.2
平成19,2007,女 ,Female,体重 (kg) ,Weight (kg),18.7,20.9,23.4,26.6,29.9,34,39.1,43.4,47.5,50.1,51.6,53.4,53
平成24,2012,女 ,Female,体重 (kg) ,Weight (kg),18.4,20.9,23.6,26.1,29.5,34,38.7,43.3,47.4,49.4,51.4,52.1,52.5
平成29,2017,女 ,Female,体重 (kg) ,Weight (kg),18.6,21.3,23.3,26.6,30.2,34,38.8,43.1,47.3,49.8,51.6,53.2,52.7
平成9,1997,女 ,Female,座高 (cm),Sitting height (cm),61.8,64.8,67.8,70.4,73.1,76.1,79.7,82.6,83.8,84.9,85.1,85.5,85.2
平成14,2002,女 ,Female,座高 (cm),Sitting height (cm),61.9,64.9,67.6,70.4,72.9,75.7,79.3,82.1,83.9,85,85.5,85.8,85.6
平成19,2007,女 ,Female,座高 (cm),Sitting height (cm),61.5,64.6,67.2,70,72.7,75.8,79.2,81.9,83.9,84.8,85.5,85.6,86
平成24,2012,女 ,Female,座高 (cm),Sitting height (cm),61.3,64.6,67.5,69.9,72.6,75.9,79.3,82,84,84.8,85.6,86,86.1
平成29,2017,女 ,Female,座高 (cm),Sitting height (cm),…,…,…,…,…,…,…,…,…,…,…,…,…
,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成29年）TOKYO STATISTICAL YEARBOOK ( 2017)　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,,,,,,,,
 17-4  幼児，児童及び生徒の年齢別発育平均値 (平成9～平成29年度) 17-4  AVERAGE GROWTH OF INFANTS， CHILDREN， AND STUDENTS BY AGE  ( Fiscal Years 1997-2017 ),,,,,,,,,,,,,,,,,,
この表は学校保健統計調査による。 2段階抽出調査であり，まず，学校を抽出し，その学校から生徒を抽出している 。　,,,,,,,,,,,,,,,,,,
Data in this table are based on the School Health Statistical Survey， a two stage sampling in which a sample of students are surveyed from a sample of schools.,,,,,,,,,,,,,,,,,,
資料：都総務局統計部人口統計課 「学校保健統計（学校保健統計調査報告書）」 Source: Bureau of General Affairs， TMG　　 ,,,,,,,,,,,,,,,,,,
