年末,End of year,月末,End of month,製造工業 Manufacturing,製造工業 Manufacturing／鉄鋼業 Iron and steel,製造工業 Manufacturing／非鉄金属工業 Non-ferrous metals,製造工業 Manufacturing／金属製品工業 Fabricated metals,製造工業 Manufacturing／はん用・生産用・業務用機械工業 General-purpose， production and business use machinery,製造工業 Manufacturing／はん用・生産用・業務用機械工業 General-purpose， production and business use machinery／はん用機械工業 General-purpose machinery,製造工業 Manufacturing／はん用・生産用・業務用機械工業 General-purpose， production and business use machinery／生産用機械工業 Production machinery,製造工業 Manufacturing／はん用・生産用・業務用機械工業 General-purpose， production and business use machinery／業務用機械工業 Business use machinery,製造工業 Manufacturing／電子部品・デバイス工業 Electronic parts and devices,製造工業 Manufacturing／電気機械工業 Electrical machinery,製造工業 Manufacturing／情報通信機械工業 Information and communications equipment,製造工業 Manufacturing／輸送機械工業 Transport equipment,製造工業 Manufacturing／窯業・土石製品工業 Ceramics， stone and clay products,製造工業 Manufacturing／化学工業 Chemicals,製造工業 Manufacturing／プラスチック製品工業 Plastic products,製造工業 Manufacturing／紙・紙加工品工業 Paper and paper products,製造工業 Manufacturing／繊維工業 Textiles,製造工業 Manufacturing／食料品工業 Foods,製造工業 Manufacturing／その他工業 Other manufacturing,製造工業 Manufacturing／その他工業 Other manufacturing／ゴム製品工業 Rubber products,製造工業 Manufacturing／その他工業 Other manufacturing／皮革製品工業 Leather products,製造工業 Manufacturing／その他工業 Other manufacturing／家具工業 Furniture,製造工業 Manufacturing／その他工業 Other manufacturing／木材・木製品工業 Wood and wood products,製造工業 Manufacturing／その他工業 Other manufacturing／その他製品工業 Other products
品目数,Items,,,85,9,5,5,10,3,2,5,2,2,2,5,10,10,4,3,2,2,14,3,3,1,4,3
ウェイト,Weight,,,10000,254.2,296.6,462.7,2258,196.6,709.6,1351.8,308.2,677.1,1211.4,1384.9,322.3,656.1,484.1,135.7,178.7,133.6,1236.4,443.7,255.8,111,30,395.9
平成21,2009,,,94.1,98.8,92.4,124.6,87.7,90.6,96.3,82.8,89,99.7,76.4,102.5,99.5,104.2,94.3,92.1,53.4,65.5,102.4,89.4,123.2,108.1,94.6,102.5
平成22,2010,,,95.3,104.1,99.6,79.1,98.2,83.8,96.9,101,123,109.2,69.9,105,98.7,92.4,100.4,94.8,132,85.1,87.6,65.2,92.2,91,106.4,107.4
平成23,2011,,,113,93,112.4,47.9,147.3,91,204.4,125.5,164.8,106.1,104.1,116.6,101.3,89.6,113.1,96.1,266.9,64.8,74.6,15.3,95.6,73.5,105.2,125.6
平成24,2012,,,123.6,84.5,123.8,51.2,134.1,66.6,115.7,153.6,147.1,105.7,186,145.6,93.4,112.3,88.8,96.7,226.5,81.4,78.1,25.8,69.8,95.2,61.4,138.5
平成25,2013,,,120,83.5,131.3,46.3,121.3,86.6,132.3,120.5,89.6,89.2,185.8,189.8,82.7,105.3,72.9,89.4,174.5,58,70.3,17.5,72.5,84.2,95.7,122.3
平成25,2013,1,Jan.,130.2,82.8,122.7,49.4,116.5,85.3,92.8,135.5,149,112.8,188.4,200.9,94.7,117.6,91.4,87.8,229.2,106.6,79.6,31.9,69.9,95,76.4,135.7
平成25,2013,2,Feb.,127.4,81.2,124.7,50.5,99.8,68.9,49.5,134.6,151.6,113.4,199,201.3,90.2,113.4,82.6,93.5,225.7,109.1,80.7,36.3,71,96.9,72.9,137.4
平成25,2013,3,Mar.,128.3,89.3,127.1,49.6,111.8,82.9,96.2,119.5,156.2,119.5,186.4,204.2,84.9,109.8,80.5,99.7,220.8,112.4,81.3,32.5,69.6,116.9,68.9,132.7
