年次,Year,総数 Total／床面積の合計 Total floor space,総数 Total／工事費予定額 Estimated construction cost,国 Central Government／床面積の合計 Total floor space,国 Central Government／工事費予定額 Estimated construction cost,都道府県 Prefectures／床面積の合計 Total floor space,都道府県 Prefectures／工事費予定額 Estimated construction cost,区市町村 KuShi，Machi and Mura／床面積の合計 Total floor space,区市町村 Ku，Shi，Machi and Mura／工事費予定額 Estimated construction cost,会社 Companies／床面積の合計 Total floor space,会社 Companies／工事費予定額 Estimated construction cost,会社でない団体 Organization other than companies／床面積の合計 Total floor space,会社でない団体 Organization other than companies／工事費予定額 Estimated construction cost,個人 Individuals／床面積の合計 Total floor space,個人 Individuals／工事費予定額 Estimated construction cost
平成21,2009,13842255,353915921,353664,8351811,339862,8972373,441496,11793222,8049315,215850146,985042,28936814,3672876,80011555
平成22,2010,14095589,323938484,106004,2241605,462729,11386367,354928,10049714,8082774,184738277,1119379,30633238,3969775,84889283
平成23,2011,14293816,323746595,96867,1772526,469655,12080005,370343,12540909,7750536,170773541,1632259,41487847,3974156,85091767
平成24,2012,15255070,337932355,103999,2370996,510897,11074308,351152,9491030,8450954,180725925,1890211,49088018,3947857,85182078
平成25,2013,15045565,336074519,88028,2926016,645374,17037824,304036,8430738,8359018,179525138,1190018,31169450,4459091,96985353
,,,,,,,,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 )　3  建設・住居 3  CONSTRUCTION AND HOUSING,,,,,,,,,,,,,,,
3-8  建 築 主 別 着 工 建 築 物 （平成21～25年） ,,,,,,,,,,,,,,,
この表は， 建築基準法の規定によって， 建築主から知事に届出のあった建築工事届による着工建築物の数であり， ,,,,,,,,,,,,,,,
この調査対象は延面積10平方メートルを超える建築物である。 ,,,,,,,,,,,,,,,
　　（単位　面積　平方メートル， 金額　万円） ,,,,,,,,,,,,,,,
　　資料：国土交通省 「建築着工統計調査報告」 ,,,,,,,,,,,,,,,
3-8  BUILDING CONSTRUCTION STARTS BY BUILDING OWNER ( 2009-2013 ) ,,,,,,,,,,,,,,,
Data refer to the number of building constructions started after submission of construction notification to the Governor by the ,,,,,,,,,,,,,,,
builders as prescribed in the Building Standards Act andcoversbuildingswithtotalfloorspaceofmorethan10squaremeters.,,,,,,,,,,,,,,,
(Space in m2，Value in 10 thousand yen),,,,,,,,,,,,,,,
Source: Ministry of Land，Infrastructure，TransportandTourism,,,,,,,,,,,,,,,
