地域階層,地域コード,地域,District,平成19年 2007,平成20年 2008,平成21年 2009,平成22年 2010,平成23年 2011,平成24年 2012,平成25年 2013,平成26年 2014
0,13000,総数,Tokyo-to,360,400,367,340,337,335,337,343
1,13100,区部,All ku　,518,579,531,492,488,484,478,505
2,13101,千代田区,Chiyoda-ku ,1827,2123,2041,1860,1930,1909,1909,1988
2,13102,中央区,Chuo-ku,788,923,871,764,810,803,857,950
2,13103,港区,Minato-ku ,1435,1684,1440,1308,1283,1270,1259,1384
2,13104,新宿区,Shinjuku-ku,626,718,655,602,603,605,602,620
2,13105,文京区,Bunkyo-ku ,722,841,761,696,672,668,713,746
2,13106,台東区,Taito-ku ,605,702,648,591,597,587,688,703
2,13107,墨田区,Sumida-ku,314,336,322,301,297,292,341,354
2,13108,江東区,Koto-ku,362,390,373,357,353,348,373,384
2,13109,品川区,Shinagawa-ku,658,732,657,601,596,595,591,629
2,13110,目黒区,Meguro-ku,747,848,758,699,697,689,715,775
2,13111,大田区,Ota-ku,486,529,484,452,449,445,445,463
2,13112,世田谷区,Setagaya-ku,563,628,561,520,516,510,512,527
2,13113,渋谷区,Shibuya-ku,1025,1191,1042,949,981,964,962,1019
2,13114,中野区,Nakano-ku ,495,553,508,466,468,465,463,485
2,13115,杉並区,Suginami-ku,470,519,469,433,433,429,435,451
2,13116,豊島区,Toshima-ku,468,540,501,466,459,458,457,473
2,13117,北区,Kita-ku,375,401,387,370,390,388,382,409
2,13118,荒川区,Arakawa-ku,425,466,435,408,492,486,369,378
2,13119,板橋区,Itabashi-ku,375,411,385,360,357,353,348,355
2,13120,練馬区,Nerima-ku,355,392,355,338,337,335,335,344
2,13121,足立区,Adachi-ku,263,282,275,264,262,263,255,267
2,13122,葛飾区,Katsushika-ku,284,303,289,278,276,274,277,285
2,13123,江戸川区,Edogawa-ku,325,347,330,308,305,301,300,305
1,,市，郡部,All shi and gun,206,225,212,199,197,196,194,198
2,13201,八王子市,Hachioji-shi,118,125,121,113,113,111,112,114
2,13202,立川市,Tachikawa-shi,226,252,243,226,225,224,220,228
2,13203,武蔵野市,Musashino-shi,465,536,482,452,456,455,455,477
2,13204,三鷹市,Mitaka-shi,356,402,365,352,349,349,350,357
2,13205,青梅市,Ome-shi,112,120,115,108,103,102,97,99
2,13206,府中市,Fuchu-shi,275,304,291,276,273,272,270,276
2,13207,昭島市,Akishima-shi,174,193,184,172,168,168,170,176
2,13208,調布市,Chofu-shi,317,352,326,309,306,304,306,313
2,13209,町田市,Machida-shi,154,166,161,156,154,153,152,152
2,13210,小金井市,Koganei-shi,317,348,328,304,300,298,298,307
2,13211,小平市,Kodaira-shi,232,249,236,223,220,216,214,216
2,13212,日野市,Hino-shi,180,197,189,175,173,171,171,179
2,13213,東村山市,Higashimurayama-shi,189,202,191,183,179,177,177,182
2,13214,国分寺市,Kokubunji-shi,290,318,302,275,267,265,264,263
2,13215,国立市,Kunitachi-shi,314,342,322,294,305,303,304,311
2,13218,福生市,Fussa-shi　,166,179,169,160,156,154,153,154
2,13219,狛江市,Komae-shi,308,339,314,298,295,292,291,292
2,13220,東大和市,Higashiyamato-shi,173,184,175,166,162,159,158,163
2,13221,清瀬市,Kiyose-shi,193,205,195,185,179,177,176,177
2,13222,東久留米市,Higashikurume-shi,211,229,217,207,205,203,199,206
2,13223,武蔵村山市,Musashimurayama-shi,128,136,130,123,118,116,114,120
2,13224,多摩市,Tama-shi,188,198,193,184,182,181,180,186
2,13225,稲城市,Inagi-shi,199,208,202,195,193,193,194,198
2,13227,羽村市,Hamura-shi,152,164,155,144,138,137,136,136
2,13228,あきる野市,Akiruno-shi,111,123,119,109,107,105,96,97
2,13229,西東京市,Nishitokyo-shi,267,289,274,262,260,258,258,263
2,13303,瑞穂町,Mizuho-machi,109,113,108,101,99,97,92,90
2,13305,日の出町,Hinode-machi,83,86,83,77,76,86,85,88
2,13307,檜原村,Hinohara-mura,30,29,28,27,25,23,22,…
2,13308,奥多摩町,Okutama-machi,39,39,37,35,33,31,30,…
1,13350,島部,All islands,15,15,15,15,15,14,14,14
2,13361,大島町,Oshima-machi,14,14,14,14,14,14,12,10
2,13363,新島村,Niijima-mura,7,7,7,7,7,7,7,7
2,13364,神津島村,Kozushima-mura,7,7,7,7,7,7,7,7
2,13381,三宅村,Miyake-mura,10,10,10,10,10,10,9,9
2,13401,八丈町,Hachijo-machi,12,12,12,12,11,10,10,9
2,13421,小笠原村,Ogasawara-mura,39,39,39,39,39,39,40,41
,,,,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 ) 13 　物価・地価 13   PRICES,,,,,,,,,,,
13-4  地価公示の平均価格の推移 （住宅地）（平成19～26年） 13-4 CHANGES IN AVERAGE POSTED LAND PRICES ( RESIDENTIAL LAND ) ( 2007-2014 ),,,,,,,,,,,
各年１月1日現在,,,,,,,,,,,
Figures are as of Jan. 1 of the year stated.,,,,,,,,,,,
資料：都財務局財産運用部管理課「平成26年地価公示価格」 Source: Bureau of Finance， TMG,,,,,,,,,,,
地域階層(0:東京都総数　1:区部・市，郡部・島部　2:区市町村),,,,,,,,,,,
（単位 ：千円／m2） (Thousands of yen／m2),,,,,,,,,,,
