年度,Fiscal year,総数 Total,営業用 For business／普通車 Ordinary,営業用 For business／小型車 Small,営業用 For business／特殊用途車 Special purpose,営業用 For business／軽自動車 Light motor vehicles,自家用 For private use／普通車 Medium,自家用 For private use／小型車 Small,自家用 For private use／軽自動車 Light motor vehicles
平成20,2008,151913,81717,5360,-,2471,45431,13457,3477
平成21,2009,146138,79303,5133,-,2514,43854,12211,3123
平成22,2010,152911,78393,4669,13443,2292,41175,11195,1744
平成23,2011,183178,94556,4908,29847,2511,39770,11586,-
平成24,2012,189082.342,101739.024,5621.216,24689.928,3602.058,40163.411,13266.705,-
,,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 ) 4　運輸 4　TRANSPORT ,,,,,,,,,
4-17  貨物自動車輸送量 （平成20～24年度） 4-17 VOLUME OF FREIGHT TRANSPORTED BY TRUCKS ( Fiscal Years 2008-2012 ),,,,,,,,,
注1) 平成22年10月より、調査方法及び集計方法を変更したため、時系列上の連続性が担保されない。,,,,,,,,,
　2)　自家用特種用途車については、平成２２年１０月より調査を開始した。,,,,,,,,,
　3) 平成22年10月より、自家用貨物自動車のうち軽自動車は調査から除外していることから、自家用軽自動車については平成22年9月分までの数値である。,,,,,,,,,
Note: 1)  Continuity of figures is not secured due to changes in survey and tabulation methods from October 2010. ,,,,,,,,,
          2) Survey on special purpose vehicles for private use commenced from October 2010.,,,,,,,,,
          3) Figures for private-use minicars available up to September 2010 only， due to their exclusion from private-use truck surveys since October 2010. ,,,,,,,,,
資料：国土交通省 「自動車輸送統計月報」,,,,,,,,,
Source : Ministry of Land， Infrastructure， Transport and Tourism ,,,,,,,,,
