年度(平成),Fiscal Year,本館 Main museum／開館日数 Number of open days,本館 Main museum／観覧人員 Visitors／総数 Total,本館 Main museum／観覧人員 Visitors／常設展 Permanent exhibitions,本館 Main museum／観覧人員 Visitors／特別展 Special exhibitions,分館(たてもの園) Affiliate museum (Edo-Tokyo Open-Air Architectural Museum)／開館日数 Number of open days,分館(たてもの園) Affiliate museum (Edo-Tokyo Open-Air Architectural Museum)／観覧人員 Visitors,分館(たてもの園) Affiliate museum (Edo-Tokyo Open-Air Architectural Museum)／建築物棟数(年度末) Number of reconstructed buildings (at the end of fiscal year),収蔵品数(年度末) The number of collection items (end of fiscal year)／総数 Total,収蔵品数(年度末) The number of collection items (end of fiscal year)／標本 Specimens,収蔵品数(年度末) The number of collection items (end of fiscal year)／図書 Books,収蔵品数(年度末) The number of collection items (end of fiscal year)／映像・音響 Audio-visual materials
26,2014,253,974969,588484,386485,313,502157,30,592659,314853,235820,41986
27,2015,313,1629158,996928,632230,311,247047,30,602500,319665,240788,42047
28,2016,316,1590577,997496,593081,312,237901,30,607453,320267,245121,42065
29,2017,162,716924,534063,182861,311,252476,30,611707,321044,248471,42192
30,2018,317,908868,908868,-,313,256202,30,617335,322281,252549,42505
,,,,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,,
17-12  東京都立美術館及び博物館 (4) 東京都江戸東京博物館 (平成26～30年度) 17-12  TOKYO METROPOLITAN MUSEUMS (4) TOKYO METROPOLITAN EDO-TOKYO MUSEUM ( Fiscal Years 2014-2018 ),,,,,,,,,,,,
注 1) 平成26年12月1日から平成27年3月27日まで，常設展示室はリニューアル改修工事のため休室した。,,,,,,,,,,,,
2) 平成29年10月1日から平成30年3月31日まで，本館は改修工事のため全館休館した。（特別展示室のみ平成31年3月31日まで休室） 　 　　　　,,,,,,,,,,,,
Note: 1) The Permanent Exhibition Area was closed from December 1， 2014， to March 27， 2015， for renovations.,,,,,,,,,,,,
2) The Edo-Tokyo Museum (main museum) was closed from October 1， 2017， to March 31， 2018， due to renovations. (The Special Exhibition area was closed until March 31， 2019.),,,,,,,,,,,,
資料：公益財団法人東京都歴史文化財団 Source: Tokyo Metropolitan Foundation for History and Culture　　,,,,,,,,,,,,
