一連番号,測定地点住所,緯度,経度,座標系,道路名,環境基準類型,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離,地上からの高さ,昼間等価騒音レベル(dB),夜間等価騒音レベル(dB)
18,千代田区九段南1丁目3,35.694386,139.752792,JGD2011,首都高速5号池袋線,C,2012-11-27,2012-11-28,2,4,6,1.2,66,65
19,千代田区西神田2丁目7,35.699425,139.755341,JGD2011,都道301号白山祝田田町線,C,2012-11-27,2012-11-28,4,5,6.1,1.2,69,67
20,千代田区神田神保町3丁目3,35.695652,139.754379,JGD2011,都道302号新宿両国線,C,2012-11-27,2012-11-28,4,6,6.1,1.2,68,65
21,千代田区外神田2丁目2,35.699581,139.767685,JGD2011,都道405号外濠環状線,C,2012-11-27,2012-11-28,4,4,3.2,1.2,69,67
22,千代田区岩本町2丁目18,35.693436,139.778275,JGD2011,区道千第619号,C,2012-11-27,2012-11-28,5,5,4.2,1.2,66,65
23,中央区月島4-1,35.662067,139.782181,JGD2011,都道463号線(清澄通り),c,2012-06-05,2012-06-08,4,6,7,1.2,63,60
24,中央区日本橋小伝馬町20,35.692455,139.780502,JGD2011,国道6号(江戸通り),c,2012-06-05,2012-06-08,3,6,4.5,1.2,68,66
25,中央区日本橋本町2-2,35.687996,139.775497,JGD2011,都道316号線(昭和通り),c,2012-06-05,2012-06-08,4,7,6,1.2,74,73
26,中央区築地6-1,35.665749,139.772690,JGD2011,都道304号線(晴海通り),c,2012-07-10,2012-07-13,4,6,5,1.2,70,70
27,中央区銀座1-16,35.674118,139.770599,JGD2011,都道316号線(昭和通り),c,2012-10-02,2012-10-05,4,10,6,1.2,71,71
28,中央区日本橋人形町2-36,35.685848,139.786469,JGD2011,都道50号線(新大橋通り),c,2012-10-02,2012-10-05,4,6,5.5,1.2,68,66
29,中央区京橋2-3,35.676660,139.771215,JGD2011,国道15号(中央通り),c,2012-10-02,2012-10-05,3,4,5.4,1.2,68,66
30,中央区新富2-15,35.671257,139.775208,JGD2011,都道50号線(新大橋通り),c,2013-02-19,2013-02-22,4,6,5.5,1.2,68,65
31,中央区晴海1-8,35.655556,139.781830,JGD2011,都道304号線(晴海通り),c,2012-12-04,2012-12-07,4,10,6.7,1.2,66,64
32,中央区日本橋茅場町1-14,35.680141,139.781479,JGD2011,都道50号線(新大橋通り),c,2013-01-08,2013-01-11,4,6,5.4,1.2,66,64
33,中央区日本橋本町4-7,35.689816,139.774475,JGD2011,国道4号(日光街道),C,2012-09-03,2012-09-04,3,8,6.5,1.2,71,70
34,中央区日本橋本町1-4,35.686150,139.775772,JGD2011,都道316号(日本橋芝浦大森線),C,2012-09-03,2012-09-04,4,6,5.5,1.2,74,73
35,中央区日本橋1-5,35.683125,139.774536,JGD2011,国道1号,C,2012-09-03,2012-09-04,3,4,6.2,1.2,68,67
36,中央区京橋1-7,35.678383,139.771408,JGD2011,国道15号,C,2012-09-03,2012-09-04,3,4,6.4,1.2,68,67
37,中央区日本橋室町4-6,35.689713,139.772888,JGD2011,国道17号(中山道),C,2012-09-03,2012-09-04,3,6,4.8,1.2,70,68
38,中央区日本橋茅場町1-8,35.680141,139.779007,JGD2011,都道10号(東京浦安線),C,2012-09-03,2012-09-04,4,6,6.2,1.2,70,69
39,中央区新富1-18,35.672295,139.775620,JGD2011,都道50号(東京市川線),C,2012-09-03,2012-09-04,4,6,6.0,1.2,66,65
40,中央区日本橋蛎殻町1-29,35.683262,139.783646,JGD2011,都道50号(東京市川線),C,2012-09-03,2012-09-04,4,6,5.9,1.2,69,68
41,中央区日本橋浜町3-15,35.684387,139.789001,JGD2011,都道474号(浜町北砂町線),C,2012-09-03,2012-09-04,4,4,3.2,1.2,70,67
42,港区白金台1-2,35.636738,139.730743,JGD2011,国道1号(桜田通り),c,2013-01-31,2013-02-01,3,8,3.2,1.2,66,63
43,港区東麻布3-7,35.656284,139.738449,JGD2011,都道環状3号線(外苑東通り),c,2013-01-28,2013-01-29,4,4,5.9,1.2,72,71
44,港区白金台5-10,35.641472,139.719849,JGD2011,都道北品川四谷線(外苑通り),c,2013-01-31,2013-02-01,4,4,4,1.2,74,72
45,港区南麻布5-1,35.654465,139.722473,JGD2011,都道418号線(外苑西通り),b,2013-01-28,2013-01-29,4,6,3,1.2,65,63
46,港区港南3-9,35.632515,139.751373,JGD2011,都道316号線(海岸通り),c,2013-01-31,2013-02-01,4,6,3.6,1.2,70,69
47,港区高輪2-13,35.634586,139.737762,JGD2011,国道15号(第一京浜),c,2013-01-31,2013-02-01,3,8,3.2,1.2,69,67
48,港区北青山3-3,35.668293,139.714828,JGD2011,国道246号(青山通り),c,2013-01-28,2013-01-29,3,8,6,1.2,71,71
49,港区西麻布3-20,35.660187,139.725876,JGD2011,都道412号線(六本木通り),c,2013-01-28,2013-01-29,4,8,3.1,1.2,69,67
50,港区虎ノ門3丁目4,35.666035,139.746826,JGD2011,国道1号,C,2013-01-28,2013-01-29,3,4,4.6,1.2,70,67
51,港区高輪2丁目13,35.634586,139.737762,JGD2011,国道15号,C,2013-01-28,2013-01-29,3,7,4.9,1.2,69,67
52,港区北青山1丁目1,35.673969,139.722565,JGD2011,都道環状3号線,A,2013-01-28,2013-01-29,4,6,4.5,1.2,65,63
53,港区南青山4丁目28,35.663540,139.718872,JGD2011,都道赤坂杉並線,B,2013-01-28,2013-01-29,4,2,3.3,1.2,67,67
54,港区三田4丁目9,35.641411,139.737885,JGD2011,都道高輪麻布線,C,2013-01-31,2013-02-01,4,4,3.3,1.2,70,66
55,港区港南4丁目3,35.629349,139.749710,JGD2011,都道品川埠頭線,B,2013-01-31,2013-02-01,4,8,6.4,1.2,65,59
56,港区西新橋3丁目25,35.662537,139.750290,JGD2011,区道1018号,C,2013-02-19,2013-02-19,5,4,3.5,1.2,68,66
57,港区芝浦1丁目12,35.646950,139.754028,JGD2011,区道1026号,C,2013-01-31,2013-02-01,5,4,3.6,1.2,65,60
58,港区台場2丁目6,35.625099,139.771500,JGD2011,国道357号,C,2013-01-31,2013-02-01,3,4,5.5,1.2,67,66
59,新宿区新小川町6-27,35.707932,139.741959,JGD2011,都道千代田練馬田無線(目白通り),c,2013-02-19,2013-02-22,4,4,0.4,1.2,72,70
60,新宿区下落合3-19-3,35.722710,139.703415,JGD2011,都道千代田練馬田無線(目白通り),c,2013-02-26,2013-03-01,4,2,0.5,1.2,71,69
61,新宿区西落合4-3-9,35.727474,139.680649,JGD2011,都道千代田練馬田無線(目白通り),b,2013-02-26,2013-03-01,4,4,0.4,1.2,74,74
62,新宿区西早稲田1-16-31,35.711536,139.720535,JGD2011,都道千代田練馬田無線(新目白通り),c,2013-02-26,2013-03-01,4,4,0.4,1.2,72,70
63,新宿区中落合1-3-9,35.717243,139.691910,JGD2011,都道千代田練馬田無線(新目白通り),c,2013-02-26,2013-03-01,4,4,0.5,1.2,75,71
64,新宿区神楽坂6-58,35.702477,139.736923,JGD2011,都道飯田橋石神井新座線(早稲田通り),c,2013-02-19,2013-02-22,4,1,0.3,1.2,66,64
65,新宿区西早稲田1-4-14,35.709324,139.716766,JGD2011,都道飯田橋石神井新座線(早稲田通り),c,2013-02-26,2013-03-01,4,4,0.5,1.2,68,65
66,新宿区高田馬場4-13-8,35.712646,139.700500,JGD2011,都道飯田橋石神井新座線(早稲田通り),c,2013-02-26,2013-03-01,4,2,0.4,1.2,68,65
67,新宿区西早稲田2-14-4,35.708221,139.711731,JGD2011,都道飯田橋石神井新座線補(諏訪通り),b,2013-02-26,2013-03-01,4,4,0.3,1.2,68,64
68,新宿区余丁町4-15,35.695473,139.716187,JGD2011,都道新宿両国線(余丁町通り),c,2013-02-19,2013-02-22,4,2,0.4,1.2,65,65
69,新宿区富久町8-25,35.691345,139.718140,JGD2011,都道新宿両国線(靖国通り),c,2013-02-19,2013-02-22,4,4,0.4,1.2,69,68
70,新宿区新宿5-16-5,35.692558,139.706100,JGD2011,都道新宿両国線(靖国通り),c,2013-02-26,2013-03-01,4,10,0.4,1.2,71,67
71,新宿区西新宿8-14-18,35.694984,139.691574,JGD2011,都道東京所沢線(青梅街道),c,2013-02-19,2013-02-22,4,4,5.2,1.2,66,64
72,新宿区新宿1-7-3,35.688770,139.710327,JGD2011,区道41-900(新宿通り),c,2013-02-26,2013-03-01,5,4,0.4,1.2,70,69
73,新宿区市谷本村町7-3,35.695076,139.724976,JGD2011,都道環状3号線(外苑東通り),b,2013-02-19,2013-02-22,4,4,0.5,1.2,68,66
74,新宿区左門町13,35.686466,139.719818,JGD2011,都道環状3号線(外苑東通り),c,2013-02-26,2013-03-01,4,4,0.4,1.2,68,66
75,新宿区高田馬場2-1-9,35.712124,139.710083,JGD2011,都道芝新宿王子線(明治通り),c,2013-02-26,2013-03-01,4,4,0.4,1.2,73,72
76,新宿区中落合1-14-22,35.717953,139.688507,JGD2011,都道環状6号線(山手通り),a,2013-02-26,2013-03-01,4,4,0.3,1.2,73,70
77,新宿区納戸町36,35.696926,139.733063,JGD2011,区道34-191,a,2013-02-19,2013-02-22,6,1,0.0,1.2,62,56
78,新宿区大久保3-1-3,35.704676,139.708092,JGD2011,都道芝新宿王子線(明治通り),c,2013-02-19,2013-02-22,4,4,0.3,1.2,75,74
79,新宿区四谷2-11-9,35.687426,139.723889,JGD2011,国道20号,C,2013-03-21,2013-03-22,3,8,6,1.2,68,66
80,新宿区本塩町22-8,35.690864,139.729165,JGD2011,都道新宿両国線,C,2013-03-21,2013-03-22,4,6,5,1.2,70,68
81,新宿区原町3-18,35.700424,139.722900,JGD2011,都道神楽坂高円寺線,C,2013-03-21,2013-03-22,4,2,4.3,1.2,63,60
82,新宿区北新宿1-28-16,35.701828,139.692505,JGD2011,都道神楽坂高円寺線,C,2013-03-21,2013-03-22,4,2,2.6,1.2,65,64
83,新宿区西落合1-26-16,35.722862,139.680359,JGD2011,都道落合井草線,C,2013-03-21,2013-03-22,4,2,3.0,1.2,68,66
84,文京区本駒込6-6-1,35.730896,139.741852,JGD2011,国道17号(白山通り),c,2012-12-18,2012-12-19,3,6,7.5,1.2,66,63
85,文京区大塚3-27-2,35.722282,139.735687,JGD2011,都道秋葉原雑司ヶ谷線,c,2012-12-18,2012-12-19,4,4,5.7,1.2,70,67
86,文京区向丘2-27-6,35.721840,139.755157,JGD2011,都道本郷赤羽線,c,2012-12-18,2012-12-19,4,6,4.2,1.2,67,64
87,文京区本駒込3-15-10,35.728462,139.756699,JGD2011,都道白山小台線,c,2012-12-18,2012-12-19,4,2,4,1.2,65,63
88,文京区春日1-7-10,35.707741,139.746323,JGD2011,都道牛込小石川線,c,2012-12-18,2012-12-19,4,4,2.6,1.2,63,58
89,文京区大塚4-49-8,35.724167,139.730942,JGD2011,国道254号(川越街道),c,2012-12-18,2012-12-19,3,4,5.9,1.2,70,69
90,文京区音羽2-4-2,35.718815,139.727692,JGD2011,都道音羽池袋線,c,2012-12-18,2012-12-19,4,4,4.4,1.2,68,65
91,文京区千駄木5-4-3,35.724911,139.759064,JGD2011,都道神田白山線,c,2012-12-18,2012-12-19,4,2,2,1.2,64,51
92,文京区本駒込6丁目6,35.731441,139.742279,JGD2011,国道17号,C,2012-12-18,2012-12-19,3,6,7.5,1.2,66,63
93,文京区大塚3丁目27-2,35.722282,139.735687,JGD2011,都道秋葉原雑司ヶ谷線,C,2012-12-18,2012-12-19,4,4,5.7,1.2,70,67
94,文京区向丘2丁目27,35.721874,139.755646,JGD2011,都道本郷赤羽線,C,2012-12-18,2012-12-19,4,4,4.2,1.2,67,64
95,文京区本駒込3丁目15,35.728458,139.756439,JGD2011,都道白山小台線,C,2012-12-18,2012-12-19,4,2,4.0,1.2,65,63
96,文京区春日1丁目7-10,35.707741,139.746323,JGD2011,都道牛込小石川線,C,2012-12-18,2012-12-19,4,4,2.6,1.2,63,58
97,文京区大塚4丁目49,35.724167,139.730942,JGD2011,国道254号,C,2012-12-18,2012-12-19,3,4,5.9,1.2,70,69
98,文京区音羽2丁目4-2,35.718815,139.727692,JGD2011,都道音羽池袋線,C,2012-12-18,2012-12-19,4,4,4.4,1.2,68,65
99,文京区千駄木5丁目4,35.725227,139.759171,JGD2011,都道神田白山線,C,2012-12-18,2012-12-19,4,2,2.0,1.2,64,61
100,台東区下谷3-1-29,35.723251,139.786255,JGD2011,国道4号(昭和通り),c,2012-11-05,2012-11-09,3,6,6,1.2,69,69
101,台東区西浅草3-17,35.715446,139.791962,JGD2011,都道462号蔵前三ノ輪線(国際通り),c,2012-11-05,2012-11-09,4,6,6.4,1.2,67,63
102,台東区浅草2-30,35.715668,139.796616,JGD2011,都道319号環状3号線(言問通り),c,2012-11-05,2012-11-09,4,4,3.7,1.9,69,66
103,台東区下谷3丁目1,35.723507,139.786118,JGD2011,国道4号,C,2012-11-07,2012-11-08,3,6,6,1.2,69,68
104,台東区西浅草3丁目17,35.715446,139.791962,JGD2011,都道462号(蔵前三ノ輪線),C,2012-11-07,2012-11-08,4,6,6.4,1.2,67,63
105,台東区浅草2丁目30,35.715668,139.796616,JGD2011,都道環状3号線,C,2012-11-07,2012-11-08,4,4,3.7,1.2,69,66
106,台東区東上野5丁目9,35.713055,139.782730,JGD2011,区道台第53号,C,2012-11-07,2012-11-08,5,4,3.2,1.2,66,64
107,台東区上野5丁目3,35.703289,139.774597,JGD2011,区道55号,C,2012-11-07,2012-11-08,5,4,5,1.2,69,67
108,台東区橋場2丁目18,35.728127,139.807190,JGD2011,都道王子千住南砂町線,C,2012-11-07,2012-11-08,4,4,3,1.2,70,65
109,台東区今戸1丁目1,35.718094,139.805069,JGD2011,都道言問大谷田線,B,2012-11-07,2012-11-08,4,2,5.5,1.2,64,61
110,台東区上野公園3,35.713795,139.771439,JGD2011,都道秋葉原雑司ヶ谷線,B,2012-11-07,2012-11-08,4,4,5.7,1.2,67,66
111,台東区駒形1丁目4,35.707001,139.794510,JGD2011,国道6号,C,2012-11-07,2012-11-08,3,4,7.4,1.2,65,63
112,台東区台東1丁目34,35.702209,139.778748,JGD2011,都道315号線,C,2012-11-07,2012-11-08,4,4,4.6,1.2,70,69
113,台東区雷門1丁目14,35.710945,139.793686,JGD2011,区道台第78号,C,2012-11-07,2012-11-08,5,4,5.5,1.2,66,63
114,台東区小島2丁目21,35.706764,139.783005,JGD2011,都道453号線,C,2012-11-07,2012-11-08,4,4,4.8,1.2,70,68
115,台東区上野7丁目12,35.715889,139.780334,JGD2011,国道4号,C,2012-11-07,2012-11-08,3,6,6.0,1.2,70,71
116,台東区浅草橋3丁目20,35.701096,139.788528,JGD2011,国道6号,C,2012-11-07,2012-11-08,3,4,6.0,1.2,70,69
117,台東区西浅草1丁目2,35.710361,139.790222,JGD2011,都道463号(上野月島線),C,2012-11-07,2012-11-08,4,4,6.1,1.2,69,65
118,台東区花川戸2丁目6,35.714420,139.798721,JGD2011,区道60号線,C,2012-11-07,2012-11-08,5,4,3.5,1.2,68,62
119,台東区上野5丁目14,35.704540,139.775589,JGD2011,国道4号,C,2012-11-07,2012-11-08,3,6,6.0,1.2,70,71
120,墨田区東向島1-28-11,35.718777,139.814026,JGD2011,国道6号(水戸街道),c,2012-09-03,2012-09-07,3,4,3,2,71,69
121,墨田区墨田4-61-9,35.730038,139.826355,JGD2011,国道6号(水戸街道),c,2012-09-03,2012-09-07,3,4,4,1.2,73,72
122,墨田区東向島6-6-12,35.721310,139.819565,JGD2011,都道王子千住南砂線(明治通り),c,2012-09-10,2012-09-14,4,4,4,2,68,65
123,墨田区東向島3-17-13,35.724815,139.815765,JGD2011,都道王子千住南砂線(明治通り),c,2012-09-10,2012-09-14,4,4,4,1.2,70,68
124,墨田区江東橋1-7-14,35.695141,139.809860,JGD2011,国道14号(京葉道路),c,2012-09-24,2012-09-28,3,6,5,2,70,67
125,墨田区緑2-13-7,35.694611,139.800964,JGD2011,国道14号(京葉道路),c,2012-09-24,2012-09-28,3,4,4,1.2,73,71
126,墨田区横網2-3 横網町公園,35.699745,139.796921,JGD2011,都道御徒町小岩線(蔵前橋通り),b,2012-10-01,2012-10-05,4,4,3,1.2,70,66
127,墨田区太平1-17 法恩寺橋児童遊園,35.701801,139.808640,JGD2011,都道御徒町小岩線(蔵前橋通り),c,2012-10-01,2012-10-05,4,4,3,1.2,70,67
128,墨田区菊川3-16-5,35.688911,139.806351,JGD2011,都道環状3号線(三ツ目通り),c,2012-10-15,2012-10-19,4,4,3,1.2,70,68
129,墨田区本所4-1-4,35.702820,139.804916,JGD2011,都道環状3号線(三ツ目通り),c,2012-10-15,2012-10-19,4,4,3,1.2,68,66
130,墨田区吾妻橋2丁目3,35.708782,139.803726,JGD2011,都道本郷亀戸線,C,2012-11-12,2012-11-13,4,4,6,1.2,65,62
131,墨田区立花1丁目10,35.706398,139.826889,JGD2011,都道王子千住南砂町線,C,2012-11-12,2012-11-13,4,4,4,1.2,68,65
132,墨田区業平3丁目4,35.706112,139.813980,JGD2011,都道深川吾嬬線,C,2012-11-12,2012-11-13,4,4,3.3,1.2,69,65
133,墨田区本所1丁目1,35.702091,139.795654,JGD2011,首都高速6号向島線,C,2012-11-12,2012-11-13,2,4,11,1.2,69,67
134,墨田区向島2丁目1,35.713566,139.805069,JGD2011,首都高速6号向島線,C,2012-11-12,2012-11-13,2,4,5.5,1.2,66,62
135,墨田区堤通1丁目14,35.725262,139.810791,JGD2011,首都高速6号向島線,C,2012-11-12,2012-11-13,2,4,0.5,1.2,64,63
136,江東区亀戸7-39-9,35.697147,139.839218,JGD2011,国道14号(京葉道路),c,2012-06-20,2012-06-21,3,6,5,2.1,72,69
137,江東区住吉2-28-36,35.689022,139.819382,JGD2011,都道放射31号線(新大橋通り),b,2012-09-18,2012-09-19,4,4,4,2,66,64
138,江東区大島3-16-2,35.689594,139.829697,JGD2011,都道放射31号線(新大橋通り),c,2012-11-08,2012-11-09,4,4,3,2,67,61
139,江東区北砂4-13-23,35.676956,139.829224,JGD2011,都道補助111号線(清洲橋通り),c,2012-10-15,2012-10-16,4,4,3,1.5,68,64
140,江東区南砂4-4-1,35.674496,139.830322,JGD2011,都道放射29号線(葛西橋通り),c,2012-06-18,2012-06-19,4,4,3,2.5,72,71
141,江東区永代2-31,35.673653,139.792633,JGD2011,都道放射16号線(永代通り),c,2012-06-13,2012-06-14,4,6,5,1.5,68,67
142,江東区東陽3-27,35.670174,139.815643,JGD2011,都道放射16号線(永代通り),c,2012-07-02,2012-07-03,4,6,6,1.7,69,67
143,江東区豊洲4-11-18,35.653324,139.799072,JGD2011,都道放射34号線(晴海通り),c,2012-08-27,2012-08-28,4,7,6,1.2,68,63
144,江東区平野1-2-3,35.678619,139.798462,JGD2011,都道補助110号線(清澄通り),c,2012-07-23,2012-07-24,4,4,4,1.5,69,66
145,江東区東雲2-5,35.640823,139.799210,JGD2011,国道357号(湾岸道路),c,2012-05-23,2012-05-24,3,4,8,1.5,71,69
146,江東区森下4-9-22,35.685215,139.806168,JGD2011,都道環状3号線(三ツ目通り),c,2012-06-11,2012-06-12,4,4,3,2,70,66
147,江東区枝川3-3,35.658913,139.808472,JGD2011,都道環状3号線(三ツ目通り),c,2012-11-01,2012-11-02,4,6,4,1.5,72,70
148,江東区枝川1-8-15,35.657299,139.802383,JGD2011,都道環状3号線(三ツ目通り),c,2013-01-30,2013-01-31,4,6,2.7,1.2,66,62
149,江東区大島3-4-5,35.692406,139.826218,JGD2011,都道補助116号線(明治通り),c,2012-10-17,2012-10-18,4,4,5,1.2,68,68
150,江東区東砂2-12-14,35.683292,139.843781,JGD2011,都道補助144号線(番所橋通り),b,2012-07-05,2012-07-06,4,4,4.5,2.1,68,63
151,江東区枝川2-1,35.659821,139.805649,JGD2011,首都高速9号深川線,c,2012-11-28,2012-11-29,2,4,28,27,72,70
152,江東区亀戸6丁目41,35.696480,139.830536,JGD2011,国道14号(京葉道路),C,2012-12-04,2012-12-05,3,8,6,1.2,73,71
153,江東区亀戸7丁目42,35.696823,139.835480,JGD2011,国道14号(京葉道路),C,2012-12-04,2012-12-05,3,7,3.5,1.2,73,72
154,江東区永代2丁目30,35.673168,139.792572,JGD2011,都道東京浦安線(永代通り),C,2012-12-04,2012-12-05,4,6,6.3,1.2,68,65
155,江東区新砂3丁目4,35.664612,139.835602,JGD2011,都道東京浦安線(永代通り),C,2012-12-04,2012-12-04,4,4,4.4,1.2,70,68
156,江東区東陽6丁目5,35.675953,139.813400,JGD2011,都道永代葛西橋線(葛西橋通り),C,2012-12-04,2012-12-05,4,4,1.8,1.2,73,71
157,品川区東五反田3-6-18,35.630242,139.728775,JGD2011,国道1号(桜田通り),c,2013-02-12,2013-02-15,3,8,3.4,1.2,69,67
158,品川区戸越6-2-16,35.608525,139.714573,JGD2011,国道1号(第二京浜),c,2013-02-12,2013-02-15,3,6,2.3,1.2,68,66
159,品川区北品川2-7-15,35.618661,139.744223,JGD2011,国道357号(八潮バイパス),c,2013-02-12,2013-02-15,3,5,4.2,1.2,69,67
160,品川区東品川3-15-7,35.614340,139.747392,JGD2011,国道357号(八潮バイパス),c,2013-02-12,2013-02-15,3,6,2.9,1.2,72,69
161,品川区旗の台1-11-17,35.607116,139.702392,JGD2011,都道東京丸子横浜線(中原街道),c,2013-02-12,2013-02-15,4,4,4.3,1.2,68,66
162,品川区東品川1-2-5,35.622890,139.744667,JGD2011,都道日本橋芝浦大森線(海岸通り),c,2013-02-12,2013-02-15,4,6,3.0,1.2,70,68
163,品川区上大崎3-14-23,35.630382,139.720228,JGD2011,都道北品川四谷線,b,2013-02-12,2013-02-15,4,7,5.9,1.2,69,66
164,品川区小山4-5-4,35.617992,139.704890,JGD2011,都道鮫洲大山線(26号線通り),c,2013-02-12,2013-02-15,4,2,3.1,1.2,65,63
165,品川区南大井1-6-3,35.596514,139.740574,JGD2011,区道7号(競馬場通り),c,2013-02-12,2013-02-15,5,4,3.8,1.2,68,64
166,品川区八潮5-6-32,35.596322,139.749751,JGD2011,区道7号(競馬場通り),b,2013-02-12,2013-02-15,5,4,4.9,1.2,67,63
167,品川区東品川3-32-27,35.615243,139.750809,JGD2011,区道31号(天王洲通り),c,2013-02-12,2013-02-15,5,4,2.6,1.2,69,67
168,品川区北品川3丁目9-27,35.617096,139.738852,JGD2011,都道環状6号線,C,2013-02-19,2013-02-20,4,4,3.6,1.2,70,68
169,品川区西五反田7丁目6-1,35.624197,139.719653,JGD2011,都道環状6号線,C,2013-02-19,2013-02-20,4,4,5.0,1.2,68,64
170,品川区大井4丁目17-16,35.601664,139.731440,JGD2011,都道東品川下丸子線,C,2013-02-19,2013-02-20,4,2,3.0,1.2,66,65
171,目黒区碑文谷4-16-18,35.621521,139.682281,JGD2011,都道白金台町等々力線(目黒通り),b,2012-11-27,2012-12-06,4,5,4.3,1.2,67,65
172,目黒区八雲2-9-12,35.615448,139.669601,JGD2011,都道白金台町等々力線(目黒通り),b,2012-11-27,2012-12-06,4,5,4.3,1.2,71,68
173,目黒区目黒2-9-3,35.633469,139.709595,JGD2011,都道白金台町等々力線(目黒通り),c,2012-11-27,2012-12-06,4,5,3.5,1.2,74,73
174,目黒区中目黒4-1-2,35.638931,139.703644,JGD2011,都道環状6号線(山手通り),c,2012-11-27,2012-12-06,4,4,6.7,1.2,67,64
175,目黒区南2-9-7,35.614174,139.685974,JGD2011,都道環状7号線(環七通り),b,2012-11-27,2012-12-06,4,4,7.8,1.2,67,64
176,目黒区八雲5-14,35.621277,139.667801,JGD2011,都道上馬奥沢線(自由通り),a,2012-11-27,2012-12-06,4,2,2.4,1.2,66,64
177,目黒区東山3丁目1-19,35.651096,139.685760,JGD2011,国道246号,C,2013-02-14,2013-02-15,3,6,5.5,1.2,74,74
178,目黒区八雲3丁目25-8,35.613941,139.664948,JGD2011,都道白金台町等々力線,B,2013-02-14,2013-02-15,4,5,4.7,1.2,71,68
179,目黒区青葉台4丁目1-11,35.655991,139.690704,JGD2011,都道環状6号線,B,2013-02-14,2013-02-15,4,4,6,1.2,69,67
180,目黒区柿の木坂2丁目4-3,35.625031,139.678329,JGD2011,都道環状7号線,B,2013-02-14,2013-02-15,4,6,3.9,1.2,72,70
181,目黒区上目黒1丁目3-9,35.644508,139.701218,JGD2011,都道環状6号線,C,2013-02-14,2013-02-15,4,4,6.3,1.2,70,68
182,目黒区大橋2丁目18-1,35.655499,139.685806,JGD2011,都道渋谷経堂線,B,2013-02-14,2013-02-15,4,2,3.9,1.2,66,66
183,大田区西嶺町13,35.581436,139.681732,JGD2011,都道環状8号線(環八通り),b,2013-01-28,2013-01-31,4,6,3.1,3.1,70,67
184,大田区羽田4-1,35.551327,139.746017,JGD2011,都道環状8号線(環八通り),c,2013-01-28,2013-01-31,4,6,4.5,2.5,67,64
185,大田区南千束1-12,35.602612,139.695297,JGD2011,都道東京丸子横浜線(中原街道),c,2013-01-28,2013-01-31,4,5,4.4,2.7,71,68
186,大田区田園調布本町41,35.586536,139.673248,JGD2011,都道東京丸子横浜線(中原街道),c,2013-02-04,2013-02-07,4,4,4.2,2.5,69,67
