 2-(1)入港船舶月別前年比較表,,,,,,,,,,,,(単位：隻、総トン）
年月,令和元年(2019年),,,,,,平成30年(2018年),,,,,
,総数,,外航船,,内航船,,総数,,外航船,,内航船,
,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数
１月　,"1,894","14,030,164",429,"10,478,863","1,465","3,551,301","1,834","14,432,925",440,"10,830,089","1,394","3,602,836"
,103.3%,97.2%,97.5%,96.8%,105.1%,98.6%,,,,,,
２月　,"1,883","13,944,490",399,"10,319,664","1,484","3,624,826","1,983","13,924,842",421,"10,359,544","1,562","3,565,298"
,95.0%,100.1%,94.8%,99.6%,95.0%,101.7%,,,,,,
３月　,"2,134","15,813,494",459,"11,612,037","1,675","4,201,457","2,105","14,753,593",450,"10,811,631","1,655","3,941,962"
,101.4%,107.2%,102.0%,107.4%,101.2%,106.6%,,,,,,
４月　,"2,010","16,083,222",454,"12,224,020","1,556","3,859,202","2,021","15,131,346",460,"11,352,932","1,561","3,778,414"
,99.5%,106.3%,98.7%,107.7%,99.7%,102.1%,,,,,,
５月　,"1,846","14,410,844",403,"10,728,467","1,443","3,682,377","2,069","15,293,599",478,"11,606,409","1,591","3,687,190"
,89.2%,94.2%,84.3%,92.4%,90.7%,99.9%,,,,,,
６月　,"1,982","15,345,080",453,"11,406,060","1,529","3,939,020","2,033","15,526,232",474,"11,652,580","1,559","3,873,652"
,97.5%,98.8%,95.6%,97.9%,98.1%,101.7%,,,,,,
７月　,"2,143","15,772,021",451,"11,565,837","1,692","4,206,184","2,093","16,001,895",469,"12,070,891","1,624","3,931,004"
,102.4%,98.6%,96.2%,95.8%,104.2%,107.0%,,,,,,
８月　,-,-,-,-,-,-,"1,947","15,349,486",466,"11,763,846","1,481","3,585,640"
,-,-,-,-,-,-,,,,,,
９月　,-,-,-,-,-,-,"1,935","15,032,128",450,"11,248,574","1,485","3,783,554"
,-,-,-,-,-,-,,,,,,
１０月　,-,-,-,-,-,-,"2,135","15,718,971",456,"11,688,322","1,679","4,030,649"
,-,-,-,-,-,-,,,,,,
１１月　,-,-,-,-,-,-,"2,131","16,321,942",477,"12,340,431","1,654","3,981,511"
,-,-,-,-,-,-,,,,,,
１２月　,-,-,-,-,-,-,"2,088","15,625,053",463,"11,702,255","1,625","3,922,798"
,-,-,-,-,-,-,,,,,,
累計,"13,892","105,399,315","3,048","78,334,948","10,844","27,064,367","24,374","183,112,012","5,504","137,427,504","18,870","45,684,508"
,98.3%,100.3%,95.5%,99.6%,99.1%,102.6%,,,,,,
前年累計,"14,138","105,064,432","3,192","78,684,076","10,946","26,380,356",,,,,,
増(－)減,-246,"334,883",-144,"-349,128",-102,"684,011",,,,,,
,,,,,,,,,,,,
（注）下段：前年同月比％,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
","55,146",46,"55,100","-52,866",4.1%,,,,,,,
24,りん鉱石,57,-,57,-,-,-,57,-,,,,,,,
25,石灰石,"344,597","2,150","342,447","292,341","5,255","287,086","52,256",117.9%,,,,,,,
26,原塩,"10,939",125,"10,814","11,098",255,"10,843",-159,98.6%,,,,,,,
27,非金属鉱物,"253,774","26,602","227,172","391,437","29,374","362,063","-137,663",64.8%,,,,,,,
金属機械工業品,,"28,685,478","13,640,218","15,045,260","26,889,948","12,581,168","14,308,780","1,795,530",106.7%,,,,,,,
28,鉄鋼,"93,849","30,988","62,861","61,497","15,859","45,638","32,352",152.6%,,,,,,,
29,鋼材,"1,496,332","292,002","1,204,330","1,431,616","278,117","1,153,499","64,716",104.5%,,,,,,,
30,非鉄金属,"327,696","118,646","209,050","310,432","128,176","182,256","17,264",105.6%,,,,,,,
31,金属製品,"1,678,804","338,942","1,339,862","1,556,947","296,819","1,260,128","121,857",107.8%,,,,,,,
32,鉄道車両,"3,779","1,603","2,176","3,716","2,299","1,417",63,101.7%,,,,,,,
33,完成自動車,"13,414,844","7,904,168","5,510,676","12,334,920","7,161,266","5,173,654","1,079,924",108.8%,,,,,,,
34,その他の輸送用車両,"112,586","16,617","95,969","111,519","17,513","94,006","1,067",101.0%,,,,,,,
35,二輪自動車,"56,212","9,520","46,692","44,380","5,325","39,055","11,832",126.7%,,,,,,,
36,自動車部品,"2,348,864","1,510,412","838,452","2,341,502","1,550,882","790,620","7,362",100.3%,,,,,,,
37,その他輸送機械,"594,758","124,235","470,523","571,582","129,981","441,601","23,176",104.1%,,,,,,,
38,産業機械,"3,689,844","2,134,873","1,554,971","3,334,401","1,890,726","1,443,675","355,443",110.7%,,,,,,,
39,電気機械,"3,963,449","785,855","3,177,594","3,898,792","734,433","3,164,359","64,657",101.7%,,,,,,,
40,測量・光学・医療器械,"517,023","192,809","324,214","495,343","183,585","311,758","21,680",104.4%,,,,,,,
41,事務用機械,"315,133","154,082","161,051","309,257","148,758","160,499","5,876",101.9%,,,,,,,
42,その他機械,"72,305","25,466","46,839","84,044","37,429","46,615","-11,739",86.0%,,,,,,,
化学工業品,,"13,656,567","2,818,378","10,838,189","12,783,675","2,694,205","10,089,470","872,892",106.8%,,,,,,,
43,陶磁器,"156,819","10,686","146,133","149,222","9,811","139,411","7,597",105.1%,,,,,,,
44,セメント,"2,641,260","40,452","2,600,808","2,367,335","50,153","2,317,182","273,925",111.6%,,,,,,,
45,ガラス類,"219,142","84,134","135,008","185,019","88,448","96,571","34,123",118.4%,,,,,,,
46,窯業品,"425,263","137,217","288,046","389,689","131,645","258,044","35,574",109.1%,,,,,,,
47,重油,"371,257","176,110","195,147","349,265","163,368","185,897","21,992",106.3%,,,,,,,
48,石油製品,"4,420,582","42,785","4,377,797","4,245,247","44,888","4,200,359","175,335",104.1%,,,,,,,
49,LNG/液化天然ガス,396,18,378,-,-,-,396,-,,,,,,,
50,LPG/液化石油ガス,"6,733","6,548",185,"6,702","6,702",-,31,100.5%,,,,,,,
51,その他石油製品,"60,152","18,359","41,793","92,145","12,459","79,686","-31,993",65.3%,,,,,,,
52,コークス,"40,323","2,321","38,002","17,835","6,336","11,499","22,488",226.1%,,,,,,,
53,石炭製品,"8,264","7,844",420,"11,372","10,641",731,"-3,108",72.7%,,,,,,,
54,化学薬品,"1,063,371","362,926","700,445","995,917","341,154","654,763","67,454",106.8%,,,,,,,
55,化学肥料,"61,133","7,832","53,301","63,190","11,471","51,719","-2,057",96.7%,,,,,,,
56,その他化学工業品,"4,181,872","1,921,146","2,260,726","3,910,737","1,817,129","2,093,608","271,135",106.9%,,,,,,,
軽工業品,,"8,710,342","1,587,422","7,122,920","8,386,067","1,473,016","6,913,051","324,275",103.9%,,,,,,,
57,紙、パルプ,"2,969,070","527,882","2,441,188","2,975,707","470,365","2,505,342","-6,637",99.8%,,,,,,,
58,糸及び紡績半製品,"82,265","7,491","74,774","95,866","11,077","84,789","-13,601",85.8%,,,,,,,
59,その他繊維工業品,"411,760","65,430","346,330","384,345","57,576","326,769","27,415",107.1%,,,,,,,
60,砂糖,"124,826","16,188","108,638","108,281","10,209","98,072","16,545",115.3%,,,,,,,
61,製造食品,"3,039,726","455,259","2,584,467","2,801,844","433,437","2,368,407","237,882",108.5%,,,,,,,
62,飲料,"1,288,365","356,398","931,967","1,226,682","357,574","869,108","61,683",105.0%,,,,,,,
63,水,"327,211","116,907","210,304","344,442","112,230","232,212","-17,231",95.0%,,,,,,,
64,たばこ,"103,659","13,228","90,431","102,605","14,105","88,500","1,054",101.0%,,,,,,,
65,その他食料工業品,"363,460","28,639","334,821","346,295","6,443","339,852","17,165",105.0%,,,,,,,
雑工業品,,"11,944,548","1,512,269","10,432,279","11,373,126","1,436,905","9,936,221","571,422",105.0%,,,,,,,
66,がん具,"660,795","18,163","642,632","619,652","18,339","601,313","41,143",106.6%,,,,,,,
67,衣服、身廻品、はきもの,"4,815,801","196,273","4,619,528","4,636,867","205,671","4,431,196","178,934",103.9%,,,,,,,
68,文房具、運動娯楽用品、楽器,"829,735","139,326","690,409","814,222","137,243","676,979","15,513",101.9%,,,,,,,
69,家具装備品,"2,230,527","118,616","2,111,911","2,190,293","127,575","2,062,718","40,234",101.8%,,,,,,,
70,その他日用品,"780,471","293,256","487,215","732,693","260,754","471,939","47,778",106.5%,,,,,,,
71,ゴム製品,"839,344","393,139","446,205","759,240","375,817","383,423","80,104",110.6%,,,,,,,
72,木製品,"1,157,334","31,449","1,125,885","1,068,625","28,049","1,040,576","88,709",108.3%,,,,,,,
73,その他製造工業品,"630,541","322,047","308,494","551,534","283,457","268,077","79,007",114.3%,,,,,,,
特殊品,,"14,683,180","9,052,654","5,630,526","14,408,443","8,803,968","5,604,475","274,737",101.9%,,,,,,,
74,金属くず,"705,479","619,473","86,006","741,138","665,380","75,758","-35,659",95.2%,,,,,,,
75,再利用資材,"2,803,898","2,735,812","68,086","2,981,587","2,910,430","71,157","-177,689",94.0%,,,,,,,
76,動植物性製造飼肥料,"1,133,827","71,502","1,062,325","955,843","38,908","916,935","177,984",118.6%,,,,,,,
77,廃棄物,"14,050","4,755","9,295","13,553","4,285","9,268",497,103.7%,,,,,,,
78,廃土砂,"1,990,989","1,988,532","2,457","1,494,551","1,481,746","12,805","496,438",133.2%,,,,,,,
79,輸送用容器,"1,587,563","300,930","1,286,633","1,518,299","311,622","1,206,677","69,264",104.6%,,,,,,,
80,取合せ品,"6,447,374","3,331,650","3,115,724","6,703,472","3,391,597","3,311,875","-256,098",96.2%,,,,,,,
分類不能のもの,,-,-,-,-,-,-,-,-,,,,,,,
分類不能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,2,1,1,4,0,0,0,0,0,0,0,0,0,1,0,0,,2,1,3,2,2,2,0,1,0,0,0,0,,1,1,1,1,1,1,1,1
