,区分,出入,実入・空別,実績値H13/2001,実績値H14/2002,実績値H15/2003,実績値H16/2004,実績値H17/2005,実績値H18/2006,実績値H19/2007,実績値H20/2008,実績値H21/2009,実績値H22/2010,実績値(参考)H23/2011,実績値(参考)H24/2012,推計値H30代後半
外貿公共コンテナ貨物取扱個数等,実入コンテナトン-ＴＥＵ換算率(トン/ＴＥＵ),輸出,実入,19.0,18.0,17.9,17.1,16.4,15.1,15.3,12.9,13.1,13.3,13.3,13.3,13.1
外貿公共コンテナ貨物取扱個数等,実入コンテナトン-ＴＥＵ換算率(トン/ＴＥＵ),輸入,実入,14.9,14.5,14.4,14.3,13.6,13.5,13.6,15.1,14.7,14.5,14.5,14.4,14.8
外貿公共コンテナ貨物取扱個数等,実入コンテナトン-ＴＥＵ換算率(トン/ＴＥＵ),計,実入,16.3,15.8,15.6,15.3,14.6,14.1,14.2,14.4,14.2,14.1,14.2,14.1,
外貿公共コンテナ貨物取扱個数等,空コンテナ比率（％）,輸出,空,38.6,33.0,35.5,33.5,35.3,35.8,35.6,41.0,43.9,44.0,50.8,51.9,38.3
外貿公共コンテナ貨物取扱個数等,空コンテナ比率（％）,輸入,空,1.3,1.3,0.8,2.3,2.4,1.8,2.5,1.9,0.9,1.0,0.8,0.6,1.3
外貿公共コンテナ貨物取扱個数等,空コンテナ比率（％）,計,空,18.3,15.6,16.4,16.5,17.6,17.6,17.8,20.1,20.6,20.6,23.9,24.2,18.5
外貿公共コンテナ貨物取扱個数等,コンテナ個数（千ＴＥＵ）,輸出,実入,733,843,893,1019,1077,1101,1108,102,876,974,941,938,1624
外貿公共コンテナ貨物取扱個数等,コンテナ個数（千ＴＥＵ）,輸出,空,461,415,492,513,587,615,612,709,684,765,971,1010,894
外貿公共コンテナ貨物取扱個数等,コンテナ個数（千ＴＥＵ）,輸出,計,1194,1258,1384,1531,1664,1716,1721,1729,1560,1739,1913,1948,2518
外貿公共コンテナ貨物取扱個数等,コンテナ個数（千ＴＥＵ）,輸入,実入,1395,1507,1678,1785,1886,1945,1949,1959,1823,2057,2213,2272,3049
外貿公共コンテナ貨物取扱個数等,コンテナ個数（千ＴＥＵ）,輸入,空,18,19,13,41,47,35,50,39,16,20,18,15,34
外貿公共コンテナ貨物取扱個数等,コンテナ個数（千ＴＥＵ）,輸入,計,1413,1526,1690,1827,1934,1980,2000,1998,1839,2078,2231,2287,3083
外貿公共コンテナ貨物取扱個数等,コンテナ個数（千ＴＥＵ）,計,実入,2129,2350,2570,2804,2963,3046,3058,2979,2699,303,3155,3210,4673
外貿公共コンテナ貨物取扱個数等,コンテナ個数（千ＴＥＵ）,計,空,478,435,505,554,635,650,663,748,701,785,989,1025,928
外貿公共コンテナ貨物取扱個数等,コンテナ個数（千ＴＥＵ）,計,計,2607,2784,3075,3358,3598,3696,3720,3727,3399,3816,4144,4235,5601
外貿公共コンテナ貨物取扱個数等,コンテナ個数（千ＴＥＵ）,滞留コンテナ,個数,219,267,306,295,270,264,279,269,279,339,319,339,363
外貿公共コンテナ貨物取扱個数等,コンテナ個数（千ＴＥＵ）,滞留コンテナ,シェア(%),8.4,9.6,10.0,8.8,7.5,7.2,7.5,7.2,8.2,8.9,7.7,8.0,7.2
外貿公共コンテナ貨物取扱個数等,コンテナ貨物量(千トン),輸出,実入,13947,15188,15998,17448,17607,16645,16929,13148,11446,12926,12504,12491,21436
外貿公共コンテナ貨物取扱個数等,コンテナ貨物量(千トン),輸入,実入,20799,21923,24190,25524,25673,26343,26492,29634,26782,29893,32191,32811,44799
外貿公共コンテナ貨物取扱個数等,コンテナ貨物量(千トン),計,実入,34749,37111,40189,42972,43281,42987,43421,42782,38228,42819,44695,45302,66234
