区分１,区分２,平成29,30,令和元,2,3
総数（件）,,74,71,69,85,78
総数（％）,,100,100,100,100,100
連合（件）,,49,45,44,54,50
連合（％）,,66.2,63.4,63.8,63.5,64.1
連合,ＪＡＭ（件）,- ,- ,2,5,12
連合,ＪＥＣ連合（件）,- ,- ,- ,- ,- 
連合,UAゼンセン（件）,- ,1,2,- ,1
連合,政労連（件）,- ,- ,- ,- ,- 
連合,全水道（件）,1,1,- ,2,- 
連合,情報労連（件）,1,- ,1,1,2
連合,連合ユニオン（件）,8,6,5,9,8
連合,全国ユニオン（件）,35,34,32,36,25
連合,その他（件）,4,3,2,1,2
全労連（件）,,8,17,15,22,13
全労連（％）,,10.8,23.9,21.7,25.9,16.7
全労連,日本医労連（件）,2,- ,1,2,1
全労連,建交労（件）,2,1,1,1,1
全労連,全国一般（件）,- ,9,5,6,6
全労連,全印総連（件）,- ,- ,- ,- ,- 
全労連,私教連（件）,- ,2,1,1,- 
全労連,ＪＭＩＴＵ（件）,2,1,2,4,- 
全労連,自交総連（件）,- ,- ,1,2,- 
全労連,全労連自治労連（件）,2,1,2,4,2
全労連,その他（件）,- ,3,2,2,3
上記以外（件）,,17,9,10,9,15
上記以外（％）,,23,12.7,14.5,10.6,19.2
全労協,全国一般東京労組（件）,9,3,2,3,4
全労協,国鉄労組（件）,- ,- ,- ,- ,- 
全労協,その他（件）,4,4,7,4,3
出版労連（件）,,- ,1,1,- ,1
航空連（件）,,1,1,- ,- ,2
全損保（件）,,1,- ,- ,- ,- 
外銀連（件）,,- ,- ,- ,- ,- 
電算労（件）,,- ,- ,- ,- ,- 
その他（件）,,2,- ,- ,2,5
