内訳,平成29（件）,30（件）,令和元（件）,2（件）,3（件）
サービス業総数,21,15,27,22,22
Ｌ71　学術・開発研究機関,1,-,- ,- ,1
Ｌ72　専門サービス業（他に分類されないもの）,3,3,2,2,- 
Ｌ73　広告業,1,-,1,1,- 
Ｌ74　技術サービス業（他に分類されないもの）,2,-,1,- ,1
M75　宿泊業,-,-,1,1,1
Ｍ76　飲食店,1,4,8,4,7
Ｍ77　持ち帰り・配達飲食サービス業,-,2,1,- ,1
Ｎ78　洗濯・理容・美容・浴場業,1,1,2,- ,1
Ｎ79　その他の生活関連サービス業,2,-,- ,1,2
Ｎ80　娯楽業,3,1,1,1,1
Ｒ88　廃棄物処理業,-,-,1,- ,1
Ｒ89・90　自動車整備業 ・機械等修理業,-,-,- ,- ,- 
Ｒ9１　職業紹介・労働者派遣業,1,-,3,5,3
Ｒ92　その他の事業サービス業,3,2,2,4,2
Ｒ93　政治・経済・文化団体,1,-,4,1,- 
Ｒ94　宗教,-,-,- ,- ,- 
Ｒ95　その他のサービス業,-,1,- ,2,- 
Ｒ96　外国公務,2,1,- ,- ,1
