国(地域)/年月,西暦（年）,月,日本,アメリカ合衆国/(季節調整済),カナダ,中国,韓国,インド/工業労働者対象,オーストラリア,ユーロエリア,ユーロエリア/ドイツ/(季節調整済),ユーロエリア/フランス,ユーロエリア/イタリア/(季節調整済)/（たばこを除く総合）,イギリス,ロシア
前年比(%)/2003年平均,2003,,-0.3,2.3,2.8,1.2,3.5,3.8,2.8,2.1,1,2.1,2.6,2.9,13.7
前年比(%)/2004年平均,2004,,0,2.7,1.8,3.9,3.6,3.9,2.3,2.1,1.7,2.1,2.1,3,10.8
前年比(%)/2005年平均,2005,,-0.3,3.4,2.2,1.8,2.8,4.2,2.7,2.2,1.5,1.8,1.8,2.8,12.7
前年比(%)/2006年平均,2006,,0.3,3.2,2,1.5,2.2,6.8,3.5,2.2,1.6,1.6,2.1,3.2,9.7
前年比(%)/2007年平均,2007,,0,2.8,2.2,4.8,2.5,6.2,2.3,2.1,2.3,1.5,1.9,4.3,9
前年比(%)/2008年平均,2008,,1.4,3.8,2.3,5.9,4.7,9.1,4.4,3.3,2.6,2.8,3.3,4,14.1
前年比(%)/2009年平均,2009,,-1.4,-0.4,0.3,-0.7,2.8,...,...,0.3,0.4,0.1,0.7,-0.5,11.7
前年同月比(%)/2008年10月,2008,10,1.7,3.7,2.6,4,4.8,10.4,-,3.2,2.4,2.7,3.4,4.2,14.2
前年同月比(%)/2008年11月,2008,11,1,1.1,2,2.4,4.5,10.4,-,2.1,1.4,1.6,2.6,3,13.8
前年同月比(%)/2008年12月,2008,12,0.4,0.1,1.2,1.2,4.1,9.7,3.7,1.6,1.1,1,2.2,0.9,13.3
前年同月比(%)/2009年１月,2009,1,0,0,1.1,1,3.7,10.4,-,1.1,0.9,0.7,1.6,0.1,13.4
前年同月比(%)/2009年２月,2009,2,-0.1,0.2,1.4,-1.6,4.1,9.6,-,1.2,1,0.9,1.6,0,13.9
前年同月比(%)/2009年３月,2009,3,-0.3,-0.4,1.2,-1.2,3.9,8,2.5,0.6,0.5,0.3,1.1,-0.4,14
前年同月比(%)/2009年４月,2009,4,-0.1,-0.7,0.4,-1.5,3.6,8.7,-,0.6,0.7,0.1,1.1,-1.2,13.1
前年同月比(%)/2009年５月,2009,5,-1.1,-1.3,0.1,-1.4,2.7,8.6,-,0,0,-0.3,0.7,-1.1,12.3
前年同月比(%)/2009年６月,2009,6,-1.8,-1.4,-0.3,-1.7,2,9.3,1.5,-0.1,0.1,-0.5,0.4,-1.6,11.9
前年同月比(%)/2009年７月,2009,7,-2.2,-2.1,-0.9,-1.8,1.6,11.9,-,-0.7,-0.5,-0.7,0,-1.4,12
前年同月比(%)/2009年８月,2009,8,-2.2,-1.5,-0.8,-1.2,2.2,11.7,-,-0.2,0,-0.2,0.1,-1.3,11.6
前年同月比(%)/2009年９月,2009,9,-2.2,-1.3,-0.9,-0.8,2.2,11.6,1.3,-0.3,-0.3,-0.4,0.1,-1.4,10.7
前年同月比(%)/2009年10月,2009,10,-2.5,-0.2,0.1,-0.5,2,11.5,-,-0.1,0,-0.2,0.2,-0.8,9.7
前年同月比(%)/2009年11月,2009,11,-1.9,1.8,1,0.6,2.4,13.5,-,0.5,0.4,0.4,0.7,0.3,9.1
前年同月比(%)/2009年12月,2009,12,-1.7,2.7,1.3,1.9,2.8,15,2.1,0.9,0.9,0.9,1,2.4,8.8
前年同月比(%)/2010年１月,2010,1,-1.3,2.6,1.9,1.5,3.1,...,-,1,0.8,1.1,1.2,3.7,8
,,,,,,,,,,,,,,,
東京の物価／平成23年3月,,,,,,,,,,,,,,,
付属資料５ 主要国（地域）の消費者物価指数（変化率）,,,,,,,,,,,,,,,
資料　総務省統計局「総合統計データ月報」,,,,,,,,,,,,,,,
