"年度[西暦]","車道幅員別","国道 延長[メートル]","国道 面積[平方メートル]","都道 延長[メートル]","都道 面積[平方メートル]","自動車専用道 延長[メートル]","自動車専用道 面積[平方メートル]","区道 延長[メートル]","区道 面積[平方メートル]","区有通路 延長[メートル]","区有通路 面積[平方メートル]","合計 延長[メートル]","合計 面積[平方メートル]"
"2019","合計","13946","516830","48234","1546608","20207","485787","221832","1857636","513","2438","304732","4409299"
"2020","合計","13946","516830","48234","1546639","20207","485791","219396","1843689","490","2128","302273","4395077"
"2021","合計","14956","528460","49240","1584750","20207","485791","219506","1845477","490","2128","304399","4446606"
"2022","合計","14956","528460","49239","1584819","20207","485913","219674","1846407","490","2128","304566","4447727"
"2023","5.5ｍ未満","0","0","35","3599","0","0","133306","701255","333","1097","133674","705951"
"2023","5.5ｍ以上","0","0","11704","230145","0","0","76545","887945","157","1031","88406","1119121"
"2023","13.0ｍ以上","0","0","23889","735038","0","0","7227","170417","0","0","31116","905455"
"2023","19.5ｍ以上","15135","545356","13611","615910","20207","485913","2939","92318","0","0","51892","1739497"
"2023","合計","15135","545356","49239","1584692","20207","485913","220017","1851935","490","2128","305088","4470024"

"令和5年度港区行政資料集　道路の種類別延長及び面積","Ver202304",,,,,,,,,,,,
