年・期,西暦(年),四半期,男女計／就業者数（千人）,男女計／就業者数／自営業主数（千人）,男女計／就業者数／家族従業者数（千人）,男女計／就業者数／雇用者数（千人）,男女計／就業者数／雇用者数／うち正規の職員・従業員（千人）,男女計／就業者数／雇用者数／うち非正規の職員・従業員（千人）,男女計／就業者数／雇用者数／うち非正規の職員・従業員／うちパート・アルバイト（千人）,男／就業者数（千人）,男／就業者数／自営業主数（千人）,男／就業者数／家族従業者数（千人）,男／就業者数／雇用者数（千人）,男／就業者数／雇用者数／うち正規の職員・従業員（千人）,男／就業者数／雇用者数／うち非正規の職員・従業員（千人）,男／就業者数／雇用者数／うち非正規の職員・従業員／うちパート・アルバイト（千人）,女／就業者数（千人）,女／就業者数／自営業主数（千人）,女／就業者数／家族従業者数（千人）,女／就業者数／雇用者数（千人）,女／就業者数／雇用者数／うち正規の職員・従業員（千人）,女／就業者数／雇用者数／うち非正規の職員・従業員（千人）,女／就業者数／雇用者数／うち非正規の職員・従業員／うちパート・アルバイト（千人）
実数／平成23年平均,2011,,7062,572,120,6330,-,-,-,4122,412,19,3672,-,-,-,2940,160,101,2658,-,-,-
実数／平成24年平均,2012,,7070,563,107,6358,-,-,-,4130,409,20,3679,-,-,-,2940,154,87,2680,-,-,-
実数／平成25年平均,2013,,7163,578,111,6432,3742,2164,1391,4130,414,22,3674,2502,764,387,3033,164,90,2757,1240,1400,1004
実数／平成26年平均,2014,,7312,571,102,6594,3820,2228,1404,4183,396,18,3745,2538,787,389,3129,174,84,2849,1282,1441,1015
実数／平成27年平均,2015,,7400,553,99,6701,3916,2250,1459,4232,394,17,3792,2595,789,403,3168,159,82,2909,1321,1461,1056
実数／平成28年平均,2016,,7517,534,94,6843,4058,2248,1481,4288,379,22,3859,2672,774,403,3229,155,72,2984,1386,1473,1078
実数／平成29年平均,2017,,7682,552,89,6997,4169,2281,1497,4332,384,17,3909,2720,770,412,3349,168,72,3088,1450,1511,1084
実数／平成24年10～12月平均,2012,10～12,7029,556,96,6319,-,-,-,4111,402,13,3667,-,-,-,2918,154,84,2652,-,-,-
実数／平成25年１～３月平均,2013,01～03,7091,578,127,6342,3750,2092,1335,4105,433,22,3631,2460,776,390,2986,146,105,2711,1290,1316,945
実数／平成25年４～６月平均,2013,04～06,7252,612,120,6469,3770,2181,1362,4212,428,25,3735,2572,762,374,3039,183,95,2734,1199,1419,988
実数／平成25年７～９月平均,2013,07～09,7102,570,97,6408,3742,2115,1383,4091,403,19,3656,2502,745,390,3011,167,78,2752,1239,1370,992
実数／平成25年10～12月平均,2013,10～12,7208,550,100,6507,3705,2268,1483,4112,390,20,3676,2475,775,394,3096,160,80,2832,1230,1493,1089
実数／平成26年１～３月平均,2014,01～03,7244,553,103,6551,3732,2268,1441,4167,378,18,3751,2522,797,405,3077,175,85,2801,1210,1472,1036
実数／平成26年４～６月平均,2014,04～06,7424,621,121,6630,3845,2240,1375,4216,421,22,3749,2540,783,379,3208,199,99,2881,1305,1457,995
