区分,業種,総数,大島町,利島村,新島村,神津島村,監視件数
食品衛生法に基づく許可を要する業種,乳類販売業,71,38,5,17,11,249
食品衛生法に基づく許可を要する業種,食肉処理業,1,1,-,-,-,-
食品衛生法に基づく許可を要する業種,食肉販売業,40,18,4,13,5,179
食品衛生法に基づく許可を要する業種,食肉製品製造業,1,1,-,-,-,1
食品衛生法に基づく許可を要する業種,魚介類販売業,52,18,6,19,9,206
食品衛生法に基づく許可を要する業種,魚介類せり売営業,6,2,-,3,1,2
食品衛生法に基づく許可を要する業種,魚肉ねり製品製造業,14,2,1,10,1,45
食品衛生法に基づく許可を要する業種,食品の冷凍・冷蔵業,11,4,-,6,1,9
食品衛生法に基づく許可を要する業種,食品の放射線照射業,-,-,-,-,-,-
食品衛生法に基づく許可を要する業種,清涼飲料水製造業,2,2,-,-,-,1
食品衛生法に基づく許可を要する業種,乳酸菌飲料製造業,-,-,-,-,-,-
食品衛生法に基づく許可を要する業種,氷雪製造業,14,2,1,7,4,40
食品衛生法に基づく許可を要する業種,氷雪販売業,2,1,-,1,-,1
食品衛生法に基づく許可を要する業種,食用油脂製造業,6,4,1,-,1,7
食品衛生法に基づく許可を要する業種,マーガリン・ショートニング製造業,-,-,-,-,-,-
食品衛生法に基づく許可を要する業種,みそ製造業,-,-,-,-,-,-
食品衛生法に基づく許可を要する業種,しょう油製造業,1,1,-,-,-,-
食品衛生法に基づく許可を要する業種,ソース類製造業,-,-,-,-,-,-
食品衛生法に基づく許可を要する業種,酒類製造業,5,1,-,2,2,8
食品衛生法に基づく許可を要する業種,豆腐製造業,3,1,1,1,-,9
食品衛生法に基づく許可を要する業種,納豆製造業,1,1,-,-,-,2
食品衛生法に基づく許可を要する業種,めん類製造業,2,-,-,2,-,5
食品衛生法に基づく許可を要する業種,そうざい製造業,35,18,1,15,1,73
食品衛生法に基づく許可を要する業種,かん詰・びん詰食品製造業,-,-,-,-,-,-
食品衛生法に基づく許可を要する業種,添加物製造業,3,3,-,-,-,7
食品製造業等取締条例に基づく許可業種,計,130,61,8,44,17,360
食品製造業等取締条例に基づく許可業種,弁当等人力販売業,3,3,-,-,-,3
食品製造業等取締条例に基づく許可業種,行商（平成28年12月末現在）,1,1,-,-,-,-
食品製造業等取締条例に基づく許可業種,つけ物製造業,4,3,-,1,-,4
食品製造業等取締条例に基づく許可業種,製菓材料等製造業,3,1,-,2,-,3
食品製造業等取締条例に基づく許可業種,粉末食品製造業,2,2,-,-,-,2
食品製造業等取締条例に基づく許可業種,そうざい半製品等製造業,-,-,-,-,-,-
食品製造業等取締条例に基づく許可業種,調味料等製造業,7,4,1,2,-,3
食品製造業等取締条例に基づく許可業種,魚介類加工業,19,2,1,14,2,34
食品製造業等取締条例に基づく許可業種,食料品等販売業,91,45,6,25,15,311
食品製造業等取締条例に基づく許可業種,液卵製造業,-,-,-,-,-,-
食品製造業等取締条例に規定する届出業種,計,35,17,3,11,4,79
食品製造業等取締条例に規定する届出業種,集団給食,24,13,3,6,2,59
食品製造業等取締条例に規定する届出業種,卵選別包装業,11,4,-,5,2,20
食品衛生法施行細則第16条に基づく届出業種,計,789,425,25,219,120,473
食品衛生法施行細則第16条に基づく届出業種,許可を要しない食品製造業,16,7,2,4,3,13
食品衛生法施行細則第16条に基づく届出業種,許可を要しない食品販売業,728,396,21,202,109,430
食品衛生法施行細則第16条に基づく届出業種,器具容器包装、おもちゃの製造業又は販売業,29,15,2,8,4,16
食品衛生法施行細則第16条に基づく届出業種,添加物製造業,2,2,-,-,-,-
食品衛生法施行細則第16条に基づく届出業種,添加物販売業,13,4,-,5,4,14
食品衛生法施行細則第16条に基づく届出業種,乳さく取業,1,1,-,-,-,-
ふぐの取扱規制条例に規定する営業施設,計,9,5,1,2,1,17
