区分,品目,面積（ha）,収穫量（ｔ）
大島町,アシタバ,7.7,81
大島町,カンショ,2.7,24
大島町,サヤエンドウ,1.9,37
大島町,トウモロコシ,0.8,14
大島町,キャベツ,0.8,65
大島町,サトイモ,0.7,26
大島町,バレイショ,0.7,46
大島町,トマト,0.7,88
大島町,スイカ,0.6,39
大島町,ブロッコリー,0.6,12
大島町,パパイヤ,0.4,7
大島町,レモン,0.3,2
大島町,パッションフルーツ,0.3,5
大島町,カキ,0.3,5
大島町,クリ,0.2,0.5
大島町,キウイフルーツ,0.2,5
大島町,切花・切葉・切枝（千本）,27.6,5435
大島町,球根,0,44
大島町,鉢もの,0.07,78
大島町,花壇用苗もの,0.2,27
利島村,アシタバ,5.8,1
利島村,シドケ,3,2
利島村,球根（サクユリ）,0.02,6
新島村,カンショ,7.4,124
新島村,アシタバ,5.4,71
新島村,タマネギ,3.8,109
新島村,ダイコン,0.6,36
新島村,キャベツ,0.4,21
新島村,サトイモ,0.3,5
新島村,ブロッコリー,0.3,0.5
新島村,ラッキョウ,0.3,5
新島村,ネギ,0.3,8
新島村,トマト,0.3,25
新島村,オリーブ,0.4,4
新島村,柑橘類,0.05,0.8
新島村,ウンシュウミカン,0.02,0.02
新島村,パッションフルーツ,0,0.03
新島村,イチジク,0,0.02
新島村,ブルーベリー,0,0
新島村,切花・切葉・切枝（千本）,1.3,437
神津島村,アシタバ,10.8,124
神津島村,カンンショ,0.4,6
神津島村,スイカ,0.2,4
神津島村,タマネギ,0.2,4
神津島村,ダイコン,0.2,7
神津島村,サヤエンドウ,0.2,0.2
神津島村,バレイショ,0.2,3
神津島村,サトイモ,0.1,1
神津島村,キャベツ,0.1,3
神津島村,カボチャ,0.1,1
神津島村,パッションフルーツ,0.5,0.7
神津島村,切花・切葉・切枝（千本）,3.6,470
