"年度[西暦]","款","予算現額[千円]","支出済額[千円]"
"2013","議会費",,"717033"
"2013","総務費",,"24872175"
"2013","環境清掃費",,"5165656"
"2013","民生費",,"35693209"
"2013","衛生費",,"5604860"
"2013","産業経済費",,"2404280"
"2013","土木費",,"9671478"
"2013","教育費",,"14110109"
"2013","公債費",,"1473371"
"2013","諸支出金",,"6590618"
"2013","予備費",,"0"
"2014","議会費",,"728443"
"2014","総務費",,"39019818"
"2014","環境清掃費",,"5113544"
"2014","民生費",,"41357919"
"2014","衛生費",,"6141131"
"2014","産業経済費",,"2172171"
"2014","土木費",,"13185742"
"2014","教育費",,"33032832"
"2014","公債費",,"1470171"
"2014","諸支出金",,"7102079"
"2014","予備費",,"0"
"2015","議会費",,"767900"
"2015","総務費",,"16983988"
"2015","環境清掃費",,"4902594"
"2015","民生費",,"49670229"
"2015","衛生費",,"4679388"
"2015","産業経済費",,"2215470"
"2015","土木費",,"12553630"
"2015","教育費",,"18971576"
"2015","公債費",,"1383495"
"2015","諸支出金",,"7977163"
"2015","予備費",,"0"
"2016","議会費","750461","725674"
"2016","総務費","27809436","26754305"
"2016","環境清掃費","5356995","5208815"
"2016","民生費","44097788","43085263"
"2016","衛生費","4949199","4792675"
"2016","産業経済費","2217352","2046022"
"2016","土木費","14549797","14021675"
"2016","教育費","18483111","17763521"
"2016","公債費","991964","991963"
"2016","諸支出金","13406512","13126045"
"2016","予備費","67924","0"
"2017","議会費","758756","742121"
"2017","総務費","60797474","59705163"
"2017","環境清掃費","5590432","5472007"
"2017","民生費","55486427","53802869"
"2017","衛生費","5099627","4924503"
"2017","産業経済費","2166818","2069207"
"2017","土木費","14840905","14264069"
"2017","教育費","25761993","25080264"
"2017","公債費","770107","770050"
"2017","諸支出金","8290600","8037344"
"2017","予備費","154711","0"

"平成30年度港区行政資料集　一般会計歳出決算","Ver201803",,
