1,東京都生計分析調査　令和 5年 1月,,,,,,,,,
2,,,主　　要　　指　　標　　　５　　―　勤労者世帯，勤め先収入７分位階層別　―,,,,,,,
3,,,選択的支出係数　　　〔＝（選択的支出÷消費支出） ×１００〕　※令和５年１月について、令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,
4,年次・月次コード,年次・月次,都平均,第1階層,第2階層,第3階層,第4階層,第5階層,第6階層,第7階層
5,nen,平成28年平均,53.0,48.0,47.7,45.4,52.4,53.5,57.7,59.0
6,nen,平成29年平均,54.0,41.7,45.6,45.9,54.1,56.9,61.4,61.8
7,nen,平成30年平均,52.7,39.1,41.0,48.0,52.2,55.4,56.9,62.7
8,nen,平成31年・令和元年平均,53.3,42.7,45.9,48.3,52.9,57.0,58.4,59.6
9,nen,令和 2年平均,48.3,38.9,40.5,45.6,47.8,50.9,53.5,53.2
10,nen,令和 3年平均,50.4,39.5,43.8,45.2,49.4,56.6,55.3,53.9
11,nen,令和 4年平均,49.9,38.6,41.3,44.6,49.2,51.7,53.8,58.4
12,tuki,令和 4年 1月,45.4,32.3,41.7,43.3,53.7,47.7,37.5,54.9
13,tuki,令和 4年 2月,43.5,30.5,30.2,37.4,41.3,45.6,53.2,51.6
14,tuki,令和 4年 3月,51.5,33.9,35.0,42.1,46.3,50.5,65.1,59.9
15,tuki,令和 4年 4月,50.8,38.8,41.7,45.1,46.1,47.9,56.0,62.7
16,tuki,令和 4年 5月,51.0,42.8,39.8,48.9,44.8,47.1,55.0,62.0
17,tuki,令和 4年 6月,47.0,34.0,36.2,45.9,45.8,49.6,45.5,58.5
18,tuki,令和 4年 7月,49.5,48.0,37.5,47.9,49.3,45.9,60.9,50.4
19,tuki,令和 4年 8月,51.7,37.2,57.0,42.6,46.5,56.3,52.6,59.4
20,tuki,令和 4年 9月,54.5,47.0,36.7,48.8,55.6,51.7,61.8,65.2
21,tuki,令和 4年10月,50.2,45.5,43.6,37.9,52.2,50.6,51.8,59.2
22,tuki,令和 4年11月,51.8,39.2,45.7,44.9,49.4,54.0,56.1,61.9
23,tuki,令和 4年12月,49.9,33.4,37.0,53.8,48.9,48.0,56.0,58.5
24,tuki,令和 5年 1月,48.0,35.5,29.5,43.7,51.6,52.7,52.4,58.4
