#LINK
#lang	ja
#attribution_name	新宿区役所情報システム課
#license	http://creativecommons.org/licenses/by/3.0/deed.ja
#file_name	202103_tyotyobetu_jinkotokei
#download_from	http://linkdata.org/work/rdf1s8628i
#property	世帯数	男	女	計
#object_type_xsd	int	int	int	int
#property_context	Assertion	Assertion	Assertion	Assertion
四谷１丁目	292	243	320	563
四谷２丁目	243	200	221	421
四谷３丁目	276	189	219	408
四谷４丁目	2218	1767	1646	3413
四谷本塩町	322	248	251	499
四谷三栄町	1086	934	1028	1962
四谷坂町	1567	1239	1196	2435
若葉１丁目	1418	1311	1261	2572
若葉２丁目	503	455	452	907
若葉３丁目	642	500	500	1000
須賀町	841	731	689	1420
左門町	1076	737	880	1617
信濃町	522	381	481	862
南元町	1309	1165	1296	2461
荒木町	1696	1264	1252	2516
舟町	1008	694	710	1404
愛住町	927	727	723	1450
大京町	2359	1795	2090	3885
霞ヶ丘町	2	2	0	2
内藤町	686	601	635	1236
片町	270	197	181	378
新宿１丁目	3071	2178	1906	4084
新宿２丁目	940	690	529	1219
新宿３丁目	98	86	53	139
新宿４丁目	199	158	107	265
新宿５丁目	2062	1453	1103	2556
新宿６丁目	3115	2263	1987	4250
新宿７丁目	4288	3434	3181	6615
歌舞伎町１丁目	170	140	50	190
歌舞伎町２丁目	1977	1504	826	2330
市谷田町１丁目	14	7	17	24
市谷田町２丁目	336	260	340	600
市谷田町３丁目	201	162	195	357
市谷本村町	1752	1546	1118	2664
市谷砂土原町１丁目	105	96	114	210
市谷砂土原町２丁目	259	212	261	473
市谷砂土原町３丁目	486	512	526	1038
市谷左内町	226	197	229	426
市谷加賀町１丁目	21	13	23	36
市谷加賀町２丁目	974	750	996	1746
市谷甲良町	469	411	440	851
市谷船河原町	75	88	92	180
市谷長延寺町	91	43	81	124
市谷鷹匠町	14	12	15	27
市谷山伏町	315	269	290	559
市谷八幡町	62	57	67	124
神楽坂１丁目	11	12	15	27
神楽坂２丁目	126	80	113	193
神楽坂３丁目	281	229	202	431
神楽坂４丁目	99	84	100	184
神楽坂５丁目	386	312	405	717
神楽坂６丁目	546	365	451	816
細工町	263	220	222	442
二十騎町	398	321	365	686
揚場町	61	52	55	107
津久戸町	62	42	50	92
東五軒町	1190	1018	1201	2219
西五軒町	1029	869	897	1766
赤城元町	233	175	219	394
南榎町	731	723	722	1445
袋町	373	325	348	673
払方町	524	502	551	1053
南町	399	430	445	875
北町	523	485	529	1014
納戸町	564	493	542	1035
南山伏町	362	319	303	622
北山伏町	382	254	322	576
白銀町	732	591	758	1349
下宮比町	162	93	131	224
矢来町	2524	2138	2448	4586
若宮町	564	510	518	1028
岩戸町	422	309	326	635
中町	259	252	257	509
箪笥町	455	307	340	647
横寺町	625	473	489	962
筑土八幡町	500	382	465	847
新小川町	2027	1640	1649	3289
神楽河岸	0	0	0	0
市谷薬王寺町	2138	1643	1733	3376
市谷柳町	879	597	690	1287
市谷仲之町	1283	1189	1325	2514
赤城下町	815	645	616	1261
天神町	716	528	564	1092
榎町	485	333	340	673
東榎町	230	141	170	311
早稲田町	899	596	711	1307
早稲田南町	455	377	386	763
馬場下町	336	266	257	523
原町１丁目	865	688	763	1451
原町２丁目	682	626	602	1228
原町３丁目	1247	960	1143	2103
喜久井町	1125	984	977	1961
築地町	305	242	280	522
弁天町	1989	1595	1746	3341
中里町	356	326	375	701
山吹町	2612	1831	2013	3844
改代町	420	342	299	641
水道町	744	499	514	1013
早稲田鶴巻町	3857	2770	2898	5668
住吉町	1817	1346	1412	2758
市谷台町	916	721	698	1419
河田町	1517	1426	1484	2910
若松町	3402	2736	3044	5780
余丁町	2500	2026	2083	4109
戸山１丁目	1559	1189	1353	2542
戸山２丁目	3238	2081	3221	5302
戸山３丁目	642	530	556	1086
富久町	4160	3601	3590	7191
百人町１丁目	2997	2220	1540	3760
百人町２丁目	3469	2606	2078	4684
百人町３丁目	2591	2579	2894	5473
百人町４丁目	1654	1167	1562	2729
大久保１丁目	3223	2220	1945	4165
大久保２丁目	5503	4135	3720	7855
大久保３丁目	2477	2315	2545	4860
戸塚町１丁目	146	94	113	207
西早稲田１丁目	3590	2650	2868	5518
西早稲田２丁目	3782	3007	2743	5750
西早稲田３丁目	4154	3489	3384	6873
高田馬場１丁目	2796	2244	2041	4285
高田馬場２丁目	1318	1043	844	1887
高田馬場３丁目	4175	3154	2697	5851
高田馬場４丁目	4210	3418	3127	6545
下落合１丁目	1979	1322	1261	2583
下落合２丁目	2079	1737	1807	3544
下落合３丁目	2620	2091	2460	4551
下落合４丁目	2658	2174	2340	4514
中落合１丁目	2355	1818	1781	3599
中落合２丁目	2816	2442	2544	4986
中落合３丁目	2466	2027	2226	4253
中落合４丁目	1747	1565	1516	3081
上落合１丁目	3343	2719	2655	5374
上落合２丁目	3335	2545	2433	4978
上落合３丁目	3235	2393	2279	4672
西落合１丁目	2821	2222	2354	4576
西落合２丁目	2593	2101	2138	4239
西落合３丁目	1932	1495	1725	3220
西落合４丁目	1306	1108	1188	2296
中井１丁目	1274	980	786	1766
中井２丁目	1708	1558	1599	3157
北新宿１丁目	5281	3846	3323	7169
北新宿２丁目	3087	2702	2395	5097
北新宿３丁目	4906	3810	3328	7138
北新宿４丁目	4414	3329	3113	6442
西新宿１丁目	34	26	27	53
西新宿２丁目	1	1	4	5
西新宿３丁目	1651	1142	1060	2202
西新宿４丁目	5042	3779	3456	7235
西新宿５丁目	2679	2084	1918	4002
西新宿６丁目	2385	1930	1682	3612
西新宿７丁目	1745	1324	995	2319
西新宿８丁目	2238	1628	1528	3156
