監査種別,監査実施期間,結果内訳,措置対象,措置済,今回通知,改善中
平成24年行政監査（土地及び建物の運用・管理について）,平成24.9.18～平成25.1.31,指摘,16,15,,1
平成24年行政監査（土地及び建物の運用・管理について）,平成24.9.18～平成25.1.31,意見・要望,,,,
平成24年行政監査（土地及び建物の運用・管理について）,平成24.9.18～平成25.1.31,計,16,15,,1
平成28年財政援助団体等監査,平成28.9.1～平成29.1.26,指摘,83,82,,1
平成28年財政援助団体等監査,平成28.9.1～平成29.1.26,意見・要望,5,5,,0
平成28年財政援助団体等監査,平成28.9.1～平成29.1.26,計,88,87,,1
平成29年財政援助団体等監査,平成29.9.6～平成30.1.25,指摘,52,52,,0
平成29年財政援助団体等監査,平成29.9.6～平成30.1.25,意見・要望,9,7,,2
平成29年財政援助団体等監査,平成29.9.6～平成30.1.25,計,61,59,,2
平成29年行政監査（システム投資の有効性について）,平成29.10.11～平成30.2.1,指摘,3,3,,0
平成29年行政監査（システム投資の有効性について）,平成29.10.11～平成30.2.1,意見・要望,1,,,1
平成29年行政監査（システム投資の有効性について）,平成29.10.11～平成30.2.1,計,4,3,,1
平成30年定例監査（平成29年度執行分）,平成30.1.10～平成30.8.30,指摘,111,98,7,6
平成30年定例監査（平成29年度執行分）,平成30.1.10～平成30.8.30,意見・要望,4,4,,0
平成30年定例監査（平成29年度執行分）,平成30.1.10～平成30.8.30,計,115,102,7,6
平成29年度公営企業各会計決算審査,平成30.6.1～平成30.8.30,指摘,2,1,,1
平成29年度公営企業各会計決算審査,平成30.6.1～平成30.8.30,意見・要望,,,,
平成29年度公営企業各会計決算審査,平成30.6.1～平成30.8.30,計,2,1,,1
平成30年財政援助団体等監査,平成30.9.3～平成31.1.31,指摘,68,47,17,4
平成30年財政援助団体等監査,平成30.9.3～平成31.1.31,意見・要望,4,,3,1
平成30年財政援助団体等監査,平成30.9.3～平成31.1.31,計,72,47,20,5
平成30年行政監査（公の施設の指定管理について）,平成30.7.17～平成31.1.31,指摘,,,,
平成30年行政監査（公の施設の指定管理について）,平成30.7.17～平成31.1.31,意見・要望,29,12,8,9
平成30年行政監査（公の施設の指定管理について）,平成30.7.17～平成31.1.31,計,29,12,8,9
平成30年行政監査（情報システムの効率的かつ効果的な運用について）,平成30.10.9～平成31.1.31,指摘,11,4,5,2
平成30年行政監査（情報システムの効率的かつ効果的な運用について）,平成30.10.9～平成31.1.31,意見・要望,,,,
平成30年行政監査（情報システムの効率的かつ効果的な運用について）,平成30.10.9～平成31.1.31,計,11,4,5,2
令和元年定例監査（平成30年度執行分）,平成31.1.8～令和元.8.29,指摘,68,,53,15
令和元年定例監査（平成30年度執行分）,平成31.1.8～令和元.8.29,意見・要望,11,,3,8
令和元年定例監査（平成30年度執行分）,平成31.1.8～令和元.8.29,計,79,,56,23
平成30年度各会計歳入歳出決算審査,令和元.7.12～令和元.8.29,指摘,19,,16,3
平成30年度各会計歳入歳出決算審査,令和元.7.12～令和元.8.29,意見・要望,,,,
平成30年度各会計歳入歳出決算審査,令和元.7.12～令和元.8.29,計,19,,16,3
平成30年度公営企業各会計決算審査,令和元.6.3～令和元.8.29,指摘,2,,2,
平成30年度公営企業各会計決算審査,令和元.6.3～令和元.8.29,意見・要望,,,,
平成30年度公営企業各会計決算審査,令和元.6.3～令和元.8.29,計,2,,2,
