消防署,署所数,管内面積（km2）,人口,世帯,構造別建物棟数・計,構造別建物棟数・木造,構造別建物棟数・防火造,構造別建物棟数・準耐火造,構造別建物棟数・耐火造
合計,292,1769.38,13726337,7285654,2815901,194548,1552999,610556,457798
特別区,214,627.53,9572763,5258484,1763564,85772,881562,420670,375560
丸の内,2,3.77,137,130,501,38,23,74,366
麹町,2,4.43,34472,17181,3406,71,298,220,2817
神田,3,3.46,32607,20476,7813,117,1089,276,6331
京橋,3,3.85,40624,25168,6669,153,1248,442,4826
日本橋,4,3.2,52026,31019,6892,104,1089,475,5224
臨港,2,11.72,77933,39625,3718,276,1596,507,1339
芝,3,7.24,87538,50533,9005,360,1652,778,6215
麻布,2,3.79,61056,36048,7565,258,1724,894,4689
赤坂,2,4.09,37652,21643,5611,184,1122,518,3787
高輪,4,5.25,72790,38303,7330,398,1875,1832,3225
品川,4,8.17,145418,80967,18243,809,7990,3698,5746
大井,3,8.86,116526,63620,16505,700,9163,2788,3854
荏原,4,5.81,144460,83474,30829,1067,18813,5585,5364
大森,5,18.31,230798,126754,42420,2933,23416,9197,6874
田園調布,3,11.95,208500,107100,41563,2425,24966,8688,5484
蒲田,4,23.59,167921,96006,29169,2238,13942,6913,6076
矢口,4,6.98,126453,68827,21282,1127,11011,5166,3978
目黒,5,14.67,281317,158367,50826,1676,19443,15989,13718
世田谷,6,22.03,424983,243181,83521,3327,45934,20225,14035
玉川,4,15.81,226334,113811,43432,2068,22983,10944,7437
成城,3,20.21,269055,133350,50306,2778,30233,10969,6326
渋谷,6,15.11,230506,140170,37683,567,12877,6274,17965
四谷,2,3.21,39846,25737,7530,92,2255,1623,3560
牛込,2,5.21,107720,64563,16024,270,5141,4267,6346
新宿,5,9.8,197665,129164,30348,663,10837,7835,11013
中野,4,6.46,157423,100596,26862,1001,14069,5041,6751
野方,4,9.13,177209,106829,37669,2425,20523,8326,6395
杉並,7,19.02,332843,194787,69619,3574,44011,13466,8568
荻窪,5,15.04,240661,130616,52517,2648,33536,10020,6313
小石川,3,6.57,128336,69032,20101,578,8199,4571,6753
本郷,3,4.72,98238,54440,18264,567,6740,4549,6408
豊島,3,6.83,149976,92660,24627,551,9549,5008,9519
池袋,3,6.18,137324,85977,28131,894,11419,7846,7972
王子,3,6.27,116185,66557,22766,615,12008,5343,4800
赤羽,5,9.31,137861,75020,25021,723,12019,7301,4978
滝野川,3,5.03,99112,57439,21661,522,10647,5421,5071
板橋,3,9.92,216945,126787,40847,1768,19213,11741,8125
志村,6,22.3,353268,189085,61729,2842,27445,22020,9422
練馬,3,13.95,256416,142468,46999,3732,26186,8413,8668
光が丘,2,10.98,165987,80764,29608,2878,19692,3200,3838
石神井,5,23.15,317696,157263,75683,7123,52841,7667,8052
上野,3,4.81,84444,50396,16904,1093,5962,3267,6582
浅草,2,2.49,58013,35239,10207,433,3250,1216,5308
日本堤,3,2.81,61190,37433,12671,416,5401,2314,4540
荒川,5,6.15,132944,72427,23407,869,10218,7725,4595
尾久,3,4.01,83591,44726,19320,543,8431,7771,2575
千住,3,9.01,104780,55077,22178,1264,11548,5272,4094
足立,5,24.52,370696,193702,71184,3578,32885,23547,11174
西新井,5,19.72,215526,108265,55871,2757,30980,15432,6702
本所,4,6.45,151556,89699,20230,434,5976,5086,8734
向島,3,7.32,124091,65655,26580,1287,13123,9342,2828
深川,6,21.8,280933,145050,25965,584,8399,6616,10366
城東,4,18.36,245368,129781,33491,1233,14605,9590,8063
本田,5,20.25,290525,152061,69546,3935,37801,17314,10496
金町,4,14.55,173166,86502,40444,2331,22660,9680,5773
江戸川,3,17.98,228757,112704,52668,2868,27099,17082,5619
葛西,3,16.63,259954,129712,31071,1648,15925,8774,4724
小岩,4,15.29,207412,104518,51532,3359,28482,14532,5159
受託地区,78,1141.85,4153574,2027170,1052337,108776,671437,189886,82238
立川,5,32.51,260948,132077,58796,4332,34833,12516,7115
武蔵野,3,10.98,147643,77854,27640,1742,17622,4045,4231
三鷹,4,16.42,190126,95814,39406,3381,27024,5827,3174
府中,5,29.43,260255,127224,56709,5106,32687,13028,5888
昭島,3,17.34,113552,55010,28331,3288,14641,7272,3130
調布,4,21.58,237815,121296,45086,3377,31488,5824,4397
小金井,2,11.3,123828,61909,28220,2265,19967,3735,2253
小平,3,20.51,195543,93638,48610,3694,25144,17133,2639
東村山,3,17.14,151575,74210,39705,3406,20589,12728,2982
国分寺,3,11.46,126862,62339,31338,2164,19269,7643,2262
狛江,2,6.39,83268,42980,17730,1867,12769,1701,1393
北多摩西部,3,28.74,157340,71738,46303,4206,29702,9601,2794
清瀬,2,10.23,74905,36152,18040,2581,12672,1325,1462
東久留米,2,12.88,117007,55414,29845,2311,22761,2727,2046
西東京,4,15.75,206047,100220,44390,4047,32642,4103,3598
八王子,8,186.38,561828,272856,152196,18974,104751,16847,11624
青梅,3,103.31,132145,63894,48102,7617,33121,4873,2491
町田,6,71.55,429152,200182,118561,9924,71841,30655,6141
日野,3,27.55,187027,90870,47151,2912,33994,6895,3350
福生,4,36.91,144317,71023,48674,6343,29140,9743,3448
多摩,2,21.01,148479,73160,21461,1111,12416,4250,3684
秋川,3,206.95,98921,44667,51285,11899,30691,6753,1942
奥多摩,1,225.53,4991,2643,4758,2229,1673,662,194
