階層,計,（一）・イ,（一）・ロ,（二）・イ,（二）・ロ,（二）・ハ,（二）・二,（三）・イ,（三）・ロ,（四）,（五）・イ,（五）・ロ,（六）・イ・（１）,（六）・イ・（２）,（六）・イ・（３）,（六）・イ・（４）,（六）・ロ・（１）,（六）・ロ・（２）,（六）・ロ・（３）,（六）・ロ・（４）,（六）・ロ・（５）,（六）・ハ・（１）,（六）・ハ・（２）,（六）・ハ・（３）,（六）・ハ・（４）,（六）・ハ・（５）,（六）・二,（七）,（八）,（九）・イ,（九）・ロ,（十）,（十一）,（十二）・イ,（十二）・ロ,（十三）・イ,（十三）・ロ,（十四）,（十五）・①,（十五）・②,（十五）・③,（十六）・イ,（十六）・ロ,（十六の二）,（十六の三）,その他
平成28年,167360,35,25,13,169,4,130,20,1138,847,1201,70590,271,174,364,153,630,5,0,2,8,77,10,79,7,72,31,3422,56,98,6,17,308,1327,11,253,1,1220,571,14940,2524,38133,26336,0,0,2082
平成29年,169229,37,25,14,166,4,131,19,1131,825,1285,67550,228,119,413,201,667,5,0,2,8,76,9,88,5,77,32,3413,56,96,7,17,311,1295,12,248,2,1207,571,14769,2543,38436,26527,0,0,6602
平成30年,171042,35,24,12,158,6,127,21,1125,806,1428,73277,208,105,430,209,687,5,0,2,10,77,9,110,5,78,32,3407,56,96,9,17,318,1273,13,245,2,1203,575,14505,2548,38979,26622,0,0,2188
令和元年,173582,35,25,13,150,6,121,19,1136,798,1634,74805,202,94,430,227,731,5,0,2,9,73,9,132,5,80,31,3422,56,94,10,18,321,1253,14,242,2,1144,580,14395,2584,39671,26758,0,0,2246
令和2年,175926,36,23,12,143,6,117,16,1148,779,1794,76323,202,86,426,242,767,6,1,2,9,70,9,147,6,86,34,3430,55,95,8,21,322,1254,14,250,2,1144,577,14281,2633,39955,27157,0,0,2238
60階建,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
59階建,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58階建,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
57階建,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56階建,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
55階建,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
54階建,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
53階建,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
52階建,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
