"施設名","年度","宿泊利用人員 大人[人]","宿泊利用人員 小人[人]","宿泊利用人員 合計[人]","定員[人]","利用率[%]","部屋数","部屋利用率[%]"
"大平台みなと荘","2014","23316","1283","24599","125","55.1","25","96.3"
"大平台みなと荘","2015","17620","844","18464","125","52.6","25","94.2"
"大平台みなと荘","2016","20981","1200","22181","125","54.4","25","96.3"
"大平台みなと荘","2017","20246","1207","21453","125","48.1","25","87.3"
"大平台みなと荘","2018","19220","1285","20505","125","45.7","25","83.7"
"ホテル暖香園","2014","3759","267","4026","25～45","39.6","5～9","73.9"
"ホテル暖香園","2015","3379","249","3628","20～45","42.1","4～9","79"
"ホテル暖香園","2016","2951","225","3176","15～45","46.5","3～9","86"
"ホテル暖香園","2017","2815","201","3016","15～35","45.9","3～7","85.6"
"ホテル暖香園","2018","545","14","559","15～35","52","3～7","96.7"
"熱川プリンスホテル","2018","2309","190","2499","15～30","48.9","3～6","93.5"

"令和元年度港区行政資料集　施設利用状況一覧 通年保養施設","Ver201903",,,,,,,
