年・期,西暦(年),四半期,男女計／就業者数（千人）,男女計／就業者数／自営業主数（千人）,男女計／就業者数／家族従業者数（千人）,男女計／就業者数／雇用者数（千人）,男女計／就業者数／雇用者数／うち正規の職員・従業員（千人）,男女計／就業者数／雇用者数／うち非正規の職員・従業員（千人）,男女計／就業者数／雇用者数／うち非正規の職員・従業員／うちパート・アルバイト（千人）,男／就業者数（千人）,男／就業者数／自営業主数（千人）,男／就業者数／家族従業者数（千人）,男／就業者数／雇用者数（千人）,男／就業者数／雇用者数／うち正規の職員・従業員（千人）,男／就業者数／雇用者数／うち非正規の職員・従業員（千人）,男／就業者数／雇用者数／うち非正規の職員・従業員／うちパート・アルバイト（千人）,女／就業者数（千人）,女／就業者数／自営業主数（千人）,女／就業者数／家族従業者数（千人）,女／就業者数／雇用者数（千人）,女／就業者数／雇用者数／うち正規の職員・従業員（千人）,女／就業者数／雇用者数／うち非正規の職員・従業員（千人）,女／就業者数／雇用者数／うち非正規の職員・従業員／うちパート・アルバイト（千人）
実数／平成26年10～12月平均,2014,10～12,7341,564,92,6628,3819,2267,1459,4177,391,18,3736,2528,793,390,3164,173,74,2892,1290,1474,1069
実数／平成27年１～３月平均,2015,01～03,7276,558,102,6564,3774,2243,1470,4174,385,17,3737,2559,761,397,3102,173,85,2827,1215,1482,1073
実数／平成27年４～６月平均,2015,04～06,7476,586,103,6743,3976,2252,1416,4239,403,12,3796,2578,823,406,3237,183,91,2947,1398,1429,1010
実数／平成27年７～９月平均,2015,07～09,7441,516,82,6794,4027,2243,1462,4263,382,11,3837,2651,794,413,3178,134,71,2957,1376,1449,1049
実数／平成27年10～12月平均,2015,10～12,7427,549,110,6727,3894,2276,1501,4262,403,27,3810,2598,784,401,3164,146,83,2916,1295,1492,1100
実数／平成28年１～３月平均,2016,01～03,7366,536,103,6676,3952,2198,1452,4222,370,26,3796,2645,756,383,3144,166,77,2880,1307,1442,1069
実数／平成28年４～６月平均,2016,04～06,7497,528,87,6834,4090,2194,1399,4290,375,17,3866,2670,781,401,3207,153,70,2968,1420,1413,997
実数／平成28年７～９月平均,2016,07～09,7592,571,94,6884,4107,2275,1491,4334,419,20,3865,2686,778,412,3258,153,73,3019,1421,1497,1079
実数／平成28年10～12月平均,2016,10～12,7611,500,92,6980,4083,2324,1582,4305,352,23,3910,2687,783,414,3305,148,69,3070,1397,1541,1168
実数／平成29年１～３月平均,2017,01～03,7560,553,73,6898,4027,2335,1526,4279,378,15,3866,2669,791,432,3281,175,58,3032,1358,1543,1095
実数／平成29年４～６月平均,2017,04～06,7686,574,87,6980,4184,2198,1431,4353,404,15,3909,2714,746,390,3333,170,72,3071,1469,1453,1041
実数／平成29年７～９月平均,2017,07～09,7757,557,92,7056,4225,2300,1523,4384,391,15,3952,2773,761,401,3373,166,77,3105,1452,1538,1122
実数／平成29年10～12月平均,2017,10～12,7723,524,105,7052,4242,2292,1506,4314,362,23,3909,2723,782,426,3409,162,82,3144,1520,1510,1080
実数／平成30年１～３月平均,2018,01～03,7875,590,86,7152,4228,2430,1608,4376,396,12,3941,2742,834,450,3499,194,74,3211,1486,1597,1158
実数／平成30年４～６月平均,2018,04～06,7966,632,90,7175,4322,2302,1554,4449,448,9,3952,2767,792,439,3517,185,81,3223,1555,1511,1115
実数／平成30年７～９月平均,2018,07～09,7899,549,85,7190,4340,2361,1624,4412,375,16,3977,2822,788,455,3487,174,69,3213,1518,1572,1169
実数／平成30年10～12月平均,2018,10～12,7946,565,102,7202,4279,2451,1702,4435,400,28,3966,2755,844,503,3511,165,75,3235,1523,1608,1199
実数／平成31年・令和元年１～３月平均,2019,01～03,8051,608,77,7279,4374,2449,1629,4461,420,17,3978,2825,820,452,3591,188,60,3301,1550,1629,1177
実数／平成31年・令和元年４～６月平均,2019,04～06,8153,760,75,7263,4365,2365,1597,4508,497,12,3972,2740,833,469,3644,263,63,3291,1625,1532,1129
実数／平成31年・令和元年７～９月平均,2019,07～09,8053,527,82,7396,4428,2411,1595,4480,380,17,4060,2780,855,470,3573,147,65,3336,1649,1556,1126
対前年・対前年同期増減数／平成24年平均,2012,,8,-9,-13,28,-,-,-,8,-3,1,7,-,-,-,0,-6,-14,22,-,-,-
対前年・対前年同期増減数／平成25年平均,2013,,93,15,4,74,-,-,-,0,5,2,-5,-,-,-,93,10,3,77,-,-,-
対前年・対前年同期増減数／平成26年平均,2014,,149,-7,-9,162,78,64,13,53,-18,-4,71,36,23,2,96,10,-6,92,42,41,11
対前年・対前年同期増減数／平成27年平均,2015,,88,-18,-3,107,96,22,55,49,-2,-1,47,57,2,14,39,-15,-2,60,39,20,41
対前年・対前年同期増減数／平成28年平均,2016,,117,-19,-5,142,142,-2,22,56,-15,5,67,77,-15,0,61,-4,-10,75,65,12,22
対前年・対前年同期増減数／平成29年平均,2017,,165,18,-5,154,111,33,16,44,5,-5,50,48,-4,9,120,13,0,104,64,38,6
対前年・対前年同期増減数／平成30年平均,2018,,240,32,2,183,123,105,125,86,21,-1,50,52,44,50,155,12,3,133,71,61,76
対前年・対前年同期増減数／平成26年１～３月平均,2014,01～03,153,-25,-24,209,-18,176,106,62,-55,-4,120,62,21,15,91,29,-20,90,-80,156,91
対前年・対前年同期増減数／平成26年４～６月平均,2014,04～06,172,9,1,161,75,59,13,4,-7,-3,14,-32,21,5,169,16,4,147,106,38,7
対前年・対前年同期増減数／平成26年７～９月平均,2014,07～09,138,-25,-6,160,142,20,-40,81,-8,-6,89,60,30,-7,57,-17,0,71,83,-10,-32
対前年・対前年同期増減数／平成26年10～12月平均,2014,10～12,133,14,-8,121,114,-1,-24,65,1,-2,60,53,18,-4,68,13,-6,60,60,-19,-20
対前年・対前年同期増減数／平成27年１～３月平均,2015,01～03,32,5,-1,13,42,-25,29,7,7,-1,-14,37,-36,-8,25,-2,0,26,5,10,37
対前年・対前年同期増減数／平成27年４～６月平均,2015,04～06,52,-35,-18,113,131,12,41,23,-18,-10,47,38,40,27,29,-16,-8,66,93,-28,15
対前年・対前年同期増減数／平成27年７～９月平均,2015,07～09,201,-29,-9,226,143,108,119,91,-13,-2,92,89,19,30,110,-16,-7,134,54,89,89
対前年・対前年同期増減数／平成27年10～12月平均,2015,10～12,86,-15,18,99,75,9,42,85,12,9,74,70,-9,11,0,-27,9,24,5,18,31
対前年・対前年同期増減数／平成28年１～３月平均,2016,01～03,90,-22,1,112,178,-45,-18,48,-15,9,59,86,-5,-14,42,-7,-8,53,92,-40,-4
対前年・対前年同期増減数／平成28年４～６月平均,2016,04～06,21,-58,-16,91,114,-58,-17,51,-28,5,70,92,-42,-5,-30,-30,-21,21,22,-16,-13
対前年・対前年同期増減数／平成28年７～９月平均,2016,07～09,151,55,12,90,80,32,29,71,37,9,28,35,-16,-1,80,19,2,62,45,48,30
対前年・対前年同期増減数／平成28年10～12月平均,2016,10～12,184,-49,-18,253,189,48,81,43,-51,-4,100,89,-1,13,141,2,-14,154,102,49,68
対前年・対前年同期増減数／平成29年１～３月平均,2017,01～03,194,17,-30,222,75,137,74,57,8,-11,70,24,35,49,137,9,-19,152,51,101,26
対前年・対前年同期増減数／平成29年４～６月平均,2017,04～06,189,46,0,146,94,4,32,63,29,-2,43,44,-35,-11,126,17,2,103,49,40,44
対前年・対前年同期増減数／平成29年７～９月平均,2017,07～09,165,-14,-2,172,118,25,32,50,-28,-5,87,87,-17,-11,115,13,4,86,31,41,43
対前年・対前年同期増減数／平成29年10～12月平均,2017,10～12,112,24,13,72,159,-32,-76,9,10,0,-1,36,-1,12,104,14,13,74,123,-31,-88
対前年・対前年同期増減数／平成30年１～３月平均,2018,01～03,315,37,13,254,201,95,82,97,18,-3,75,73,43,18,218,19,16,179,128,54,63
対前年・対前年同期増減数／平成30年４～６月平均,2018,04～06,280,58,3,195,138,104,123,96,44,-6,43,53,46,49,184,15,9,152,86,58,74
対前年・対前年同期増減数／平成30年７～９月平均,2018,07～09,142,-8,-7,134,115,61,101,28,-16,1,25,49,27,54,114,8,-8,108,66,34,47
対前年・対前年同期増減数／平成30年10～12月平均,2018,10～12,223,41,-3,150,37,159,196,121,38,5,57,32,62,77,102,3,-7,91,3,98,119
対前年・対前年同期増減数／平成31年・令和元年１～３月平均,2019,01～03,176,18,-9,127,146,19,21,85,24,5,37,83,-14,2,92,-6,-14,90,64,32,19
対前年・対前年同期増減数／平成31年・令和元年４～６月平均,2019,04～06,187,128,-15,88,43,63,43,59,49,3,20,-27,41,30,127,78,-18,68,70,21,14
対前年・対前年同期増減数／平成31年・令和元年７～９月平均,2019,07～09,154,-22,-3,206,88,50,-29,68,5,1,83,-42,67,15,86,-27,-4,123,131,-16,-43
,,,,,,,,,,,,,,,,,,,,,,,
東京の労働力統計データ（平成31年・令和元年７～９月期平均）,,,,,,,,,,,,,,,,,,,,,,,
第３表　従業上の地位別就業者数,,,,,,,,,,,,,,,,,,,,,,,
