年次,Year,総数 Total／床面積の合計 Total floor space,総数 Total／工事費予定額 Estimated construction cost,国 Central Government／床面積の合計 Total floor space,国 Central Government／工事費予定額 Estimated construction cost,都道府県 Prefectures／床面積の合計 Total floor space,都道府県 Prefectures／工事費予定額 Estimated construction cost,区市町村 KuShi，Machi and Mura／床面積の合計 Total floor space,区市町村 Ku，Shi，Machi and Mura／工事費予定額 Estimated construction cost,会社 Companies／床面積の合計 Total floor space,会社 Companies／工事費予定額 Estimated construction cost,会社でない団体 Organization other than companies／床面積の合計 Total floor space,会社でない団体 Organization other than companies／工事費予定額 Estimated construction cost,個人 Individuals／床面積の合計 Total floor space,個人 Individuals／工事費予定額 Estimated construction cost
平成19,2007,14750998,306863377,135603,3734421,303118,6236319,272095,5190870,8986056,179458994,1376384,35213157,3677742,77029616
平成20,2008,17151718,399746384,231097,5609781,348027,7622224,323994,8796234,10993511,257838775,1250221,32793377,4004868,87085993
平成21,2009,13842255,353915921,353664,8351811,339862,8972373,441496,11793222,8049315,215850146,985042,28936814,3672876,80011555
平成22,2010,14095589,323938484,106004,2241605,462729,11386367,354928,10049714,8082774,184738277,1119379,30633238,3969775,84889283
平成23,2011,14293816,323746595,96867,1772526,469655,12080005,370343,12540909,7750536,170773541,1632259,41487847,3974156,85091767
,,,,,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　3  建設・住居 3  CONSTRUCTION AND HOUSING,,,,,,,,,,,,,,,
3-8  建 築 主 別 着 工 建 築 物 （平成19～23年） ,,,,,,,,,,,,,,,
この表は， 建築基準法の規定によって， 建築主から知事に届出のあった建築工事届による着工建築物の数であり， ,,,,,,,,,,,,,,,
この調査対象は延面積10平方メートルを超える建築物である。 ,,,,,,,,,,,,,,,
　　（単位　面積　平方メートル， 金額　万円） ,,,,,,,,,,,,,,,
　　資料：国土交通省 「建築着工統計調査報告」 ,,,,,,,,,,,,,,,
3-8  BUILDING CONSTRUCTION STARTS BY BUILDING OWNER ( 2007-2011 ) ,,,,,,,,,,,,,,,
Data refer to the number of building constructions started after submission of construction notification to the Governor by the ,,,,,,,,,,,,,,,
builders as prescribed in the Building Standards Act and covers buildings with total floor space of more than 10 square meters.,,,,,,,,,,,,,,,
(Space in m2，Value in 10 thousand yen),,,,,,,,,,,,,,,
Source: Ministry of Land，Infrastructure，Transport and Tourism,,,,,,,,,,,,,,,
