年次及び種類,Year(Av.) and kind,総平均 All commodities,工業製品 Manufacturing industry products,農林水産物 Agriculture，forestry & fishery products,鉱産物 Minerals,電力・都市ガス・水道 Electric power，gas & water,スクラップ類 Scrap & waste
品目数,Number of commodities,822,777,25,6,9,5
ウエイト,Weight,1000,902.5,33.9,4.2,52.7,6.7
平成19,2007,101.1,101.1,101.4,92.3,99.5,118
平成20,2008,105.7,105.6,102.8,96.7,105.7,141.6
平成21,2009,100.1,100.1,100.1,98.9,104.8,75.6
平成22,2010Av.,100,100,100,100,100,100
平成23 ,2011,101.5,101.3,99.4,101,104.7,108.6
,,,,,,,
東京都統計年鑑（平成23年） TOKYO STATISTICAL YEARBOOK ( 2011 )　13 物価・地価 13 PRICES,,,,,,,
13-2  企業物価指数（1）国内企業物価指数（平成19～23年） 13-2 CORPORATE GOODS PRICE INDEX (1) PRODUCER PRICE INDEX ( 2007-2011 ),,,,,,,
企業物価指数は，企業間で取引される商品の価格に焦点を当てた物価指数である。,,,,,,,
The Corporate Goods Price Index (CGPI) is a price index that focuses on the prices of goods traded among companies.,,,,,,,
資料：日本銀行 「物価指数年報」 Source: The Bank of Japan,,,,,,,
（平成22年平均＝100） (2010 Average＝100),,,,,,,
