事業所規模,和暦年,西暦年,年平均・月・前年比・前年同月比,調査産業計,鉱業，採石業，砂利採取業,建設業,製造業,電気・ガス・熱供給・水道業,情報通信業,運輸業，郵便業,卸売業，小売業,金融業，保険業,不動産業，物品賃貸業,学術研究，専門・技術サービス業,宿泊業，飲食サービス業,生活関連サービス業，娯楽業,教育，学習支援業,医療，福祉,複合サービス事業,サービス業（他に分類されないもの）
５人以上,平成15,2003,年平均,97.5,108,95.6,105.9,89.4,－,－,－,－,－,－,－,－,－,－,－,－
５人以上,平成16,2004,年平均,99,108.9,97.8,106.1,105.9,－,－,－,－,－,－,－,－,－,－,－,－
５人以上,平成17,2005,年平均,100,100,100,100,100,100,100,100,100,－,－,－,－,100,100,100,－
５人以上,平成18,2006,年平均,99.4,101.2,98.2,99.1,99.9,99.5,98.6,101.8,96.7,－,－,－,－,100.5,103.4,99.5,－
５人以上,平成19,2007,年平均,99.5,96.9,98.2,99.2,100.6,103,101.5,100.8,99,－,－,－,－,94.8,107,99.7,－
５人以上,平成20,2008,年平均,99.4,100.6,97.2,100.6,104.2,105.8,103.7,102.7,100.2,－,－,－,－,90,107.1,112.2,－
５人以上,平成21,2009,年平均,98.8,105,97.4,100.1,101.6,106.3,106.4,101.7,98.7,－,－,－,－,90.2,108.9,113.2,－
５人以上,平成22,2010,年平均,99,103.9,95.3,102.8,101.1,108,105.3,103.2,101.5,－,－,－,－,93.8,108.3,110.4,－
５人以上,平成22,2010,1月,98.1,103.5,94.6,99.5,101.6,107.6,103.2,104.4,100.1,－,－,－,－,89.8,110.8,110.2,－
５人以上,平成22,2010,2月,98.6,103.9,94.8,102.2,100.9,106.8,108.4,102.8,101.5,－,－,－,－,91.9,110.5,108.4,－
５人以上,平成22,2010,3月,99.9,103.6,96.8,101.9,102.3,107.9,108.5,104.3,101.5,－,－,－,－,98.6,108.8,112.4,－
５人以上,平成22,2010,4月,100.4,107.7,95.1,103.4,103.1,107.4,108.2,104.9,102.4,－,－,－,－,97.5,111.1,111,－
５人以上,平成22,2010,5月,98.7,104.8,94.5,102.2,101,107.7,105.7,102.6,99.9,－,－,－,－,92.4,109,108.6,－
５人以上,平成22,2010,6月,99,104,94.5,102.5,101.2,107.6,105.6,103.4,100.9,－,－,－,－,92,108.3,110.4,－
５人以上,平成22,2010,7月,98.4,105.2,93.6,103.9,99.5,107.3,102.6,102.4,101.4,－,－,－,－,93.7,107.2,111.2,－
５人以上,平成22,2010,8月,98.9,103.6,94.3,104.1,100.6,108.7,103.4,103.3,101.4,－,－,－,－,95.2,106.5,111,－
５人以上,平成22,2010,9月,99.4,102.4,96.2,103.9,101.1,108.9,105.9,102.7,101.9,－,－,－,－,95.3,108,110.4,－
５人以上,平成22,2010,10月,99,102.8,96.5,103.6,101.9,108,104,102.7,101.5,－,－,－,－,94.8,107.3,110.9,－
５人以上,平成22,2010,11月,98.6,103.6,94.9,103.3,101,108.7,102.8,102.7,101.7,－,－,－,－,91.9,106.1,110.6,－
５人以上,平成22,2010,12月,99,102.1,98.2,103.6,98.6,109.5,104.9,102.1,103.5,－,－,－,－,92.5,105.9,110.2,－
５人以上,平成16,2004,年平均（前年比（％））,1.5,0.8,2.3,0.2,18.5,－,－,－,－,－,－,－,－,－,－,－,－
５人以上,平成17,2005,年平均（前年比（％））,1,-8.2,2.2,-5.7,-5.6,－,－,－,－,－,－,－,－,－,－,－,－
５人以上,平成18,2006,年平均（前年比（％））,-0.6,1.2,-1.8,-0.9,-0.1,-0.5,-1.4,1.8,-3.3,－,－,－,－,0.5,3.4,-0.5,－
５人以上,平成19,2007,年平均（前年比（％））,0.1,-4.2,0,0.1,0.7,3.5,2.9,-1,2.4,－,－,－,－,-5.7,3.5,0.2,－
５人以上,平成20,2008,年平均（前年比（％））,-0.1,3.8,-1,1.4,3.6,2.7,2.2,1.9,1.2,－,－,－,－,-5.1,0.1,12.5,－
