年度,Fiscal year,貸切利用回数 Group use (number of times)／陸上競技場 Athletic field,貸切利用回数 Group use (number of times)／体育館 Gymnasium,貸切利用回数 Group use (number of times)／屋内球技場 Indoor Ball Sports field,貸切利用回数 Group use (number of times)／第1球技場 No.1 ball sports ground,貸切利用回数 Group use (number of times)／第2球技場 No.2 ball sports ground,貸切利用回数 Group use (number of times)／補助競技場 Supported sports ground,貸切利用回数 Group use (number of times)／硬式野球場 Baseball field 1),貸切利用回数 Group use (number of times)／弓道場 Japanese archery range,貸切利用回数 Group use (number of times)／軟式野球場 Rubber baseball field (時間 hours) 2),貸切利用回数 Group use (number of times)／テニスコート Tennis courts (時間 hours) 2),一般公開利用者数 Individual users／弓道場 Japanese archery range,一般公開利用者数 Individual users／トレーニングルーム Training room ,一般公開利用者数 Individual users／水泳場 Swimming pool 3),一般公開利用者数 Individual users／東京オリンピックメモリアルギャラリー Tokyo Olympic memorial gallery ,スポーツ教室 Sports programs／回数 Times held,スポーツ教室 Sports programs／人数 Participants
平成29,2017,314,968,642,309,1962,1999,1119,531,1157,10523,3106,217972,-,61143,242,79016
平成30,2018,317,971,956,551,1964,2002,-,580,1220,10578,4071,222701,-,56403,273,68447
令和元,2019,300,908,876,546,1840,1848,544,537,1367,10160,3569,204221,-,60482,299,57369
,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成31年･令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,,,,,,,
17-17  東京都立体育施設の利用状況 (2) 駒沢オリンピック公園総合運動場 (平成29～令和元年度) 17-17  USE OF TOKYO METROPOLITAN SPORTS FACILITIES (2) METROPOLITAN KOMAZAWA OLYMPIC PARK GENERAL SPORTS GROUND ( Fiscal Years 2017-2019 ) ,,,,,,,,,,,,,,,,,
注 1) 硬式野球場は改修工事に伴い、平成30年3月から令和元年8月まで休館した。,,,,,,,,,,,,,,,,,
2) 軟式野球場及びテニスコートは1回が2時間である。 ,,,,,,,,,,,,,,,,,
3) 平成23年度より水泳場は営業を休止している。　,,,,,,,,,,,,,,,,,
4) 新型コロナウイルス感染症の感染拡大防止のため，令和2年3月下旬から休館した。,,,,,,,,,,,,,,,,,
Note: 1) The baseball field was closed from March 2018 through August 2019 due to renovation work.,,,,,,,,,,,,,,,,,
2) The use of the Rubber baseball field and Tennis courts is limited to 2 hours at a time.    ,,,,,,,,,,,,,,,,,
3) The Swimming pool has been closed since fiscal 2011.  ,,,,,,,,,,,,,,,,,
4) The whole facility was closed from late March 2020 to prevent the spread of COVID-19.,,,,,,,,,,,,,,,,,
資料：都オリンピック・パラリンピック準備局スポーツ推進部調整課 Source: Bureau of Olympic and Paralympic Games Tokyo 2020 Preparation， TMG,,,,,,,,,,,,,,,,,
