実数・増減率,年次・四半期・月次コード,年次・四半期・月次,調査世帯数(世帯）,世帯人員（人）,有業人員（人）,世帯主平均年齢（歳）,実収入（円）,実収入／経常収入（円）,実収入／経常収入／勤め先収入（円）,実収入／経常収入／勤め先収入／世帯主の配偶者の収入（円）,実収入／経常収入／勤め先収入／他の世帯員収入（円）,実収入／経常収入／事業・内職収入（円）,実収入／経常収入／他の経常収入（円）,実収入／経常収入／他の経常収入／社会保障給付（円）,実収入／特別収入（円）,可処分所得（円）,消費支出（円）,消費支出／食料（円）,消費支出／住居（円）,消費支出／光熱・水道（円）,消費支出／家具・家事用品（円）,消費支出／被服及び履物（円）,消費支出／保健医療（円）,消費支出／交通・通信（円）,消費支出／教育（円）,消費支出／教養娯楽（円）,消費支出／その他の消費支出（円）
Jissu,nen,実数_平成28年平均,237,2.4,0.46,73.9,179109,171438,15929,6291,9638,9608,145901,138199,7671,150720,251346,76545,20332,20214,9177,8156,14825,20442,639,28800,52217
Jissu,nen,実数_平成29年平均,247,2.34,0.39,75,167289,163326,11144,4131,7013,8120,144061,141151,3963,137744,255551,77061,19277,20608,8920,7644,16424,23404,545,28704,52963
Jissu,nen,実数_平成30年平均,245,2.37,0.48,74.6,204028,197084,19715,6824,12891,4802,172567,166602,6944,171995,267939,79253,20918,21723,10204,7394,16989,26120,1247,29761,54330
Jissu,nen,実数_平成31年・令和元年平均,241,2.34,0.45,75.1,223225,217352,25747,7776,17971,5904,185701,180681,5873,188050,269148,78516,18849,20576,11172,8897,17761,25100,2119,31913,54246
Jissu,sihan,実数_平成30年10～12月,239,2.31,0.42,74.7,272960,263064,17436,7958,9478,4423,241205,232598,9896,236439,280609,83812,29575,18484,9817,8036,18032,24311,2082,30502,55957
Jissu,sihan,実数_平成31年 1～ 3月,241,2.32,0.42,74.8,167426,159122,20669,9465,11204,4810,133643,128181,8303,140873,260728,73902,17431,26139,9404,6126,14815,24997,2585,29504,55826
Jissu,sihan,実数_平成31年 4～令和元年 6月,251,2.36,0.44,75.5,295857,291587,32042,7902,24139,6435,253110,245247,4270,245858,264194,78851,13040,21091,8728,10585,17979,22862,4819,32645,53595
Jissu,sihan,実数_令和元年 7～ 9月,239,2.34,0.45,75.1,163388,157484,24438,6639,17798,5953,127093,124233,5903,131726,276772,78119,24473,17117,13294,8823,19022,28259,1022,31138,55503
Jissu,sihan,実数_令和元年10～12月,231,2.34,0.46,75,266230,261215,25840,7096,18744,6417,228958,225061,5014,233741,274899,83191,20452,17956,13260,10054,19229,24284,51,34363,52060
Jissu,tuki,実数_平成30年12月,245,2.31,0.42,74.7,363432,355691,22089,8964,13125,4044,329558,320769,7741,316852,303382,95820,28477,20246,12303,7406,18657,23673,1725,34912,60163
Jissu,tuki,実数_平成31年 1月,236,2.34,0.45,74.6,58881,50741,21356,11337,10019,4840,24545,17091,8139,38644,259727,73564,23142,24623,7940,6469,13976,21292,105,27390,61227
Jissu,tuki,実数_平成31年 2月,245,2.31,0.4,74.9,389586,384815,18891,9193,9698,4302,361622,355841,4771,345409,255904,69368,19510,28069,9386,4854,13896,33827,2527,26649,47819
Jissu,tuki,実数_平成31年 3月,243,2.32,0.41,74.9,53810,41810,21761,7864,13896,5287,14762,11612,11999,38566,266554,78773,9642,25724,10885,7054,16574,19872,5123,34474,58431
Jissu,tuki,実数_平成31年 4月,249,2.34,0.42,75.6,403871,397861,23456,7519,15936,5744,368661,363069,6010,363561,254803,78460,9492,23644,7022,8609,17637,21829,5244,30019,52847
Jissu,tuki,実数_令和元年 5月,254,2.37,0.46,75.4,44742,40811,23907,6965,16941,6678,10227,3343,3931,8410,277917,81102,15828,21581,8883,9813,17939,26831,8655,35947,51337
Jissu,tuki,実数_令和元年 6月,251,2.36,0.45,75.5,438957,436088,48762,9223,39539,6883,380443,369329,2869,365604,259863,76991,13800,18048,10279,13332,18361,19925,558,31968,56602
Jissu,tuki,実数_令和元年 7月,242,2.33,0.44,75.3,41375,37339,21040,4876,16163,7319,8981,6124,4035,5804,293181,77905,33765,15912,11415,10593,20135,37241,56,31930,54228
Jissu,tuki,実数_令和元年 8月,234,2.34,0.44,75.3,405339,398498,25007,6298,18709,5782,367710,363340,6840,364392,272539,79230,25329,17710,12195,8736,18671,21237,3010,30153,56267
Jissu,tuki,実数_令和元年 9月,240,2.36,0.48,74.7,43451,36616,27267,8744,18523,4759,4589,3234,6835,24982,264595,77223,14326,17728,16273,7141,18260,26298,-,31331,56015
Jissu,tuki,実数_令和元年10月,235,2.36,0.48,74.3,384263,380994,27655,8778,18877,6306,347034,344601,3268,337881,244302,76126,14175,17007,15915,8951,17794,22054,16,32254,40011
Jissu,tuki,実数_令和元年11月,228,2.34,0.44,75.1,35791,32395,22397,7127,15270,6516,3482,1623,3396,27881,243144,75563,10005,16437,9343,11360,17248,21528,18,33034,48608
Jissu,tuki,実数_令和元年12月,230,2.33,0.47,75.6,378636,370257,27468,5383,22086,6429,336359,328960,8379,335462,337251,97883,37177,20423,14523,9850,22646,29269,119,37801,67560
