実数・増減率,年次・四半期・月次コード,年次・四半期・月次,調査世帯数(世帯）,世帯人員（人）,有業人員（人）,世帯主平均年齢（歳）,実収入（円）,実収入／経常収入（円）,実収入／経常収入／勤め先収入（円）,実収入／経常収入／勤め先収入／世帯主の配偶者の収入（円）,実収入／経常収入／勤め先収入／他の世帯員収入（円）,実収入／経常収入／事業・内職収入（円）,実収入／経常収入／他の経常収入（円）,実収入／経常収入／他の経常収入／社会保障給付（円）,実収入／特別収入（円）,可処分所得（円）,消費支出（円）,消費支出／食料（円）,消費支出／住居（円）,消費支出／光熱・水道（円）,消費支出／家具・家事用品（円）,消費支出／被服及び履物（円）,消費支出／保健医療（円）,消費支出／交通・通信（円）,消費支出／教育（円）,消費支出／教養娯楽（円）,消費支出／その他の消費支出（円）
Jissu,nen,実数_平成27年平均,237,2.39,0.44,74.1,181141,176763,17846,6148,11698,9890,149027,144132,4379,146876,276745,76515,21571,23275,9805,9034,17496,26249,3175,33255,56370
Jissu,nen,実数_平成28年平均,237,2.4,0.46,73.9,179109,171438,15929,6291,9638,9608,145901,138199,7671,150720,251346,76545,20332,20214,9177,8156,14825,20442,639,28800,52217
Jissu,nen,実数_平成29年平均,247,2.34,0.39,75,167289,163326,11144,4131,7013,8120,144061,141151,3963,137744,255551,77061,19277,20608,8920,7644,16424,23404,545,28704,52963
Jissu,nen,実数_平成30年平均,245,2.37,0.48,74.6,204028,197084,19715,6824,12891,4802,172567,166602,6944,171995,267939,79253,20918,21723,10204,7394,16989,26120,1247,29761,54330
Jissu,sihan,実数_平成29年10～12月,246,2.3,0.39,75.7,212576,208661,9696,3639,6057,10199,188766,185247,3915,183853,265868,81628,18350,19668,10707,7845,19026,23948,593,30385,53718
Jissu,sihan,実数_平成30年 1～ 3月,244,2.35,0.46,75,148450,141932,19710,6607,13103,6665,115557,111366,6518,123869,259041,74339,17087,28796,7994,6033,16146,26098,499,26511,55537
Jissu,sihan,実数_平成30年 4～ 6月,254,2.42,0.53,74.3,249225,242592,22843,5751,17092,4260,215490,210395,6633,209101,272137,79490,18850,20980,9529,8320,18443,33431,295,31816,50983
Jissu,sihan,実数_平成30年 7～ 9月,244,2.39,0.5,74.4,145475,140748,18870,6980,11890,3860,118018,112048,4728,118570,259968,79370,18158,18631,13474,7187,15333,20643,2113,30216,54842
Jissu,sihan,実数_平成30年10～12月,239,2.31,0.42,74.7,272960,263064,17436,7958,9478,4423,241205,232598,9896,236439,280609,83812,29575,18484,9817,8036,18032,24311,2082,30502,55957
Jissu,tuki,実数_平成30年 2月,245,2.35,0.47,74.9,348665,343962,19316,4898,14418,6566,318080,314432,4704,306344,243945,72910,9619,30277,7132,5547,17687,31448,456,24035,44833
